,imed_reg_code,n_significativo,1,2,3,4,cluster,concentracao,distancia
0,110001,0.5294117647058824,0.47058823529411764,0.0,0.0,0.0,1,0.6141356769947383,135.81343957024444
1,110002,0.6470588235294118,0.29411764705882354,0.0,0.058823529411764705,0.0,1,0.6211385906453787,21.496429323666806
2,110003,0.5882352941176471,0.35294117647058826,0.0,0.058823529411764705,0.0,1,0.5852867277097764,71.27101702539059
3,110004,0.5294117647058824,0.4117647058823529,0.0,0.058823529411764705,0.0,1,0.5626801902855585,149.234904334165
4,110005,0.5882352941176471,0.35294117647058826,0.0,0.058823529411764705,0.0,1,0.5852867277097764,56.01784825106151
5,110006,0.8235294117647058,0.17647058823529413,0.0,0.0,0.0,1,0.7979211744853256,73.78105200354534
6,120001,0.7647058823529411,0.23529411764705882,0.0,0.0,0.0,1,0.7417364831128523,12.137039593859045
7,120002,1.0,0.0,0.0,0.0,0.0,1,1.0,169.04799242108615
8,120003,0.7647058823529411,0.23529411764705882,0.0,0.0,0.0,1,0.7417364831128523,206.68063411888488
9,120004,0.8235294117647058,0.11764705882352941,0.058823529411764705,0.0,0.0,1,0.7870051858976265,73.91001509529269
10,120005,0.9411764705882353,0.058823529411764705,0.0,0.0,0.0,1,0.9282196375329118,206.64790174556546
11,130001,0.7647058823529411,0.23529411764705882,0.0,0.0,0.0,1,0.7417364831128523,50.84163175768522
12,130002,0.7647058823529411,0.23529411764705882,0.0,0.0,0.0,1,0.7417364831128523,634.9385733513027
13,130003,0.6470588235294118,0.17647058823529413,0.17647058823529413,0.0,0.0,1,0.5926306376355848,392.4990050674683
14,130004,0.6470588235294118,0.29411764705882354,0.0,0.0,0.058823529411764705,1,0.6211385906453787,194.8512507560593
15,130005,0.7647058823529411,0.23529411764705882,0.0,0.0,0.0,1,0.7417364831128523,684.4062789756439
16,130006,0.7647058823529411,0.17647058823529413,0.058823529411764705,0.0,0.0,1,0.7240313897112453,365.14566367467637
17,130007,0.7647058823529411,0.23529411764705882,0.0,0.0,0.0,1,0.7417364831128523,310.873648754682
18,130008,0.6470588235294118,0.29411764705882354,0.058823529411764705,0.0,0.0,1,0.6211385906453787,264.94102434419204
19,130009,0.5294117647058824,0.23529411764705882,0.23529411764705882,0.0,0.0,1,0.48862493311282795,388.8877740585569
20,130010,1.0,0.0,0.0,0.0,0.0,1,1.0,262.33022133339284
21,130011,0.8235294117647058,0.17647058823529413,0.0,0.0,0.0,1,0.7979211744853256,202.91022691513993
22,140001,0.8823529411764706,0.0,0.0,0.058823529411764705,0.058823529411764705,3,0.8554729160146463,120.36225563955406
23,140002,0.9411764705882353,0.0,0.058823529411764705,0.0,0.0,2,0.9282196375329118,158.78190793903644
