imedreg,imedreg_codepopulacao,incidencia_normalizada,regiao,cluster
São João do Piauí,220014,48436.09284500001,-0.9379798848960244,nordeste,0
Corrente,220015,120522.36767299999,-0.8337754414494867,nordeste,0
Bom Jesus,220016,77915.88872199999,-0.8142555570658093,nordeste,0
Floriano,220017,124347.35358400001,0.24167583998611544,nordeste,0
Uruçuí,220018,61936.30414100001,0.031159445164546117,nordeste,0
Canto do Buriti,220019,49014.573814,-0.8038805725252941,nordeste,0
Fortaleza,230001,4212262.35793,0.5553191793498292,nordeste,0
Itapipoca,230002,311590.29093,-0.3775111719689701,nordeste,0
Redenção-Acarape,230003,229672.19836,-0.15811774698700418,nordeste,0
Canindé,230004,204751.35333000004,-0.46453142398469827,nordeste,0
Itapagé,230005,156725.52479,-0.14166137098359993,nordeste,0
Quixadá,230006,333010.95934999996,-0.5551689991582104,nordeste,0
Russas - Limoeiro do Norte,230007,385634.97420500003,0.04737494311750817,nordeste,0
Aracati,230008,152228.60224,-0.17243368123198347,nordeste,0
Iguatu,230009,330687.50607,0.05683808299660182,nordeste,0
Icó,230010,110782.59877,-0.2817071315343381,nordeste,0
Juazeiro do Norte,230011,851305.5297979999,-0.5474271410178254,nordeste,0
Brejo Santo,230012,188837.72431,0.4468435479431065,nordeste,0
Crateús,230013,247029.53571999999,-0.43513834204346324,nordeste,0
Tauá,230014,92350.27985,-0.027669794749884406,nordeste,0
Sobral,230015,613519.6217039999,0.47780832024171926,nordeste,0
São Benedito - Ipu - Guaraciaba do Norte - Tianguá,230016,406972.32661999995,-0.26638817831378414,nordeste,0
Acaraú,230017,216118.57382999998,0.1274350878182467,nordeste,0
Camocim,230018,144405.99371,-0.5077571345286006,nordeste,0
Natal,240001,1743859.074166,-1.1260901383102278,nordeste,3
Santo Antônio - Passa e Fica - Nova Cruz,240002,142754.64600200002,-1.1260901383102278,nordeste,0
Canguaretama,240003,139853.969338,-1.1260901383102278,nordeste,0
Santa Cruz,240004,99814.195614,-1.1260901383102278,nordeste,0
João Câmara,240005,73448.84682600001,-1.1260901383102278,nordeste,0
São Paulo do Potengi,240006,66820.48851699999,-1.1260901383102278,nordeste,0
Caicó,240007,177541.72769499998,-1.1260901383102278,nordeste,0
Currais Novos,240008,112075.386137,-1.1260901383102278,nordeste,3
Mossoró,240009,506065.532053,-1.1260901383102278,nordeste,0
Pau dos Ferros,240010,232247.75273900005,-1.1260901383102278,nordeste,0
Açu,240011,239683.381827,-1.1260901383102278,nordeste,3
João Pessoa,250001,1452524.6672960005,0.38731560957076955,nordeste,0
Guarabira,250002,314765.34578200005,-0.2615574595893695,nordeste,0
