imedreg,imedreg_codepopulacao,prevalencia_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,2.260176989516873,norte,1
Ariquemes,110002,244267.98213300004,0.9837101336028485,norte,1
Jaru,110003,120564.550067,0.7410876963329737,norte,0
Ji-Paraná,110004,304025.6776749999,0.25615362911529493,norte,1
Cacoal,110005,302589.83598300006,0.9131401944116628,norte,0
Vilhena,110006,165292.086385,1.1401617568242506,norte,0
Rio Branco,120001,504876.57074800006,0.37379344978657153,norte,1
Brasiléia,120002,72338.13942400001,1.7058695757120075,norte,0
Sena Madureira,120003,62990.199089999995,1.0584874817914225,norte,1
Cruzeiro do Sul,120004,163322.92484599998,0.08101175796917759,norte,1
Tarauacá,120005,90942.145483,1.0059916171013028,norte,0
Manaus,130001,2569981.538139,0.6255185792368454,norte,1
São Gabriel da Cachoeira,130002,104242.843152,3.8176334645667955,norte,1
Coari,130003,156942.81565,1.8631837643156204,norte,1
Manacapuru,130004,144349.73552,1.1265784620233723,norte,1
Tefé,130005,182082.64676700003,3.2960799852067795,norte,1
Tabatinga,130006,231873.164687,0.6071871253158666,norte,1
Eirunepé,130007,101999.009491,2.477432661345388,norte,1
Lábrea,130008,130885.96567100001,2.097737316477192,norte,1
Manicoré,130009,161550.21102,0.9436211816868203,norte,1
Parintins,130010,249841.37481000004,0.7706336251023511,norte,0
Itacoatiara,130011,173964.624469,1.1490816253156972,norte,0
Boa Vista,140001,473642.83966299996,4.4561169212435665,norte,0
Pacaraima,140002,55863.802617,1.3502364947366652,norte,1
Rorainópolis,140003,63088.226788,1.5915599446886715,norte,1
Caracaraí,140004,38586.120428999995,0.6754210585163258,norte,1
Belém,150001,2592933.5334,-0.3325642025890904,norte,0
Cametá,150002,227778.21129,-0.011508593607824169,norte,3
Abaetetuba,150003,439624.04368,-0.9532923178896138,norte,0
Castanhal,150004,518779.56397599995,-0.8948841486877379,norte,0
Bragança,150005,313089.568425,-0.9382042598637292,norte,3
Capanema,150006,191054.418786,-0.9134852500437813,norte,0
Paragominas,150007,410930.524905,-1.0037437337633979,norte,3
Capitão Poço,150008,107161.11330300002,-0.4144851266080327,norte,3
Marabá,150009,570348.4834569999,-0.6058821942049687,norte,0
Parauapebas,150010,408077.52058,2.5932342103052552,norte,0
Tucuruí,150011,420204.09783,-1.4304859074074874,norte,0
Redenção,150012,279895.77273,-0.13171397465161513,norte,2
Tucumã - São Félix do Xingu,150013,295441.18707,-0.458906372791661,norte,0
Xinguara,150014,89038.29791200001,0.8289905941067185,norte,1
Santarém,150015,445651.83932,0.0012731059715050425,norte,0
Itaituba,150016,251297.803402,0.5686333295633486,norte,0
Oriximiná,150017,223524.79957299997,1.013282673328539,norte,0
Altamira,150018,262477.021438,0.5604757463800479,norte,0
Almeirim - Porto de Moz,150019,74686.83649,-0.01605384607767141,norte,2
Breves,150020,411484.63013,-0.613621042007238,norte,0
Soure-Salvaterra,150021,157265.792093,-1.1796350522105334,norte,0
Macapá,160001,654457.36529,1.8711641698625843,norte,1
Laranjal do Jari,160002,67333.12171,4.593103710362164,norte,1
Oiapoque,160003,79858.085703,3.670577440225768,norte,1
Porto Grande,160004,60124.417104,3.490443012617967,norte,1
Palmas,170001,389665.86524799996,1.1416552893236878,norte,0
Porto Nacional,170002,104659.863133,0.8204330393411224,norte,0
Paraíso do Tocantins,170003,120386.17455700002,0.5229035163515776,norte,0
Miracema do Tocantins,170004,45475.336239,1.0273450294570754,norte,0
Araguaína,170005,325628.103233,2.0709006960374383,norte,1
Guaraí,170006,86945.84316899999,0.6034545313839751,norte,1
Colinas do Tocantins,170007,65495.96647999999,3.089941641121042,norte,0
Tocantinópolis,170008,49789.446823,1.0068421229359585,norte,0
Araguatins,170009,137158.76029900002,0.05730137285537692,norte,0
Gurupi,170010,181173.013458,0.8694533426505386,norte,0
Dianópolis,170011,83869.633012,-0.9826324043308289,norte,0
São Luís,210001,1676128.6191400003,-1.2528550560028013,nordeste,3
Pinheiro,210002,341442.109984,-1.3584304257714244,nordeste,3
Chapadinha,210003,277946.115811,-0.539605378987775,nordeste,3
Itapecuru Mirim,210004,298355.59337,-1.573788525742719,nordeste,3
Viana,210005,257692.15209,-1.6885704581333867,nordeste,3
Barreirinhas,210006,133084.28007,-1.2000284699953563,nordeste,3
Tutóia - Araioses,210007,207214.69482999996,-1.2707987271347916,nordeste,0
Cururupu,210008,122984.01033999998,-1.3067550962442094,nordeste,3
Santa Inês,210009,451846.73544499994,0.049873889484509756,nordeste,4
