imedreg,imedreg_codepopulacao,prevalencia_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,2.2917934816863337,norte,1
Ariquemes,110002,244267.98213300004,1.2520050614476401,norte,1
Jaru,110003,120564.550067,0.9007771468165171,norte,1
Ji-Paraná,110004,304025.6776749999,0.6374231403252065,norte,1
Cacoal,110005,302589.83598300006,1.0595023040213118,norte,0
Vilhena,110006,165292.086385,1.238779526151816,norte,0
Rio Branco,120001,504876.57074800006,0.4319397122920698,norte,1
Brasiléia,120002,72338.13942400001,1.8468364673221813,norte,0
Sena Madureira,120003,62990.199089999995,1.0673053479466723,norte,1
Cruzeiro do Sul,120004,163322.92484599998,0.22857957284577388,norte,1
Tarauacá,120005,90942.145483,1.1030763836727677,norte,0
Manaus,130001,2569981.538139,0.8486325903379891,norte,1
São Gabriel da Cachoeira,130002,104242.843152,3.8364482983765535,norte,1
Coari,130003,156942.81565,1.6987966034938615,norte,1
Manacapuru,130004,144349.73552,1.256826975207869,norte,1
Tefé,130005,182082.64676700003,3.3164108103950705,norte,1
Tabatinga,130006,231873.164687,0.7367145999869417,norte,1
Eirunepé,130007,101999.009491,2.4209643872761086,norte,1
Lábrea,130008,130885.96567100001,2.1099915283932438,norte,1
Manicoré,130009,161550.21102,0.8761373668716275,norte,1
Parintins,130010,249841.37481000004,0.6796419034776879,norte,0
Itacoatiara,130011,173964.624469,1.5855046021797072,norte,0
Boa Vista,140001,473642.83966299996,4.356633452481071,norte,0
Pacaraima,140002,55863.802617,1.1509018047639097,norte,1
Rorainópolis,140003,63088.226788,1.5987676090154617,norte,1
Caracaraí,140004,38586.120428999995,0.6664241328606645,norte,1
Belém,150001,2592933.5334,-0.39006023753495306,norte,0
Cametá,150002,227778.21129,-0.13594431765064216,norte,3
Abaetetuba,150003,439624.04368,-1.074887588912447,norte,3
Castanhal,150004,518779.56397599995,-0.9245532427456918,norte,3
Bragança,150005,313089.568425,-1.0646761701883969,norte,3
Capanema,150006,191054.418786,-0.9970136790994993,norte,3
Paragominas,150007,410930.524905,-1.0620513478909916,norte,3
Capitão Poço,150008,107161.11330300002,-0.5445185521567089,norte,3
Marabá,150009,570348.4834569999,-0.6386464605300227,norte,0
Parauapebas,150010,408077.52058,2.4981623401884723,norte,0
Tucuruí,150011,420204.09783,-1.464258182138436,norte,0
Redenção,150012,279895.77273,-0.17412223850907915,norte,2
Tucumã - São Félix do Xingu,150013,295441.18707,-0.5435236756807771,norte,0
Xinguara,150014,89038.29791200001,0.712271406322757,norte,1
Santarém,150015,445651.83932,0.02735652295885077,norte,0
Itaituba,150016,251297.803402,0.47008329519542047,norte,0
Oriximiná,150017,223524.79957299997,1.1629468066403583,norte,0
Altamira,150018,262477.021438,0.5032827573535834,norte,0
Almeirim - Porto de Moz,150019,74686.83649,-0.1524890101641025,norte,2
Breves,150020,411484.63013,-0.722663223152276,norte,0
Soure-Salvaterra,150021,157265.792093,-1.2005734557290646,norte,0
Macapá,160001,654457.36529,1.7793786901702493,norte,1
Laranjal do Jari,160002,67333.12171,4.427542737039436,norte,1
Oiapoque,160003,79858.085703,3.610545328517384,norte,1
Porto Grande,160004,60124.417104,3.1007812539969253,norte,1
Palmas,170001,389665.86524799996,1.1408642536626625,norte,0
Porto Nacional,170002,104659.863133,0.8215040934480513,norte,0
Paraíso do Tocantins,170003,120386.17455700002,0.5323872968500665,norte,0
Miracema do Tocantins,170004,45475.336239,0.946747676330932,norte,0
Araguaína,170005,325628.103233,1.9324004191971824,norte,1
Guaraí,170006,86945.84316899999,0.5501728971138852,norte,1
Colinas do Tocantins,170007,65495.96647999999,2.750082373543156,norte,0
Tocantinópolis,170008,49789.446823,0.8026741618407881,norte,0
Araguatins,170009,137158.76029900002,-0.03963055214245041,norte,0
Gurupi,170010,181173.013458,0.8242245699957141,norte,0
Dianópolis,170011,83869.633012,-1.0408794547531415,norte,0
São Luís,210001,1676128.6191400003,-1.3312649001097443,nordeste,3
Pinheiro,210002,341442.109984,-1.4558456623911458,nordeste,3
Chapadinha,210003,277946.115811,-0.7117781558800839,nordeste,3
Itapecuru Mirim,210004,298355.59337,-1.6437477290790081,nordeste,3
Viana,210005,257692.15209,-1.7570498410875117,nordeste,3
Barreirinhas,210006,133084.28007,-1.3149467555189815,nordeste,3
Tutóia - Araioses,210007,207214.69482999996,-1.3967212370680069,nordeste,0
Cururupu,210008,122984.01033999998,-1.3965429620542815,nordeste,3
Santa Inês,210009,451846.73544499994,-0.10490780744654031,nordeste,3
Bacabal,210010,405800.035922,-0.747440203589818,nordeste,3
Governador Nunes Freire,210011,224565.45183500004,-1.250989056679308,nordeste,3
Pedreiras,210012,184672.964411,0.20281333103775137,nordeste,0
Caxias,210013,268928.562695,-0.5016651314623991,nordeste,0
Timon,210014,258592.85308,-0.8169251339378117,nordeste,0
Codó,210015,228457.45221000002,-1.289226771337122,nordeste,3
Presidente Dutra,210016,237441.48151899996,-0.546974975140099,nordeste,0
São João dos Patos,210017,145805.764558,-0.42269490215406474,nordeste,0
Colinas,210018,80821.55705,-0.1689410189516144,nordeste,0
Imperatriz,210019,532231.693353,-0.4673386095957264,nordeste,0
Barra do Corda,210020,280148.643331,0.011423350452144147,nordeste,0
Açailândia,210021,270352.99432999996,-0.5856194208064426,nordeste,0
Balsas,210022,230084.23996099998,0.9367185252989123,nordeste,0
Teresina,220001,1134373.896284,0.7490973606168873,nordeste,0
Amarante - Água Branca - Regeneração,220002,156289.00978199998,-0.16998375846710032,nordeste,0
Campo Maior,220003,136084.484612,-0.1732448812692219,nordeste,0
Valença do Piauí,220004,79823.38348399999,-0.2757921139635764,nordeste,0
Barras,220005,94902.30242899999,0.41078186461297495,nordeste,0
Parnaíba,220006,282098.81894,-0.18526544276372406,nordeste,0
Piripiri,220007,174437.123889,-0.1263591417929396,nordeste,0
Esperantina,220008,146372.46837199997,-0.17735130826113651,nordeste,0
Picos,220009,291225.751458,0.0003129948746395309,nordeste,0
Paulistana,220010,79939.350837,-0.7077611494195751,nordeste,3
Oeiras,220011,68545.96854100001,-0.11395042237797608,nordeste,0
Simplício Mendes,220012,41332.865334999995,-1.1252152688760773,nordeste,0
São Raimundo Nonato,220013,113098.98546299999,-0.5455268633115535,nordeste,0
São João do Piauí,220014,48436.09284500001,-0.6760359396180727,nordeste,3
Corrente,220015,120522.36767299999,-1.0144867253477214,nordeste,0
Bom Jesus,220016,77915.88872199999,-0.10163124934075923,nordeste,0
Floriano,220017,124347.35358400001,0.461975907579702,nordeste,0
Uruçuí,220018,61936.30414100001,2.342640820725367,nordeste,0
Canto do Buriti,220019,49014.573814,-0.9898476980220018,nordeste,0
