semana,I_global
202048,0.5639967551403048
202049,0.5624328966834736
202050,0.558797010580437
202051,0.5557321600298337
202052,0.5514673424979555
202053,0.5498913556521831
202016,0.14968893218269916
202017,0.22617044101770298
202018,0.2878579686790432
202019,0.4185125239481885
202020,0.5215233203114731
202021,0.5782266132522387
202022,0.6115642614580525
202023,0.643209067012422
202024,0.6658997074061325
202025,0.6867324535063264
202026,0.7089112500994654
202027,0.7033998049498944
202028,0.6944674005838729
202029,0.6865775631882304
202030,0.6701377465381784
202031,0.6606957249462839
202032,0.6458220811905614
202101,0.5459713217850107
202102,0.5465566002688063
202103,0.5389764250559227
202104,0.5448082639009605
202105,0.54529211183798
202106,0.547027435001294
202107,0.5528509920395647
202108,0.5656498825631143
202109,0.5773317932781039
202110,0.5787280676423959
202111,0.5803075062489211
