imedreg,imedreg_codepopulacao,letalidade_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,-0.20607403006397385,norte,2
Ariquemes,110002,244267.98213300004,-0.45648204902064626,norte,0
Jaru,110003,120564.550067,-0.45648204902064626,norte,2
Ji-Paraná,110004,304025.6776749999,0.1556264417623308,norte,0
Cacoal,110005,302589.83598300006,-0.45648204902064626,norte,0
Vilhena,110006,165292.086385,-0.45648204902064626,norte,0
Rio Branco,120001,504876.57074800006,-0.14168339661797233,norte,0
Brasiléia,120002,72338.13942400001,-0.45648204902064626,norte,0
Sena Madureira,120003,62990.199089999995,-0.45648204902064626,norte,0
Cruzeiro do Sul,120004,163322.92484599998,-0.45648204902064626,norte,0
Tarauacá,120005,90942.145483,-0.45648204902064626,norte,0
Manaus,130001,2569981.538139,0.16989645565788494,norte,1
São Gabriel da Cachoeira,130002,104242.843152,-0.45648204902064626,norte,0
Coari,130003,156942.81565,-0.45648204902064626,norte,2
Manacapuru,130004,144349.73552,-0.0076024891131297205,norte,0
Tefé,130005,182082.64676700003,1.991951914111262,norte,0
Tabatinga,130006,231873.164687,-0.06988721273666074,norte,0
Eirunepé,130007,101999.009491,-0.45648204902064626,norte,0
Lábrea,130008,130885.96567100001,-0.45648204902064626,norte,2
Manicoré,130009,161550.21102,6.8888198403750796,norte,0
Parintins,130010,249841.37481000004,1.991951914111262,norte,0
Itacoatiara,130011,173964.624469,0.03320474360573548,norte,0
Boa Vista,140001,473642.83966299996,-0.3510470936704684,norte,0
Pacaraima,140002,55863.802617,-0.45648204902064626,norte,0
Rorainópolis,140003,63088.226788,-0.45648204902064626,norte,0
Caracaraí,140004,38586.120428999995,-0.45648204902064626,norte,0
Belém,150001,2592933.5334,-0.132424612723776,norte,3
Cametá,150002,227778.21129,3.216168895677217,norte,0
Abaetetuba,150003,439624.04368,-0.45648204902064626,norte,0
Castanhal,150004,518779.56397599995,0.21127266819714705,norte,4
Bragança,150005,313089.568425,-0.45648204902064626,norte,0
Capanema,150006,191054.418786,-0.45648204902064626,norte,0
Paragominas,150007,410930.524905,-0.45648204902064626,norte,0
Capitão Poço,150008,107161.11330300002,-0.45648204902064626,norte,0
Marabá,150009,570348.4834569999,0.35966260535665656,norte,0
Parauapebas,150010,408077.52058,1.3798434233282852,norte,0
Tucuruí,150011,420204.09783,-0.45648204902064626,norte,0
Redenção,150012,279895.77273,-0.45648204902064626,norte,3
Tucumã - São Félix do Xingu,150013,295441.18707,-0.45648204902064626,norte,0
Xinguara,150014,89038.29791200001,-0.45648204902064626,norte,0
Santarém,150015,445651.83932,0.24307051187418477,norte,4
Itaituba,150016,251297.803402,-0.45648204902064626,norte,0
Oriximiná,150017,223524.79957299997,-0.45648204902064626,norte,0
Altamira,150018,262477.021438,-0.45648204902064626,norte,0
Almeirim - Porto de Moz,150019,74686.83649,-0.45648204902064626,norte,0
Breves,150020,411484.63013,-0.45648204902064626,norte,0
Soure-Salvaterra,150021,157265.792093,-0.45648204902064626,norte,0
Macapá,160001,654457.36529,-0.2681409749335764,norte,0
Laranjal do Jari,160002,67333.12171,-0.45648204902064626,norte,0
Oiapoque,160003,79858.085703,-0.45648204902064626,norte,0
Porto Grande,160004,60124.417104,-0.45648204902064626,norte,0
Palmas,170001,389665.86524799996,-0.13712109730778865,norte,3
Porto Nacional,170002,104659.863133,-0.45648204902064626,norte,0
Paraíso do Tocantins,170003,120386.17455700002,-0.45648204902064626,norte,3
Miracema do Tocantins,170004,45475.336239,-0.45648204902064626,norte,0
Araguaína,170005,325628.103233,-0.45648204902064626,norte,0
Guaraí,170006,86945.84316899999,-0.45648204902064626,norte,0
Colinas do Tocantins,170007,65495.96647999999,-0.45648204902064626,norte,0
Tocantinópolis,170008,49789.446823,-0.45648204902064626,norte,0
Araguatins,170009,137158.76029900002,-0.45648204902064626,norte,0
Gurupi,170010,181173.013458,-0.45648204902064626,norte,3
Dianópolis,170011,83869.633012,-0.45648204902064626,norte,0
São Luís,210001,1676128.6191400003,-0.15826149570007836,nordeste,3
Pinheiro,210002,341442.109984,-0.45648204902064626,nordeste,0
Chapadinha,210003,277946.115811,-0.45648204902064626,nordeste,0
Itapecuru Mirim,210004,298355.59337,-0.45648204902064626,nordeste,0
Viana,210005,257692.15209,-0.45648204902064626,nordeste,0
Barreirinhas,210006,133084.28007,-0.45648204902064626,nordeste,0
Tutóia - Araioses,210007,207214.69482999996,-0.45648204902064626,nordeste,0
Cururupu,210008,122984.01033999998,-0.45648204902064626,nordeste,0
Santa Inês,210009,451846.73544499994,-0.45648204902064626,nordeste,0
Bacabal,210010,405800.035922,-0.45648204902064626,nordeste,3
Governador Nunes Freire,210011,224565.45183500004,-0.45648204902064626,nordeste,3
Pedreiras,210012,184672.964411,-0.45648204902064626,nordeste,0
Caxias,210013,268928.562695,-0.45648204902064626,nordeste,0
Timon,210014,258592.85308,-0.45648204902064626,nordeste,0
Codó,210015,228457.45221000002,-0.45648204902064626,nordeste,3
Presidente Dutra,210016,237441.48151899996,-0.45648204902064626,nordeste,3
São João dos Patos,210017,145805.764558,-0.45648204902064626,nordeste,3
Colinas,210018,80821.55705,-0.45648204902064626,nordeste,0
Imperatriz,210019,532231.693353,0.1556264417623308,nordeste,4
Barra do Corda,210020,280148.643331,-0.45648204902064626,nordeste,0
Açailândia,210021,270352.99432999996,-0.45648204902064626,nordeste,0
Balsas,210022,230084.23996099998,-0.45648204902064626,nordeste,0
Teresina,220001,1134373.896284,-0.13431968545065834,nordeste,3
Amarante - Água Branca - Regeneração,220002,156289.00978199998,-0.45648204902064626,nordeste,0
Campo Maior,220003,136084.484612,-0.45648204902064626,nordeste,0
Valença do Piauí,220004,79823.38348399999,-0.45648204902064626,nordeste,0
Barras,220005,94902.30242899999,-0.45648204902064626,nordeste,0
Parnaíba,220006,282098.81894,1.1758072597339595,nordeste,0
Piripiri,220007,174437.123889,1.642175633663847,nordeste,0
