imedreg,imedreg_codepopulacao,incidencia_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,0.48773011505214503,norte,1
Ariquemes,110002,244267.98213300004,2.4832331600923907,norte,0
Jaru,110003,120564.550067,1.5899728738001242,norte,1
Ji-Paraná,110004,304025.6776749999,1.1896531726992494,norte,1
Cacoal,110005,302589.83598300006,4.0751138714951125,norte,1
Vilhena,110006,165292.086385,3.918481191911166,norte,1
Rio Branco,120001,504876.57074800006,0.06866970861950111,norte,1
Brasiléia,120002,72338.13942400001,1.7552471727192693,norte,0
Sena Madureira,120003,62990.199089999995,0.38515515985258997,norte,1
Cruzeiro do Sul,120004,163322.92484599998,-0.9667333837565366,norte,0
Tarauacá,120005,90942.145483,0.7647572897869953,norte,0
Manaus,130001,2569981.538139,1.8042188808502164,norte,1
São Gabriel da Cachoeira,130002,104242.843152,4.649814064276633,norte,1
Coari,130003,156942.81565,0.3508387431155304,norte,1
Manacapuru,130004,144349.73552,2.466566563002262,norte,1
Tefé,130005,182082.64676700003,4.813827946239418,norte,1
Tabatinga,130006,231873.164687,0.6832982468927126,norte,1
Eirunepé,130007,101999.009491,0.8596365483513497,norte,1
Lábrea,130008,130885.96567100001,1.2398665803709905,norte,1
Manicoré,130009,161550.21102,1.8723295273791558,norte,1
Parintins,130010,249841.37481000004,0.36719327980731625,norte,0
Itacoatiara,130011,173964.624469,1.9831961172023909,norte,0
Boa Vista,140001,473642.83966299996,0.2838016806791817,norte,0
Pacaraima,140002,55863.802617,-0.9606016556991721,norte,0
Rorainópolis,140003,63088.226788,-0.592269957724731,norte,2
Caracaraí,140004,38586.120428999995,-0.37545510645622154,norte,2
Belém,150001,2592933.5334,-0.42561595114091894,norte,0
Cametá,150002,227778.21129,-0.753917640699907,norte,3
Abaetetuba,150003,439624.04368,-1.2872310816266483,norte,0
Castanhal,150004,518779.56397599995,-1.1179478173124817,norte,3
Bragança,150005,313089.568425,-1.3379495786208195,norte,3
Capanema,150006,191054.418786,-0.7172147642636292,norte,3
Paragominas,150007,410930.524905,-0.8819966563707521,norte,3
Capitão Poço,150008,107161.11330300002,-1.040084814320052,norte,3
Marabá,150009,570348.4834569999,-0.9422719210051054,norte,3
Parauapebas,150010,408077.52058,-1.0867287221825126,norte,3
Tucuruí,150011,420204.09783,-0.46543418995929303,norte,3
Redenção,150012,279895.77273,-0.4797764462171968,norte,0
Tucumã - São Félix do Xingu,150013,295441.18707,-0.8238386285075872,norte,0
Xinguara,150014,89038.29791200001,-0.8644399468987765,norte,0
Santarém,150015,445651.83932,-0.5489932397670778,norte,0
Itaituba,150016,251297.803402,-0.7140651341450521,norte,0
Oriximiná,150017,223524.79957299997,-0.911119010957788,norte,0
Altamira,150018,262477.021438,0.31183221293877733,norte,4
Almeirim - Porto de Moz,150019,74686.83649,-1.2974769435754665,norte,0
Breves,150020,411484.63013,-1.2480691193457434,norte,0
Soure-Salvaterra,150021,157265.792093,-1.0972086279355389,norte,0
Macapá,160001,654457.36529,1.2501874559608155,norte,0
Laranjal do Jari,160002,67333.12171,0.5154969065913731,norte,0
Oiapoque,160003,79858.085703,-0.05062726923210192,norte,0
Porto Grande,160004,60124.417104,0.03601563025814912,norte,0
Palmas,170001,389665.86524799996,0.044979640328462994,norte,0
Porto Nacional,170002,104659.863133,1.0600457797641725,norte,0
Paraíso do Tocantins,170003,120386.17455700002,0.6867462039010992,norte,0
Miracema do Tocantins,170004,45475.336239,0.3139197892671769,norte,0
Araguaína,170005,325628.103233,0.5112798280964697,norte,0
Guaraí,170006,86945.84316899999,0.3888539611642313,norte,0
Colinas do Tocantins,170007,65495.96647999999,0.44239847794254455,norte,0
Tocantinópolis,170008,49789.446823,1.1662803114425062,norte,0
Araguatins,170009,137158.76029900002,-1.0530068051022126,norte,0
Gurupi,170010,181173.013458,0.10452550527009312,norte,0
Dianópolis,170011,83869.633012,-0.049937191726798384,norte,0
São Luís,210001,1676128.6191400003,-1.3544506507164924,nordeste,3
Pinheiro,210002,341442.109984,-1.461104925549041,nordeste,3
Chapadinha,210003,277946.115811,-1.5046191898312955,nordeste,3
Itapecuru Mirim,210004,298355.59337,-1.354413288995124,nordeste,3
Viana,210005,257692.15209,-1.4797351002484982,nordeste,3
Barreirinhas,210006,133084.28007,-1.2823224843969054,nordeste,3
Tutóia - Araioses,210007,207214.69482999996,-1.5013995736925971,nordeste,3
Cururupu,210008,122984.01033999998,-1.52612298891631,nordeste,3
Santa Inês,210009,451846.73544499994,-1.218106320934954,nordeste,3
Bacabal,210010,405800.035922,-1.4798328629432482,nordeste,3
Governador Nunes Freire,210011,224565.45183500004,-1.4576834106257741,nordeste,3
Pedreiras,210012,184672.964411,-1.3365579261217095,nordeste,3
Caxias,210013,268928.562695,-1.2657747258369485,nordeste,3
Timon,210014,258592.85308,-1.4006515606141907,nordeste,3
Codó,210015,228457.45221000002,-1.5074358661750045,nordeste,3
Presidente Dutra,210016,237441.48151899996,-1.4649907796695163,nordeste,3
São João dos Patos,210017,145805.764558,-1.0107926152607454,nordeste,0
