imedreg,imedreg_codepopulacao,letalidade_normalizada,regiao,cluster
Corrente,220015,120522.36767299999,0.034737068706900215,nordeste,4
Bom Jesus,220016,77915.88872199999,-0.3378360203700617,nordeste,0
Floriano,220017,124347.35358400001,-0.31362117783238463,nordeste,0
Uruçuí,220018,61936.30414100001,-0.666662418143814,nordeste,0
Canto do Buriti,220019,49014.573814,1.2800293953283113,nordeste,0
Fortaleza,230001,4212262.35793,2.291484196492154,nordeste,1
Itapipoca,230002,311590.29093,1.6833794075947115,nordeste,1
Redenção-Acarape,230003,229672.19836,0.3209378667906694,nordeste,1
Canindé,230004,204751.35333000004,1.3241782853921102,nordeste,1
Itapagé,230005,156725.52479,2.3935986956332482,nordeste,1
Quixadá,230006,333010.95934999996,0.5685001191350344,nordeste,0
Russas - Limoeiro do Norte,230007,385634.97420500003,-0.30676683839526453,nordeste,0
Aracati,230008,152228.60224,0.18213898015730617,nordeste,0
Iguatu,230009,330687.50607,0.321065159237127,nordeste,0
Icó,230010,110782.59877,0.22951047501282928,nordeste,0
Juazeiro do Norte,230011,851305.5297979999,-0.12331247726994911,nordeste,0
Brejo Santo,230012,188837.72431,-0.27260174575779894,nordeste,0
Crateús,230013,247029.53571999999,-0.2518510498242325,nordeste,0
Tauá,230014,92350.27985,0.39717570237498284,nordeste,0
Sobral,230015,613519.6217039999,0.1658725534784326,nordeste,1
São Benedito - Ipu - Guaraciaba do Norte - Tianguá,230016,406972.32661999995,-0.030310055111832726,nordeste,0
Acaraú,230017,216118.57382999998,-0.30296377159193544,nordeste,0
Camocim,230018,144405.99371,0.8951369445725571,nordeste,0
Natal,240001,1743859.074166,1.0733128828583691,nordeste,0
Santo Antônio - Passa e Fica - Nova Cruz,240002,142754.64600200002,0.846808124406409,nordeste,0
Canguaretama,240003,139853.969338,0.01182194416015969,nordeste,0
Santa Cruz,240004,99814.195614,-0.3446854361692037,nordeste,0
João Câmara,240005,73448.84682600001,-0.9743613827412756,nordeste,0
São Paulo do Potengi,240006,66820.48851699999,1.2383237044889157,nordeste,0
Caicó,240007,177541.72769499998,-0.8025038159920499,nordeste,0
Currais Novos,240008,112075.386137,-0.6570733074485264,nordeste,0
Mossoró,240009,506065.532053,0.29212176011476476,nordeste,0
Pau dos Ferros,240010,232247.75273900005,-0.7583476389031992,nordeste,0
Açu,240011,239683.381827,1.0758704847342353,nordeste,4
João Pessoa,250001,1452524.6672960005,0.8508604868559814,nordeste,0
Guarabira,250002,314765.34578200005,-0.3789047895178713,nordeste,0
Mamanguape - Rio Tinto,250003,148357.802504,-0.3769980743515311,nordeste,0
Itabaiana,250004,63753.31175000001,-0.005986448745128917,nordeste,2
Campina Grande,250005,931376.7193609999,0.2994662613150447,nordeste,0
Cuité - Nova Floresta,250006,93945.32509700001,-1.0111252938913335,nordeste,0
Monteiro,250007,56261.812517000006,-0.7828984992574989,nordeste,0
Sumé,250008,50438.907963000005,-0.7240206170014972,nordeste,0
Patos,250009,265946.903487,-0.06937865357743155,nordeste,0
Itaporanga,250010,122107.57574800002,-0.32582710987163843,nordeste,0
Catolé do Rocha - São Bento,250011,118344.00627,-0.7712746214307579,nordeste,0
Pombal,250012,65066.772294999995,-0.5874018223585699,nordeste,0
Princesa Isabel,250013,62855.512667999996,-0.20953924919966543,nordeste,0
Sousa,250014,139757.42990999998,-0.21877835677862084,nordeste,0
Cajazeiras,250015,153774.930903,-0.0530472046655698,nordeste,0
Recife,260001,4016539.695079,4.216288392119407,nordeste,1
Goiana – Timbaúba,260002,340065.78466000006,1.6784229369858894,nordeste,1
Palmares,260003,260124.782594,2.62414975503417,nordeste,1
Limoeiro,260004,226373.37741000002,2.7981489005428934,nordeste,1
Vitória de Santo Antão,260005,207936.9037,4.015417824582339,nordeste,1
Carpina,260006,183777.09359,5.065955867298432,nordeste,1
Barreiros - Sirinhaém,260007,161275.69727,4.455215040423162,nordeste,1
Surubim,260008,138827.15985,0.9411346287818446,nordeste,1
Caruaru,260009,1143502.4863800001,1.2872030852612955,nordeste,1
Garanhuns,260010,559153.8110999998,0.4389040661681766,nordeste,1
Arcoverde,260011,381987.26514,0.19889851344380982,nordeste,0
Belo Jardim – Pesqueira,260012,270946.71656000003,0.7303875412129394,nordeste,0
Serra Talhada,260013,331597.202674,-0.3259605149948656,nordeste,0
Afogados da Ingazeira,260014,187106.129848,-0.3287740796998008,nordeste,0
Petrolina,260015,512192.2046,-0.948351356335591,nordeste,0
Araripina,260016,336838.86040999996,0.13839831875923117,nordeste,0
Salgueiro,260017,193058.36722900002,-0.37430069341546546,nordeste,0
Escada - Ribeirão,260018,165768.42274599997,9.921745023204856,nordeste,1
Maceió,270001,1328339.1964320005,0.9423482261065165,nordeste,0
Porto Calvo - São Luís do Quitunde,270002,213220.69570800004,0.80702800237169,nordeste,1
Penedo,270003,195167.849766,-0.4173936014477428,nordeste,0
São Miguel dos Campos,270004,186218.698957,0.11466307517890113,nordeste,0
União dos Palmares,270005,151747.64067900003,1.435040671768076,nordeste,1
Atalaia,270006,121125.36878599998,0.7310660747576755,nordeste,0
Arapiraca,270007,565424.86768,-0.25482514121621097,nordeste,0
Palmeira dos Índios,270008,169330.76583999998,-0.0890660220805922,nordeste,0
Delmiro Gouveia,270009,158439.567114,0.44777430223413395,nordeste,0
Santana do Ipanema,270010,143255.25791,-0.2861603792986081,nordeste,0
Pão de Açúcar - Olho d'Água das Flores – Batalha,270011,118822.074752,-0.5235150421240058,nordeste,0
Aracaju,280001,1237324.106538,-0.12710986244499392,nordeste,0
Estância,280002,243854.606175,0.9144526412194605,nordeste,0
Propriá,280003,158147.453095,0.9999401196438179,nordeste,0
Itabaiana,280004,249607.545829,0.13484444442448196,nordeste,0
Lagarto,280005,254692.5906,0.9131396208190533,nordeste,0
Nossa Senhora da Glória,280006,175405.68509699998,0.30299769673214527,nordeste,0
Salvador,290001,4084138.4268900002,0.5645836568030296,nordeste,0
Alagoinhas,290002,511144.4709700001,-0.4652853260407294,nordeste,0
Santo Antônio de Jesus,290003,291368.26246600004,-0.841356953526786,nordeste,0
Cruz das Almas,290004,284419.79349999997,-0.9197495601992108,nordeste,0
Valença,290005,260522.68494999997,0.3122873446542751,nordeste,0
Nazaré – Maragogipe,290006,185483.24923000002,-0.07352696630308328,nordeste,0
Ilhéus – Itabuna,290007,630044.88406,0.26423088432485664,nordeste,0
Teixeira de Freitas,290008,463055.64130400005,-0.37828049592394936,nordeste,0
Eunápolis - Porto Seguro,290009,398006.10543,-0.2844775546213032,nordeste,0
Camacan,290010,128377.17958,0.5107771223123506,nordeste,0
Vitória da Conquista,290011,807168.5889399999,-0.6196015887287776,nordeste,0
Jequié,290012,335632.69826100004,-0.2817292966741853,nordeste,0
Brumado,290013,223982.71154999998,-1.0109011527804173,nordeste,3
Ipiaú,290014,218504.67817,-0.49675886622705523,nordeste,0
Itapetinga,290015,155342.98423,-0.27993194990684933,nordeste,0
Guanambi,290016,466837.04169399996,-1.0632346342622858,nordeste,3
Bom Jesus da Lapa,290017,234019.08669999999,-0.7544445325435587,nordeste,3
Barreiras,290018,558661.119109,-0.6417113181198751,nordeste,3
Santa Maria da Vitoria,290019,132909.28577999998,-0.8246775949701534,nordeste,3
Irecê,290020,403244.60797899996,-1.0294902301876994,nordeste,3
Xique-Xique – Barra,290021,217720.62055999998,-0.14374532260208267,nordeste,3
Juazeiro,290022,519402.68434,-0.21930855391045323,nordeste,3
Senhor do Bonfim,290023,292848.60513000004,-0.7364468326382688,nordeste,3
Paulo Afonso,290024,196770.343708,0.43405709295233535,nordeste,0
Ribeira do Pombal,290025,192354.02113,-0.8752000077126794,nordeste,0
Euclides da Cunha,290026,184569.18926000004,-0.3801315404851463,nordeste,3
Cícero Dantas,290027,127117.44118,-0.6878278817694212,nordeste,0
Jeremoabo,290028,96341.81287,-0.6138689006979046,nordeste,0
Feira de Santana,290029,1235784.0604499998,-0.5632059390325259,nordeste,3
Jacobina,290030,318908.05842,-1.3816476775655402,nordeste,3
Itaberaba,290031,217208.981881,-0.49678429859359574,nordeste,3
Conceição do Coité,290032,192721.90131999998,-1.5123983046516467,nordeste,3
Serrinha,290033,188895.1299,-1.0459495894429118,nordeste,3
Seabra,290034,176917.79693,-1.4140498267360335,nordeste,3
Belo Horizonte,310001,5302661.613623001,0.7299278344678798,sudeste,4
Sete Lagoas,310002,414784.14420100005,-1.1105697249350415,sudeste,0
Santa Bárbara - Ouro Preto,310003,259941.603071,-1.180233493309028,sudeste,0
Curvelo,310004,184938.06675999996,1.0954522776980893,sudeste,4
Itabira,310005,156708.129292,-1.1651394074789578,sudeste,0
Montes Claros,310006,772503.515917,-0.3455711068560146,sudeste,0
Janaúba,310007,222460.21700499998,-0.35641479107009,sudeste,0
Salinas,310008,192580.832348,-0.7110843416021516,sudeste,0
Januária,310009,150628.74508,0.08265418986212261,sudeste,0
Pirapora,310010,147491.22293500003,-0.6506674711576758,sudeste,0
São Francisco,310011,116369.90954,0.5346453923537602,sudeste,0
Espinosa,310012,95914.98229,0.12458988202243222,sudeste,0
Teófilo Otoni,310013,490239.30398100003,0.08130146830618216,sudeste,0
Capelinha,310014,178218.62567,-0.8212505057163287,sudeste,0
Almenara,310015,169968.86164000002,-0.5438870047867381,sudeste,0
Diamantina,310016,125470.937976,-0.08493023499508794,sudeste,0
Araçuaí,310017,108053.927453,-0.17307423484524626,sudeste,0
Pedra Azul,310018,92450.358212,-0.05153065301151512,sudeste,0
Águas Formosas,310019,50874.08342899999,-0.639401303374082,sudeste,0
Governador Valadares,310020,449625.61725700006,1.5147060163153068,sudeste,0
Guanhães,310021,192563.19338,-1.0797512613714417,sudeste,0
Mantena,310022,64555.720241,0.317458699778903,sudeste,0
Aimorés - Resplendor,310023,58250.58644,-0.7409330554554389,sudeste,0
Ipatinga,310024,648876.4022819999,0.2512885411754988,sudeste,0
Caratinga,310025,231827.03051900002,1.0843787586253182,sudeste,0
João Monlevade,310026,148813.19643,-0.18592528584843665,sudeste,0
Juiz de Fora,310027,746206.3141799999,1.8134868807016173,sudeste,0
Manhuaçu,310028,352970.67047899996,0.08643033839185431,sudeste,0
