imedreg,imedreg_codepopulacao,prevalencia_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,2.260621254373324,norte,1
Ariquemes,110002,244267.98213300004,1.3533237602370967,norte,1
Jaru,110003,120564.550067,0.9874270211287378,norte,1
Ji-Paraná,110004,304025.6776749999,0.7141401019647683,norte,1
Cacoal,110005,302589.83598300006,1.0667774279023288,norte,0
Vilhena,110006,165292.086385,1.1954974232428903,norte,0
Rio Branco,120001,504876.57074800006,0.4726520113411672,norte,1
Brasiléia,120002,72338.13942400001,1.8230760215447228,norte,0
Sena Madureira,120003,62990.199089999995,1.1053543817735938,norte,1
Cruzeiro do Sul,120004,163322.92484599998,0.2857986911309718,norte,1
Tarauacá,120005,90942.145483,1.0133966378375039,norte,0
Manaus,130001,2569981.538139,0.8347007682838059,norte,1
São Gabriel da Cachoeira,130002,104242.843152,3.700194774852691,norte,1
Coari,130003,156942.81565,1.7481422465369174,norte,1
Manacapuru,130004,144349.73552,1.2093131839031894,norte,1
Tefé,130005,182082.64676700003,3.295700652662854,norte,1
Tabatinga,130006,231873.164687,0.7301870051453355,norte,1
Eirunepé,130007,101999.009491,2.3673805091599416,norte,1
Lábrea,130008,130885.96567100001,2.044974984144279,norte,1
Manicoré,130009,161550.21102,0.8185015406857837,norte,1
Parintins,130010,249841.37481000004,0.6420637051169111,norte,0
Itacoatiara,130011,173964.624469,1.6661260801899267,norte,0
Boa Vista,140001,473642.83966299996,4.290595153617159,norte,0
Pacaraima,140002,55863.802617,1.0694583651544043,norte,1
Rorainópolis,140003,63088.226788,1.5821151173724557,norte,1
Caracaraí,140004,38586.120428999995,0.6635062554453499,norte,1
Belém,150001,2592933.5334,-0.4026877029825372,norte,0
Cametá,150002,227778.21129,-0.18888071789847147,norte,3
Abaetetuba,150003,439624.04368,-1.1091415069139625,norte,3
Castanhal,150004,518779.56397599995,-0.932595814134019,norte,3
Bragança,150005,313089.568425,-1.0906719923820836,norte,3
Capanema,150006,191054.418786,-1.0182141497747463,norte,3
Paragominas,150007,410930.524905,-1.0580133219113055,norte,3
Capitão Poço,150008,107161.11330300002,-0.5922478983819096,norte,3
Marabá,150009,570348.4834569999,-0.639703361813219,norte,0
Parauapebas,150010,408077.52058,2.4140578329097697,norte,0
Tucuruí,150011,420204.09783,-1.464132378688687,norte,0
Redenção,150012,279895.77273,-0.17264615131923414,norte,2
Tucumã - São Félix do Xingu,150013,295441.18707,-0.5700840297729599,norte,0
Xinguara,150014,89038.29791200001,0.6179950867405984,norte,1
Santarém,150015,445651.83932,0.019831391195066182,norte,0
