imedreg,imedreg_codepopulacao,prevalencia_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,2.7548154525554316,norte,1
Ariquemes,110002,244267.98213300004,0.533881094040652,norte,1
Jaru,110003,120564.550067,0.3935529427161541,norte,0
Ji-Paraná,110004,304025.6776749999,-0.1201942552764974,norte,0
Cacoal,110005,302589.83598300006,-0.05245951308659994,norte,0
Vilhena,110006,165292.086385,0.2849177036990418,norte,0
Rio Branco,120001,504876.57074800006,0.8310182469498821,norte,1
Brasiléia,120002,72338.13942400001,1.780896209706309,norte,0
Sena Madureira,120003,62990.199089999995,1.142527862065593,norte,1
Cruzeiro do Sul,120004,163322.92484599998,1.0085969721798638,norte,1
Tarauacá,120005,90942.145483,1.0534894875768024,norte,0
Manaus,130001,2569981.538139,0.41067417832633707,norte,1
São Gabriel da Cachoeira,130002,104242.843152,5.449887524009233,norte,1
Coari,130003,156942.81565,3.572335604559659,norte,1
Manacapuru,130004,144349.73552,1.663922114601134,norte,1
Tefé,130005,182082.64676700003,2.900430512427399,norte,1
Tabatinga,130006,231873.164687,1.6738596776640937,norte,1
Eirunepé,130007,101999.009491,2.622664294803894,norte,1
Lábrea,130008,130885.96567100001,2.520593859629069,norte,1
Manicoré,130009,161550.21102,1.3279657844732147,norte,1
Parintins,130010,249841.37481000004,1.1072784888439198,norte,1
Itacoatiara,130011,173964.624469,1.1382442979234493,norte,1
Boa Vista,140001,473642.83966299996,4.923778896623666,norte,1
Pacaraima,140002,55863.802617,2.5549219574705564,norte,1
Rorainópolis,140003,63088.226788,3.1930136670828286,norte,1
Caracaraí,140004,38586.120428999995,1.0052783433966588,norte,1
Belém,150001,2592933.5334,0.32129911732265,norte,0
Cametá,150002,227778.21129,1.496486373146344,norte,0
Abaetetuba,150003,439624.04368,0.15259949917165958,norte,0
Castanhal,150004,518779.56397599995,0.034042831057113254,norte,0
Bragança,150005,313089.568425,0.3042258304024045,norte,0
Capanema,150006,191054.418786,0.3823836734306286,norte,0
Paragominas,150007,410930.524905,0.0019483818593503148,norte,0
Capitão Poço,150008,107161.11330300002,0.8123420527470351,norte,0
Marabá,150009,570348.4834569999,0.27285777347301793,norte,0
Parauapebas,150010,408077.52058,3.614709201413121,norte,0
Tucuruí,150011,420204.09783,-0.5837935790688785,norte,0
Redenção,150012,279895.77273,0.3005985953949909,norte,0
Tucumã - São Félix do Xingu,150013,295441.18707,0.3451107967423535,norte,1
Xinguara,150014,89038.29791200001,1.5455094667292069,norte,1
Santarém,150015,445651.83932,0.5020023914542853,norte,1
Itaituba,150016,251297.803402,1.7705946991242036,norte,1
Oriximiná,150017,223524.79957299997,1.3660733562467096,norte,1
Altamira,150018,262477.021438,1.6629392807092398,norte,0
Almeirim - Porto de Moz,150019,74686.83649,0.028964915161133493,norte,1
Breves,150020,411484.63013,0.5133547613188757,norte,1
Soure-Salvaterra,150021,157265.792093,0.035546999009683444,norte,0
Macapá,160001,654457.36529,1.9785265803788805,norte,1
Laranjal do Jari,160002,67333.12171,6.319505911873206,norte,1
Oiapoque,160003,79858.085703,5.056010586701332,norte,1
Porto Grande,160004,60124.417104,5.580684162523433,norte,1
Palmas,170001,389665.86524799996,0.7888396559726408,norte,0
Porto Nacional,170002,104659.863133,0.2866580155626184,norte,0
Paraíso do Tocantins,170003,120386.17455700002,-0.0098088582358375,norte,0
Miracema do Tocantins,170004,45475.336239,0.4721006682369166,norte,0
Araguaína,170005,325628.103233,2.0776238817912773,norte,1
Guaraí,170006,86945.84316899999,0.09313486117477869,norte,1
Colinas do Tocantins,170007,65495.96647999999,0.817456451332282,norte,0
Tocantinópolis,170008,49789.446823,1.2140658565455025,norte,0
Araguatins,170009,137158.76029900002,0.6407464845084542,norte,1
Gurupi,170010,181173.013458,0.6015454919992382,norte,0
Dianópolis,170011,83869.633012,-0.7545067043375512,norte,0
São Luís,210001,1676128.6191400003,-0.1801149247642403,nordeste,0
Pinheiro,210002,341442.109984,-0.0706184289900592,nordeste,0
Chapadinha,210003,277946.115811,1.2260998478718816,nordeste,0
Itapecuru Mirim,210004,298355.59337,-0.42224158829883274,nordeste,0
Viana,210005,257692.15209,-0.5439700321429379,nordeste,0
Barreirinhas,210006,133084.28007,-0.5247556194404789,nordeste,0
Tutóia - Araioses,210007,207214.69482999996,0.26860339616277273,nordeste,0
Cururupu,210008,122984.01033999998,0.028633533487181784,nordeste,0
Santa Inês,210009,451846.73544499994,1.7465855198381077,nordeste,0
Bacabal,210010,405800.035922,1.0112313416594947,nordeste,0
Governador Nunes Freire,210011,224565.45183500004,0.1598394580632187,nordeste,0
Pedreiras,210012,184672.964411,2.090036078091191,nordeste,0
Caxias,210013,268928.562695,0.9174135565887243,nordeste,0
Timon,210014,258592.85308,0.06239182466499937,nordeste,0
Codó,210015,228457.45221000002,0.015684873264679662,nordeste,1
Presidente Dutra,210016,237441.48151899996,0.8272353692298419,nordeste,1
São João dos Patos,210017,145805.764558,-0.13967446498404945,nordeste,0
Colinas,210018,80821.55705,0.8696631233627826,nordeste,0
Imperatriz,210019,532231.693353,0.4739905766179465,nordeste,1
Barra do Corda,210020,280148.643331,1.3741580372875322,nordeste,1
Açailândia,210021,270352.99432999996,1.1344941099098733,nordeste,0
Balsas,210022,230084.23996099998,1.3137115158809043,nordeste,1
Teresina,220001,1134373.896284,0.8965115504487597,nordeste,0
Amarante - Água Branca - Regeneração,220002,156289.00978199998,0.21474796673944294,nordeste,0
Campo Maior,220003,136084.484612,0.4852274280794925,nordeste,0
Valença do Piauí,220004,79823.38348399999,-0.17269261983960316,nordeste,0
Barras,220005,94902.30242899999,1.509322332247725,nordeste,0
Parnaíba,220006,282098.81894,1.4042758116126262,nordeste,0
Piripiri,220007,174437.123889,-0.0825193042442619,nordeste,2
Esperantina,220008,146372.46837199997,1.4417655309100623,nordeste,1
Picos,220009,291225.751458,0.1490842737727954,nordeste,0
Paulistana,220010,79939.350837,-0.813965282779167,nordeste,0
Oeiras,220011,68545.96854100001,0.3521893924411829,nordeste,0
Simplício Mendes,220012,41332.865334999995,-0.8421251011239368,nordeste,0
São Raimundo Nonato,220013,113098.98546299999,-0.1514370367145866,nordeste,0
São João do Piauí,220014,48436.09284500001,-0.6225882568161443,nordeste,0
Corrente,220015,120522.36767299999,-0.889917608273667,nordeste,0
Bom Jesus,220016,77915.88872199999,0.19413551790262956,nordeste,0
Floriano,220017,124347.35358400001,-0.27663923821550473,nordeste,0
Uruçuí,220018,61936.30414100001,2.1387101882765944,nordeste,0
Canto do Buriti,220019,49014.573814,-0.6787755052598629,nordeste,0
Fortaleza,230001,4212262.35793,0.32431854556720036,nordeste,0
Itapipoca,230002,311590.29093,0.3247763058302584,nordeste,1
Redenção-Acarape,230003,229672.19836,1.1187078746873327,nordeste,0
Canindé,230004,204751.35333000004,0.43031959233180095,nordeste,1
Itapagé,230005,156725.52479,0.3235255551338975,nordeste,0
Quixadá,230006,333010.95934999996,0.6851737147210594,nordeste,0
Russas - Limoeiro do Norte,230007,385634.97420500003,0.8705070855697874,nordeste,0
Aracati,230008,152228.60224,0.40791867948496646,nordeste,0
Iguatu,230009,330687.50607,0.2588803221250346,nordeste,0
Icó,230010,110782.59877,0.06936141291756166,nordeste,0
Juazeiro do Norte,230011,851305.5297979999,1.1360482672900911,nordeste,0
Brejo Santo,230012,188837.72431,-0.130258197957656,nordeste,0
Crateús,230013,247029.53571999999,0.2174057805554156,nordeste,0
Tauá,230014,92350.27985,-0.1300873900646852,nordeste,0
Sobral,230015,613519.6217039999,2.110189542062481,nordeste,1
São Benedito - Ipu - Guaraciaba do Norte - Tianguá,230016,406972.32661999995,0.6821011395144434,nordeste,1
Acaraú,230017,216118.57382999998,1.8554472276418343,nordeste,1
Camocim,230018,144405.99371,1.808048757533076,nordeste,1
Natal,240001,1743859.074166,0.46218170000867975,nordeste,0
Santo Antônio - Passa e Fica - Nova Cruz,240002,142754.64600200002,-0.4036808478621252,nordeste,0
Canguaretama,240003,139853.969338,-0.2279083721443225,nordeste,0
Santa Cruz,240004,99814.195614,-0.34596848152373005,nordeste,0
João Câmara,240005,73448.84682600001,-0.34429733842753335,nordeste,0
São Paulo do Potengi,240006,66820.48851699999,-0.1379077637948699,nordeste,0
Caicó,240007,177541.72769499998,0.2056522760270125,nordeste,0
Currais Novos,240008,112075.386137,-0.5955428407260465,nordeste,0
Mossoró,240009,506065.532053,0.42364958964073796,nordeste,0
Pau dos Ferros,240010,232247.75273900005,-0.9177397791850832,nordeste,0
