imedreg,imedreg_codepopulacao,letalidade_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,-0.27723851703179664,norte,0
Ariquemes,110002,244267.98213300004,-0.4812758092095599,norte,0
Jaru,110003,120564.550067,-0.6419979220423232,norte,0
Ji-Paraná,110004,304025.6776749999,-0.2610269879202177,norte,0
Cacoal,110005,302589.83598300006,-0.310184527806941,norte,0
Vilhena,110006,165292.086385,-0.6419979220423232,norte,0
Rio Branco,120001,504876.57074800006,-0.32055369637679665,norte,3
Brasiléia,120002,72338.13942400001,-0.6419979220423232,norte,0
Sena Madureira,120003,62990.199089999995,-0.6419979220423232,norte,0
Cruzeiro do Sul,120004,163322.92484599998,-0.6419979220423232,norte,0
Tarauacá,120005,90942.145483,-0.03692643843662628,norte,0
Manaus,130001,2569981.538139,0.2967082094064535,norte,0
São Gabriel da Cachoeira,130002,104242.843152,0.10609045768835665,norte,0
Coari,130003,156942.81565,0.37500075802939903,norte,0
Manacapuru,130004,144349.73552,-0.08212921736127808,norte,0
Tefé,130005,182082.64676700003,-0.2617311855803325,norte,0
Tabatinga,130006,231873.164687,-0.051087685925270195,norte,0
Eirunepé,130007,101999.009491,-0.6419979220423232,norte,0
Lábrea,130008,130885.96567100001,-0.593705831801493,norte,0
Manicoré,130009,161550.21102,0.16476405609860603,norte,0
Parintins,130010,249841.37481000004,0.18835553074770242,norte,0
Itacoatiara,130011,173964.624469,0.16476405609860603,norte,0
Boa Vista,140001,473642.83966299996,-0.462238821087621,norte,0
Pacaraima,140002,55863.802617,-0.6419979220423232,norte,0
Rorainópolis,140003,63088.226788,-0.6419979220423232,norte,0
Caracaraí,140004,38586.120428999995,-0.6419979220423232,norte,0
Belém,150001,2592933.5334,0.2410515784684984,norte,0
Cametá,150002,227778.21129,0.18309955560180902,norte,0
Abaetetuba,150003,439624.04368,-0.31648478212786596,norte,0
Castanhal,150004,518779.56397599995,0.2213534754286354,norte,0
Bragança,150005,313089.568425,0.23774416925280195,norte,0
Capanema,150006,191054.418786,-0.02605689082694304,norte,0
Paragominas,150007,410930.524905,-0.34384675620763194,norte,0
Capitão Poço,150008,107161.11330300002,-0.4479183895650242,norte,0
Marabá,150009,570348.4834569999,1.2424995230807632,norte,0
Parauapebas,150010,408077.52058,1.0170690491345877,norte,0
Tucuruí,150011,420204.09783,0.6852556548992055,norte,0
Redenção,150012,279895.77273,-0.18483280109579658,norte,0
Tucumã - São Félix do Xingu,150013,295441.18707,-0.6419979220423232,norte,0
Xinguara,150014,89038.29791200001,0.4407615749362923,norte,0
Santarém,150015,445651.83932,0.3443514827395663,norte,0
Itaituba,150016,251297.803402,0.149249402672819,norte,0
Oriximiná,150017,223524.79957299997,0.9009343611522039,norte,0
Altamira,150018,262477.021438,-0.4705610016873757,norte,0
Almeirim - Porto de Moz,150019,74686.83649,0.09273173662173734,norte,0
Breves,150020,411484.63013,0.7103730034668241,norte,0
Soure-Salvaterra,150021,157265.792093,0.35344226066382345,norte,0
Macapá,160001,654457.36529,-0.3871267641513774,norte,0
Laranjal do Jari,160002,67333.12171,-0.04648019870408458,norte,0
Oiapoque,160003,79858.085703,-0.3941373143002304,norte,0
Porto Grande,160004,60124.417104,-0.2610269879202177,norte,0
Palmas,170001,389665.86524799996,-0.4491313866430073,norte,0
Porto Nacional,170002,104659.863133,-0.6419979220423232,norte,0
Paraíso do Tocantins,170003,120386.17455700002,0.21518667973241404,norte,0
Miracema do Tocantins,170004,45475.336239,1.4152451222170463,norte,0
Araguaína,170005,325628.103233,-0.6419979220423232,norte,0
Guaraí,170006,86945.84316899999,-0.6419979220423232,norte,0
Colinas do Tocantins,170007,65495.96647999999,-0.6419979220423232,norte,0
Tocantinópolis,170008,49789.446823,0.2931125526210267,norte,0
Araguatins,170009,137158.76029900002,-0.181421121088733,norte,0
Gurupi,170010,181173.013458,-0.4705610016873757,norte,0
Dianópolis,170011,83869.633012,-0.6419979220423232,norte,0
São Luís,210001,1676128.6191400003,0.024852271725335388,nordeste,0
