imedreg,imedreg_codepopulacao,incidencia_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,0.9599584859577707,norte,0
Ariquemes,110002,244267.98213300004,1.5676399678221562,norte,0
Jaru,110003,120564.550067,0.34965730313076626,norte,0
Ji-Paraná,110004,304025.6776749999,1.8136385205957433,norte,0
Cacoal,110005,302589.83598300006,0.8482638347368697,norte,0
Vilhena,110006,165292.086385,0.39918240819512774,norte,0
Rio Branco,120001,504876.57074800006,0.43284906741753143,norte,1
Brasiléia,120002,72338.13942400001,2.1933725269168187,norte,0
Sena Madureira,120003,62990.199089999995,1.3634135318731986,norte,1
Cruzeiro do Sul,120004,163322.92484599998,1.7757079218239407,norte,0
Tarauacá,120005,90942.145483,1.9026840165116872,norte,1
Manaus,130001,2569981.538139,1.7719744607140313,norte,0
São Gabriel da Cachoeira,130002,104242.843152,2.256328523337524,norte,0
Coari,130003,156942.81565,0.20043543314793186,norte,0
Manacapuru,130004,144349.73552,1.4777332896017934,norte,1
Tefé,130005,182082.64676700003,2.2037334180894006,norte,1
Tabatinga,130006,231873.164687,1.0223897222552893,norte,0
Eirunepé,130007,101999.009491,0.33532290884290106,norte,1
Lábrea,130008,130885.96567100001,0.6549053290310899,norte,0
Manicoré,130009,161550.21102,-5.28734049979406,norte,2
Parintins,130010,249841.37481000004,-0.3890985070991266,norte,0
Itacoatiara,130011,173964.624469,2.3612935697566386,norte,0
Boa Vista,140001,473642.83966299996,1.1861357171707652,norte,0
Pacaraima,140002,55863.802617,-0.2893225175842925,norte,0
Rorainópolis,140003,63088.226788,0.5086421430200191,norte,1
Caracaraí,140004,38586.120428999995,-0.7714262904829066,norte,2
Belém,150001,2592933.5334,-0.5403417755625579,norte,0
Cametá,150002,227778.21129,-0.7592305148355859,norte,3
Abaetetuba,150003,439624.04368,-1.339866632820915,norte,0
Castanhal,150004,518779.56397599995,-0.742520055979688,norte,3
Bragança,150005,313089.568425,-1.3224687689662518,norte,3
Capanema,150006,191054.418786,-0.9577694168392409,norte,3
Paragominas,150007,410930.524905,-0.5714276071397424,norte,3
Capitão Poço,150008,107161.11330300002,-1.0743097077387551,norte,3
Marabá,150009,570348.4834569999,-0.5220464482596665,norte,0
Parauapebas,150010,408077.52058,0.11283965147516432,norte,0
Tucuruí,150011,420204.09783,-1.0720713945721076,norte,3
Redenção,150012,279895.77273,-0.4174152912702689,norte,0
Tucumã - São Félix do Xingu,150013,295441.18707,-0.9603764488355697,norte,0
Xinguara,150014,89038.29791200001,0.16830759750460886,norte,0
Santarém,150015,445651.83932,0.17902155690221458,norte,0
Itaituba,150016,251297.803402,-0.13430724225146265,norte,0
Oriximiná,150017,223524.79957299997,2.4122615459890713,norte,0
Altamira,150018,262477.021438,0.43765468313828565,norte,4
Almeirim - Porto de Moz,150019,74686.83649,-1.254428214694545,norte,0
Breves,150020,411484.63013,-1.224531078436823,norte,0
Soure-Salvaterra,150021,157265.792093,-0.5499853343943059,norte,0
Macapá,160001,654457.36529,0.32411965924851266,norte,0
Laranjal do Jari,160002,67333.12171,0.7519725906204969,norte,0
Oiapoque,160003,79858.085703,1.195640189474221,norte,0
Porto Grande,160004,60124.417104,-1.083760215350191,norte,0
Palmas,170001,389665.86524799996,0.3914829713745035,norte,0
Porto Nacional,170002,104659.863133,0.25294513775641464,norte,0
Paraíso do Tocantins,170003,120386.17455700002,0.4676603801994877,norte,0
Miracema do Tocantins,170004,45475.336239,-0.09079784569767227,norte,0
Araguaína,170005,325628.103233,0.04770281197293024,norte,0
Guaraí,170006,86945.84316899999,-0.035858729857975245,norte,0
Colinas do Tocantins,170007,65495.96647999999,-1.1755710074703578,norte,0
Tocantinópolis,170008,49789.446823,-1.0315054795896623,norte,0
Araguatins,170009,137158.76029900002,-0.5029982453293795,norte,0
Gurupi,170010,181173.013458,0.0017111154327568575,norte,0
Dianópolis,170011,83869.633012,-0.9189851968507128,norte,0
São Luís,210001,1676128.6191400003,-1.1342915408065601,nordeste,3
Pinheiro,210002,341442.109984,-1.4250945716182795,nordeste,3
Chapadinha,210003,277946.115811,-1.3913632517291825,nordeste,3
Itapecuru Mirim,210004,298355.59337,-1.2137870796210997,nordeste,3
Viana,210005,257692.15209,-1.274011834216365,nordeste,3
Barreirinhas,210006,133084.28007,-1.4032895480272152,nordeste,3
Tutóia - Araioses,210007,207214.69482999996,-1.4832403938390737,nordeste,3
Cururupu,210008,122984.01033999998,-1.3715961222191784,nordeste,3
