imedreg,imedreg_codepopulacao,incidencia_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,1.7609415624072975,norte,1
Ariquemes,110002,244267.98213300004,0.4555585050131837,norte,0
Jaru,110003,120564.550067,-0.12390996656335142,norte,0
Ji-Paraná,110004,304025.6776749999,-0.013716300883626287,norte,0
Cacoal,110005,302589.83598300006,-0.37180451613277027,norte,0
Vilhena,110006,165292.086385,-0.42328086766960304,norte,0
Rio Branco,120001,504876.57074800006,2.8590283514813266,norte,0
Brasiléia,120002,72338.13942400001,0.3225253231744755,norte,0
Sena Madureira,120003,62990.199089999995,-0.5359976098697077,norte,2
Cruzeiro do Sul,120004,163322.92484599998,-0.26982085494404556,norte,0
Tarauacá,120005,90942.145483,-0.3994185764646496,norte,0
Manaus,130001,2569981.538139,2.784291982575466,norte,1
São Gabriel da Cachoeira,130002,104242.843152,0.23849332568837542,norte,1
Coari,130003,156942.81565,3.4606804722559357,norte,1
Manacapuru,130004,144349.73552,10.994234140595374,norte,1
Tefé,130005,182082.64676700003,2.945687531325618,norte,1
Tabatinga,130006,231873.164687,4.740369100127794,norte,0
Eirunepé,130007,101999.009491,-0.47511079151807317,norte,2
Lábrea,130008,130885.96567100001,1.8364474154952888,norte,1
Manicoré,130009,161550.21102,-0.1900150443662387,norte,2
Parintins,130010,249841.37481000004,4.634331743588239,norte,1
Itacoatiara,130011,173964.624469,3.2838150932089323,norte,1
Boa Vista,140001,473642.83966299996,2.4010857787127766,norte,0
Pacaraima,140002,55863.802617,1.5762379087999414,norte,1
Rorainópolis,140003,63088.226788,1.8265586307909407,norte,1
Caracaraí,140004,38586.120428999995,-0.5359976098697077,norte,2
Belém,150001,2592933.5334,2.5752673773440105,norte,0
Cametá,150002,227778.21129,0.22742512304705803,norte,0
Abaetetuba,150003,439624.04368,0.32572528810305584,norte,0
Castanhal,150004,518779.56397599995,1.1040518377220778,norte,0
Bragança,150005,313089.568425,0.37645111504841655,norte,0
Capanema,150006,191054.418786,1.5118738696302207,norte,0
Paragominas,150007,410930.524905,0.08363560364928425,norte,0
Capitão Poço,150008,107161.11330300002,0.8548939114675477,norte,0
Marabá,150009,570348.4834569999,-0.07866914418874013,norte,0
Parauapebas,150010,408077.52058,0.17927965471134885,norte,0
Tucuruí,150011,420204.09783,-0.35864393259725996,norte,0
Redenção,150012,279895.77273,-0.025668041994927653,norte,0
Tucumã - São Félix do Xingu,150013,295441.18707,-0.24170711793382257,norte,0
Xinguara,150014,89038.29791200001,0.21070399619079122,norte,0
Santarém,150015,445651.83932,0.1607789559357105,norte,0
Itaituba,150016,251297.803402,-0.46185774379626154,norte,2
Oriximiná,150017,223524.79957299997,-0.45264584968754146,norte,0
Altamira,150018,262477.021438,-0.32305113493598075,norte,0
Almeirim - Porto de Moz,150019,74686.83649,-0.36969266364918646,norte,0
Breves,150020,411484.63013,0.0828012055307301,norte,1
Soure-Salvaterra,150021,157265.792093,0.5302270736254815,norte,0
Macapá,160001,654457.36529,3.297712237233909,norte,1
Laranjal do Jari,160002,67333.12171,4.167930342161418,norte,1
Oiapoque,160003,79858.085703,1.563735534530972,norte,1
Porto Grande,160004,60124.417104,1.1166807426692271,norte,1
Palmas,170001,389665.86524799996,0.2992696255442295,norte,0
