imedreg,imedreg_codepopulacao,incidencia_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,-1.3961861963220965,norte,0
Ariquemes,110002,244267.98213300004,-1.3961861963220965,norte,3
Jaru,110003,120564.550067,-1.3961861963220965,norte,3
Ji-Paraná,110004,304025.6776749999,-1.3961861963220965,norte,3
Cacoal,110005,302589.83598300006,-1.3961861963220965,norte,3
Vilhena,110006,165292.086385,-1.3961861963220965,norte,0
Rio Branco,120001,504876.57074800006,0.33844476594675266,norte,0
Brasiléia,120002,72338.13942400001,-0.23580176240906403,norte,0
Sena Madureira,120003,62990.199089999995,1.4111347825396774,norte,0
Cruzeiro do Sul,120004,163322.92484599998,-0.24493499052367695,norte,0
Tarauacá,120005,90942.145483,-0.29473361581352775,norte,0
Manaus,130001,2569981.538139,-0.7216125362055071,norte,0
São Gabriel da Cachoeira,130002,104242.843152,-0.02728563368245766,norte,0
Coari,130003,156942.81565,-0.5368688626387392,norte,0
Manacapuru,130004,144349.73552,-0.47740875590446546,norte,0
Tefé,130005,182082.64676700003,0.24804617339553872,norte,0
Tabatinga,130006,231873.164687,0.0735682161013702,norte,0
Eirunepé,130007,101999.009491,1.4567059850206607,norte,0
Lábrea,130008,130885.96567100001,-0.2760104137720244,norte,0
Manicoré,130009,161550.21102,0.9385097884439957,norte,0
Parintins,130010,249841.37481000004,-0.5248952328579479,norte,0
Itacoatiara,130011,173964.624469,-0.16095500418485137,norte,0
Boa Vista,140001,473642.83966299996,-0.18162302527278912,norte,0
Pacaraima,140002,55863.802617,-0.29429132896093163,norte,0
Rorainópolis,140003,63088.226788,-0.9171995472085042,norte,0
Caracaraí,140004,38586.120428999995,-0.5695361207926984,norte,0
Belém,150001,2592933.5334,-0.22213919158866657,norte,0
Cametá,150002,227778.21129,-0.6272149002672763,norte,3
Abaetetuba,150003,439624.04368,-0.92393785358443,norte,3
Castanhal,150004,518779.56397599995,-0.8751807772988642,norte,3
Bragança,150005,313089.568425,-1.1066356517314555,norte,3
Capanema,150006,191054.418786,-1.0505629937146184,norte,3
Paragominas,150007,410930.524905,-0.6758002386034125,norte,3
Capitão Poço,150008,107161.11330300002,-0.8165390108819016,norte,3
Marabá,150009,570348.4834569999,-0.8722493575193672,norte,0
Parauapebas,150010,408077.52058,0.5305028216433072,norte,0
Tucuruí,150011,420204.09783,-1.0619208095536303,norte,3
Redenção,150012,279895.77273,0.2932365573531116,norte,0
Tucumã - São Félix do Xingu,150013,295441.18707,-1.2787509077289048,norte,0
Xinguara,150014,89038.29791200001,0.06820477053808431,norte,0
Santarém,150015,445651.83932,-0.5209706078115283,norte,0
Itaituba,150016,251297.803402,-0.026678766090392273,norte,0
Oriximiná,150017,223524.79957299997,0.19104983338632028,norte,0
Altamira,150018,262477.021438,0.30514776690162443,norte,0
Almeirim - Porto de Moz,150019,74686.83649,1.5184443115661137,norte,0
Breves,150020,411484.63013,-1.1051559513444615,norte,0
Soure-Salvaterra,150021,157265.792093,-0.8695564112680197,norte,0
Macapá,160001,654457.36529,1.220297520603239,norte,0
Laranjal do Jari,160002,67333.12171,2.4185271190910522,norte,0
Oiapoque,160003,79858.085703,-0.33806352080649543,norte,2
Porto Grande,160004,60124.417104,-0.9028954596047993,norte,2
Palmas,170001,389665.86524799996,0.6875993374525453,norte,0
Porto Nacional,170002,104659.863133,2.96149461140863,norte,1
Paraíso do Tocantins,170003,120386.17455700002,2.080799891905738,norte,1
Miracema do Tocantins,170004,45475.336239,1.704819695783268,norte,1
Araguaína,170005,325628.103233,0.5371554777941988,norte,0
Guaraí,170006,86945.84316899999,0.46387395491291283,norte,0
Colinas do Tocantins,170007,65495.96647999999,-0.25128446329122367,norte,0
Tocantinópolis,170008,49789.446823,-0.7105866786680949,norte,0
Araguatins,170009,137158.76029900002,-0.2742010376497652,norte,0
Gurupi,170010,181173.013458,1.6925759161544194,norte,0
Dianópolis,170011,83869.633012,0.09172869358043692,norte,0
São Luís,210001,1676128.6191400003,-1.0903660430367221,nordeste,3
Pinheiro,210002,341442.109984,-1.2142647639667479,nordeste,3
Chapadinha,210003,277946.115811,-1.162638628211004,nordeste,3
Itapecuru Mirim,210004,298355.59337,-0.9910532741418484,nordeste,3
Viana,210005,257692.15209,-1.259376359003729,nordeste,3
Barreirinhas,210006,133084.28007,-1.1943530700134104,nordeste,3
Tutóia - Araioses,210007,207214.69482999996,-1.2908634861300259,nordeste,3
Cururupu,210008,122984.01033999998,-0.5953531487768423,nordeste,3
Santa Inês,210009,451846.73544499994,-0.5589779130454767,nordeste,3
Bacabal,210010,405800.035922,-0.8625112029233909,nordeste,3
Governador Nunes Freire,210011,224565.45183500004,-0.9775427393097631,nordeste,3
Pedreiras,210012,184672.964411,-0.39621247134381904,nordeste,3
Caxias,210013,268928.562695,-1.0466031838684737,nordeste,3
Timon,210014,258592.85308,-1.2447047330198595,nordeste,3
Codó,210015,228457.45221000002,-0.7176822008628787,nordeste,3
Presidente Dutra,210016,237441.48151899996,-0.8069880324289339,nordeste,3
São João dos Patos,210017,145805.764558,-1.0277396346858598,nordeste,3
Colinas,210018,80821.55705,-1.0915346176009983,nordeste,3
Imperatriz,210019,532231.693353,-0.4835515280214079,nordeste,0
Barra do Corda,210020,280148.643331,-0.6890668687966496,nordeste,3
Açailândia,210021,270352.99432999996,-0.8745744939176477,nordeste,3
Balsas,210022,230084.23996099998,-1.0678453856604817,nordeste,0
Teresina,220001,1134373.896284,0.12173505620307637,nordeste,4
Amarante - Água Branca - Regeneração,220002,156289.00978199998,-0.7087209331782391,nordeste,0
Campo Maior,220003,136084.484612,0.2281145815386177,nordeste,0
Valença do Piauí,220004,79823.38348399999,-0.41471880984102805,nordeste,0
Barras,220005,94902.30242899999,-0.7416642708799519,nordeste,0
Parnaíba,220006,282098.81894,-0.45591086284588056,nordeste,0
Piripiri,220007,174437.123889,1.3242271970381918,nordeste,0
Esperantina,220008,146372.46837199997,-0.10779284885205107,nordeste,0
Picos,220009,291225.751458,-0.8197258349316585,nordeste,3
Paulistana,220010,79939.350837,-0.7171560016862663,nordeste,0
Oeiras,220011,68545.96854100001,-0.46550507689374304,nordeste,0
Simplício Mendes,220012,41332.865334999995,-0.2859987585673408,nordeste,0
São Raimundo Nonato,220013,113098.98546299999,-1.1191048511715775,nordeste,0
São João do Piauí,220014,48436.09284500001,-0.1484217061348208,nordeste,0
Corrente,220015,120522.36767299999,-1.1686731032899556,nordeste,0
Bom Jesus,220016,77915.88872199999,-1.015534464122116,nordeste,3
Floriano,220017,124347.35358400001,-0.050596629923494424,nordeste,0
Uruçuí,220018,61936.30414100001,-0.12223791990794163,nordeste,3
Canto do Buriti,220019,49014.573814,-0.6084118582076299,nordeste,0
Fortaleza,230001,4212262.35793,0.7663510714869847,nordeste,0
Itapipoca,230002,311590.29093,-0.15698123492742494,nordeste,0
Redenção-Acarape,230003,229672.19836,-0.026863338798616146,nordeste,0
Canindé,230004,204751.35333000004,-0.3029571051905635,nordeste,0
Itapagé,230005,156725.52479,0.339113560968462,nordeste,0
Quixadá,230006,333010.95934999996,-0.5912620482576687,nordeste,0
Russas - Limoeiro do Norte,230007,385634.97420500003,0.22325711395677253,nordeste,0
Aracati,230008,152228.60224,0.30215007669437144,nordeste,0
Iguatu,230009,330687.50607,-0.43330556888460536,nordeste,0
Icó,230010,110782.59877,-0.5677667808037039,nordeste,0
Juazeiro do Norte,230011,851305.5297979999,-0.7191221696121991,nordeste,0
Brejo Santo,230012,188837.72431,0.19515570083184386,nordeste,0
Crateús,230013,247029.53571999999,-0.4243649723433854,nordeste,0
Tauá,230014,92350.27985,-0.6387435271157883,nordeste,3
Sobral,230015,613519.6217039999,0.4864187936894748,nordeste,0
São Benedito - Ipu - Guaraciaba do Norte - Tianguá,230016,406972.32661999995,-0.5147901054056874,nordeste,0
Acaraú,230017,216118.57382999998,0.4525889252076772,nordeste,0
Camocim,230018,144405.99371,0.23526785202749378,nordeste,0
Natal,240001,1743859.074166,-1.3961861963220965,nordeste,3
Santo Antônio - Passa e Fica - Nova Cruz,240002,142754.64600200002,-1.3961861963220965,nordeste,0
Canguaretama,240003,139853.969338,-1.3961861963220965,nordeste,0
Santa Cruz,240004,99814.195614,-1.3961861963220965,nordeste,3
João Câmara,240005,73448.84682600001,-1.3961861963220965,nordeste,3
São Paulo do Potengi,240006,66820.48851699999,-1.3961861963220965,nordeste,3
Caicó,240007,177541.72769499998,-1.3961861963220965,nordeste,3
Currais Novos,240008,112075.386137,-1.3961861963220965,nordeste,3
Mossoró,240009,506065.532053,-1.3961861963220965,nordeste,3
Pau dos Ferros,240010,232247.75273900005,-1.3961861963220965,nordeste,3
Açu,240011,239683.381827,-1.3961861963220965,nordeste,3
João Pessoa,250001,1452524.6672960005,-0.06357022163047966,nordeste,0
Guarabira,250002,314765.34578200005,-0.23348316336327554,nordeste,3
Mamanguape - Rio Tinto,250003,148357.802504,-0.8115317244929996,nordeste,0
Itabaiana,250004,63753.31175000001,-0.3604307464394844,nordeste,0
Campina Grande,250005,931376.7193609999,-0.5430056669421015,nordeste,3
Cuité - Nova Floresta,250006,93945.32509700001,-0.46099061044773665,nordeste,3
Monteiro,250007,56261.812517000006,-0.22251551030970992,nordeste,3
Sumé,250008,50438.907963000005,-0.05373760163572734,nordeste,0
Patos,250009,265946.903487,0.038865036539288675,nordeste,0
Itaporanga,250010,122107.57574800002,-0.2688058291278624,nordeste,0
Catolé do Rocha - São Bento,250011,118344.00627,-0.2518673035179875,nordeste,0
Pombal,250012,65066.772294999995,0.2980928196297714,nordeste,0
Princesa Isabel,250013,62855.512667999996,-0.34563649447000655,nordeste,0
Sousa,250014,139757.42990999998,-0.923704410304344,nordeste,0
Cajazeiras,250015,153774.930903,0.22684657028578356,nordeste,0
Recife,260001,4016539.695079,-0.39096360225596144,nordeste,3
Goiana – Timbaúba,260002,340065.78466000006,-0.15872134542719146,nordeste,0
Palmares,260003,260124.782594,-1.071343440230307,nordeste,3
Limoeiro,260004,226373.37741000002,-0.9166136107207637,nordeste,3
Vitória de Santo Antão,260005,207936.9037,-0.7206943390157718,nordeste,3
Carpina,260006,183777.09359,-0.5618575533864526,nordeste,0
