imedreg,imedreg_codepopulacao,prevalencia_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,2.790897705823138,norte,1
Ariquemes,110002,244267.98213300004,0.28310389370819156,norte,1
Jaru,110003,120564.550067,0.2692250233272526,norte,0
Ji-Paraná,110004,304025.6776749999,-0.16352657465446496,norte,0
Cacoal,110005,302589.83598300006,-0.20589348455762327,norte,0
Vilhena,110006,165292.086385,-0.14126192712282312,norte,0
Rio Branco,120001,504876.57074800006,1.1500712459305529,norte,1
Brasiléia,120002,72338.13942400001,1.4051059221134545,norte,0
Sena Madureira,120003,62990.199089999995,1.0591647135992135,norte,1
Cruzeiro do Sul,120004,163322.92484599998,1.21742318772155,norte,1
Tarauacá,120005,90942.145483,0.995091820335437,norte,0
Manaus,130001,2569981.538139,0.6689336855309327,norte,1
São Gabriel da Cachoeira,130002,104242.843152,5.727697085429825,norte,1
Coari,130003,156942.81565,4.457851293823999,norte,1
Manacapuru,130004,144349.73552,2.071090534233665,norte,1
Tefé,130005,182082.64676700003,3.505328615062349,norte,1
Tabatinga,130006,231873.164687,2.157729592092012,norte,1
Eirunepé,130007,101999.009491,1.8882432121426411,norte,1
Lábrea,130008,130885.96567100001,2.22834404355577,norte,1
Manicoré,130009,161550.21102,1.3345853440654096,norte,1
Parintins,130010,249841.37481000004,1.462633839094396,norte,1
Itacoatiara,130011,173964.624469,1.4765865593568797,norte,1
Boa Vista,140001,473642.83966299996,4.36175307932425,norte,1
Pacaraima,140002,55863.802617,2.725104243467762,norte,1
Rorainópolis,140003,63088.226788,3.4079936107099864,norte,1
Caracaraí,140004,38586.120428999995,0.6594320797083808,norte,1
Belém,150001,2592933.5334,0.5837203807076421,norte,0
Cametá,150002,227778.21129,1.9738737182610375,norte,0
Abaetetuba,150003,439624.04368,0.4529556968606996,norte,0
Castanhal,150004,518779.56397599995,0.352663917655562,norte,0
Bragança,150005,313089.568425,0.6528831134304836,norte,0
Capanema,150006,191054.418786,0.5397858565686396,norte,0
Paragominas,150007,410930.524905,0.2497861552305957,norte,0
Capitão Poço,150008,107161.11330300002,1.0458379568740916,norte,0
Marabá,150009,570348.4834569999,0.479828875315876,norte,0
Parauapebas,150010,408077.52058,3.6437036806493284,norte,0
Tucuruí,150011,420204.09783,-0.32269319197537555,norte,2
Redenção,150012,279895.77273,0.31527381162544804,norte,0
Tucumã - São Félix do Xingu,150013,295441.18707,0.2944919051252842,norte,1
Xinguara,150014,89038.29791200001,1.4237742475333708,norte,1
Santarém,150015,445651.83932,0.5358169992874734,norte,1
Itaituba,150016,251297.803402,1.9924748123431286,norte,1
Oriximiná,150017,223524.79957299997,1.063041608649018,norte,1
Altamira,150018,262477.021438,1.7751882735824434,norte,0
Almeirim - Porto de Moz,150019,74686.83649,0.17123052640558994,norte,1
Breves,150020,411484.63013,0.6876757982438085,norte,1
Soure-Salvaterra,150021,157265.792093,0.2857825410142239,norte,0
Macapá,160001,654457.36529,2.441868051337334,norte,1
Laranjal do Jari,160002,67333.12171,6.78177836551891,norte,1
Oiapoque,160003,79858.085703,4.972766222154041,norte,1
Porto Grande,160004,60124.417104,6.442068699309339,norte,1
Palmas,170001,389665.86524799996,0.20543423323837884,norte,0
Porto Nacional,170002,104659.863133,0.065999687131457,norte,0
Paraíso do Tocantins,170003,120386.17455700002,-0.3908755362660863,norte,0
Miracema do Tocantins,170004,45475.336239,-0.20731012333639648,norte,0
Araguaína,170005,325628.103233,1.722998205176636,norte,0
Guaraí,170006,86945.84316899999,-0.10109205827482581,norte,0
Colinas do Tocantins,170007,65495.96647999999,-0.27195222658272156,norte,0
Tocantinópolis,170008,49789.446823,1.0565833826689626,norte,0
Araguatins,170009,137158.76029900002,0.5111647406404809,norte,1
Gurupi,170010,181173.013458,-0.013688743162790454,norte,0
Dianópolis,170011,83869.633012,-0.7046253832454272,norte,0
São Luís,210001,1676128.6191400003,0.11025394386070578,nordeste,0
Pinheiro,210002,341442.109984,0.2647250088262084,nordeste,0
Chapadinha,210003,277946.115811,1.4955475284755373,nordeste,0
Itapecuru Mirim,210004,298355.59337,-0.1294317425525131,nordeste,0
Viana,210005,257692.15209,-0.22751065794466527,nordeste,0
Barreirinhas,210006,133084.28007,-0.37535261791836877,nordeste,0
Tutóia - Araioses,210007,207214.69482999996,0.5422303327306494,nordeste,1
Cururupu,210008,122984.01033999998,0.32724757650992525,nordeste,0
Santa Inês,210009,451846.73544499994,2.223810387895719,nordeste,1
Bacabal,210010,405800.035922,1.3690526574786417,nordeste,1
Governador Nunes Freire,210011,224565.45183500004,0.2789678251192516,nordeste,1
Pedreiras,210012,184672.964411,2.404128826095379,nordeste,0
Caxias,210013,268928.562695,0.9510376758055563,nordeste,0
Timon,210014,258592.85308,0.005379067309320962,nordeste,0
Codó,210015,228457.45221000002,0.3477621893292037,nordeste,1
Presidente Dutra,210016,237441.48151899996,0.7572936282903026,nordeste,1
São João dos Patos,210017,145805.764558,-0.27092617804879554,nordeste,0
Colinas,210018,80821.55705,0.6978006497186626,nordeste,0
Imperatriz,210019,532231.693353,0.7179186135931531,nordeste,1
Barra do Corda,210020,280148.643331,1.1797831715867426,nordeste,1
Açailândia,210021,270352.99432999996,1.4694819640719703,nordeste,0
Balsas,210022,230084.23996099998,0.5455854020266871,nordeste,0
Teresina,220001,1134373.896284,0.7756594951249532,nordeste,0
Amarante - Água Branca - Regeneração,220002,156289.00978199998,-0.0829274456810198,nordeste,0
Campo Maior,220003,136084.484612,0.5157906753890691,nordeste,0
Valença do Piauí,220004,79823.38348399999,-0.17004868190941497,nordeste,0
Barras,220005,94902.30242899999,1.1366116544434635,nordeste,0
Parnaíba,220006,282098.81894,1.530208006257274,nordeste,1
Piripiri,220007,174437.123889,-0.19980381476854842,nordeste,2
Esperantina,220008,146372.46837199997,1.4188093367313073,nordeste,1
Picos,220009,291225.751458,-0.0013184433018817296,nordeste,0
Paulistana,220010,79939.350837,-0.7040240065572654,nordeste,0
Oeiras,220011,68545.96854100001,0.2965426574800963,nordeste,0
Simplício Mendes,220012,41332.865334999995,-0.770475819093025,nordeste,0
São Raimundo Nonato,220013,113098.98546299999,-0.05382102756758064,nordeste,0
São João do Piauí,220014,48436.09284500001,-0.50968850286344,nordeste,0
Corrente,220015,120522.36767299999,-0.8159652275910582,nordeste,0
Bom Jesus,220016,77915.88872199999,0.08405884026958933,nordeste,0
Floriano,220017,124347.35358400001,-0.5768685534861416,nordeste,0
Uruçuí,220018,61936.30414100001,1.0694958510799928,nordeste,0
Canto do Buriti,220019,49014.573814,-0.5359551053787447,nordeste,0
Fortaleza,230001,4212262.35793,0.6524702263793818,nordeste,1
Itapipoca,230002,311590.29093,0.6426351539676154,nordeste,1
Redenção-Acarape,230003,229672.19836,1.2942769986294038,nordeste,0
Canindé,230004,204751.35333000004,0.708988098781652,nordeste,1
Itapagé,230005,156725.52479,0.6754706091876922,nordeste,1
Quixadá,230006,333010.95934999996,0.7778776109925944,nordeste,0
Russas - Limoeiro do Norte,230007,385634.97420500003,0.8962652266601105,nordeste,0
Aracati,230008,152228.60224,0.6293638591808575,nordeste,0
Iguatu,230009,330687.50607,0.276127152683305,nordeste,0
Icó,230010,110782.59877,0.10361221362748385,nordeste,0
Juazeiro do Norte,230011,851305.5297979999,0.5700786053345779,nordeste,0
Brejo Santo,230012,188837.72431,-0.3432724871403191,nordeste,0
Crateús,230013,247029.53571999999,0.19997293073976874,nordeste,0
Tauá,230014,92350.27985,0.07386362062197817,nordeste,0
Sobral,230015,613519.6217039999,2.3534657220595947,nordeste,1
São Benedito - Ipu - Guaraciaba do Norte - Tianguá,230016,406972.32661999995,0.6732596949395897,nordeste,1
Acaraú,230017,216118.57382999998,2.1826848019967695,nordeste,1
Camocim,230018,144405.99371,2.231378979482334,nordeste,1
Natal,240001,1743859.074166,0.702008440719972,nordeste,0
Santo Antônio - Passa e Fica - Nova Cruz,240002,142754.64600200002,-0.16464679679728267,nordeste,0
Canguaretama,240003,139853.969338,-0.10454397506590457,nordeste,0
Santa Cruz,240004,99814.195614,-0.21538277585911428,nordeste,0
João Câmara,240005,73448.84682600001,-0.1326648368508921,nordeste,0
São Paulo do Potengi,240006,66820.48851699999,0.1429166823184306,nordeste,0
Caicó,240007,177541.72769499998,-0.12343717593327573,nordeste,0
Currais Novos,240008,112075.386137,-0.47315182593719146,nordeste,0
Mossoró,240009,506065.532053,0.5812314039807497,nordeste,0
Pau dos Ferros,240010,232247.75273900005,-0.774990066578733,nordeste,0
Açu,240011,239683.381827,0.13670024156324767,nordeste,0
João Pessoa,250001,1452524.6672960005,1.3762077077516532,nordeste,1
Guarabira,250002,314765.34578200005,1.7391960011682148,nordeste,0
Mamanguape - Rio Tinto,250003,148357.802504,2.2191410361938466,nordeste,1
Itabaiana,250004,63753.31175000001,1.4666341873864046,nordeste,0
Campina Grande,250005,931376.7193609999,0.9337584654572779,nordeste,0
Cuité - Nova Floresta,250006,93945.32509700001,-0.36010463636464246,nordeste,0
Monteiro,250007,56261.812517000006,-0.5592030609726509,nordeste,0
Sumé,250008,50438.907963000005,-0.05471022629773314,nordeste,0
Patos,250009,265946.903487,0.35699339839875766,nordeste,0
Itaporanga,250010,122107.57574800002,-0.5397720358546902,nordeste,0
Catolé do Rocha - São Bento,250011,118344.00627,0.4670392936917591,nordeste,0
Pombal,250012,65066.772294999995,-0.15322804346066723,nordeste,0
Princesa Isabel,250013,62855.512667999996,-0.7949914387643084,nordeste,0
Sousa,250014,139757.42990999998,-0.14674600829982312,nordeste,0
Cajazeiras,250015,153774.930903,0.011841331651382585,nordeste,0
Recife,260001,4016539.695079,0.1668917614046408,nordeste,0
Goiana – Timbaúba,260002,340065.78466000006,0.05399322346928795,nordeste,0
Palmares,260003,260124.782594,0.3506984765163279,nordeste,0
Limoeiro,260004,226373.37741000002,-0.12550154489493157,nordeste,0
Vitória de Santo Antão,260005,207936.9037,0.07253016531647283,nordeste,0
Carpina,260006,183777.09359,-0.6009314404322181,nordeste,0
Barreiros - Sirinhaém,260007,161275.69727,-0.23818716130557868,nordeste,0
Surubim,260008,138827.15985,-0.30239208279008783,nordeste,0
Caruaru,260009,1143502.4863800001,-0.08525135334111648,nordeste,0
Garanhuns,260010,559153.8110999998,-0.43395952612958955,nordeste,0
Arcoverde,260011,381987.26514,-0.6354875542724908,nordeste,0
Belo Jardim – Pesqueira,260012,270946.71656000003,-0.24112007038106872,nordeste,0
Serra Talhada,260013,331597.202674,-0.3467220314282462,nordeste,3
Afogados da Ingazeira,260014,187106.129848,-0.5240916046205093,nordeste,0
Petrolina,260015,512192.2046,-0.6661304987578811,nordeste,0
Araripina,260016,336838.86040999996,-0.595253345648327,nordeste,0
Salgueiro,260017,193058.36722900002,-0.5991336054878382,nordeste,0
Escada - Ribeirão,260018,165768.42274599997,-0.575709312666376,nordeste,0
Maceió,270001,1328339.1964320005,1.0739531929536708,nordeste,0
Porto Calvo - São Luís do Quitunde,270002,213220.69570800004,0.397445689640845,nordeste,0
Penedo,270003,195167.849766,0.26080359874321274,nordeste,0
São Miguel dos Campos,270004,186218.698957,1.362966327602457,nordeste,0
União dos Palmares,270005,151747.64067900003,0.18493778738806582,nordeste,0
Atalaia,270006,121125.36878599998,0.17645923125332585,nordeste,0
Arapiraca,270007,565424.86768,0.7633433597789151,nordeste,0
Palmeira dos Índios,270008,169330.76583999998,0.016008499478287537,nordeste,0
Delmiro Gouveia,270009,158439.567114,-0.5041924147647537,nordeste,0
Santana do Ipanema,270010,143255.25791,-0.2671421040519798,nordeste,0
Pão de Açúcar - Olho d'Água das Flores – Batalha,270011,118822.074752,0.5986140826795635,nordeste,0
Aracaju,280001,1237324.106538,1.959679337083765,nordeste,0
Estância,280002,243854.606175,0.7179930740490472,nordeste,0
Propriá,280003,158147.453095,0.9351086931338585,nordeste,0
Itabaiana,280004,249607.545829,1.2575527950416867,nordeste,0
Lagarto,280005,254692.5906,0.2852401849068694,nordeste,0
Nossa Senhora da Glória,280006,175405.68509699998,-0.14666812969816165,nordeste,0
Salvador,290001,4084138.4268900002,0.6841577487727724,nordeste,0
Alagoinhas,290002,511144.4709700001,-0.46331649382042095,nordeste,0
Santo Antônio de Jesus,290003,291368.26246600004,-0.4406352108744569,nordeste,0
Cruz das Almas,290004,284419.79349999997,-0.47000492771947866,nordeste,0
Valença,290005,260522.68494999997,0.18179692443400797,nordeste,0
Nazaré – Maragogipe,290006,185483.24923000002,-0.4547064465191776,nordeste,0
Ilhéus – Itabuna,290007,630044.88406,0.8284193082327297,nordeste,0
Teixeira de Freitas,290008,463055.64130400005,0.10321746162213276,nordeste,0
Eunápolis - Porto Seguro,290009,398006.10543,-0.012700509175957816,nordeste,0
Camacan,290010,128377.17958,0.01516807308242247,nordeste,0
Vitória da Conquista,290011,807168.5889399999,-0.5225205137024305,nordeste,0
Jequié,290012,335632.69826100004,0.40132057589241577,nordeste,0
Brumado,290013,223982.71154999998,-0.8194856838108766,nordeste,3
Ipiaú,290014,218504.67817,1.1492773018259617,nordeste,0
Itapetinga,290015,155342.98423,-0.3992330265928943,nordeste,0
Guanambi,290016,466837.04169399996,-0.9155833743959313,nordeste,3
