imedreg,imedreg_codepopulacao,letalidade_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,0.15706084988513197,norte,0
Ariquemes,110002,244267.98213300004,-0.2940200097112596,norte,0
Jaru,110003,120564.550067,-0.8789366079953684,norte,0
Ji-Paraná,110004,304025.6776749999,0.08690229355508693,norte,0
Cacoal,110005,302589.83598300006,-0.5935862104717626,norte,0
Vilhena,110006,165292.086385,-0.534431587472961,norte,0
Rio Branco,120001,504876.57074800006,0.6165748707066664,norte,4
Brasiléia,120002,72338.13942400001,-0.7148496967542084,norte,0
Sena Madureira,120003,62990.199089999995,-1.4668737924861124,norte,0
Cruzeiro do Sul,120004,163322.92484599998,-0.4931824038141348,norte,3
Tarauacá,120005,90942.145483,-1.1170801322941903,norte,3
Manaus,130001,2569981.538139,1.8021575044868845,norte,0
São Gabriel da Cachoeira,130002,104242.843152,-0.9814574162097514,norte,0
Coari,130003,156942.81565,-0.34887335579412393,norte,0
Manacapuru,130004,144349.73552,0.7239861845090517,norte,0
Tefé,130005,182082.64676700003,-0.6397656967614588,norte,3
Tabatinga,130006,231873.164687,0.10716327754736385,norte,4
Eirunepé,130007,101999.009491,-1.4346208018662028,norte,0
Lábrea,130008,130885.96567100001,-1.117569175790872,norte,0
Manicoré,130009,161550.21102,-0.20403494273203232,norte,0
Parintins,130010,249841.37481000004,0.09916547002612522,norte,0
Itacoatiara,130011,173964.624469,-0.17345168726088067,norte,0
Boa Vista,140001,473642.83966299996,-0.9041291690826385,norte,0
Pacaraima,140002,55863.802617,-0.09968561153619586,norte,0
Rorainópolis,140003,63088.226788,-1.0268457182317228,norte,0
Caracaraí,140004,38586.120428999995,-0.8409640717933863,norte,3
Belém,150001,2592933.5334,2.0121251622913032,norte,0
Cametá,150002,227778.21129,0.053197082695488083,norte,0
Abaetetuba,150003,439624.04368,0.3351497852014063,norte,0
Castanhal,150004,518779.56397599995,1.7780261914103712,norte,0
Bragança,150005,313089.568425,0.26258082136792327,norte,0
Capanema,150006,191054.418786,1.6845347490955807,norte,0
Paragominas,150007,410930.524905,0.30985910768273944,norte,0
Capitão Poço,150008,107161.11330300002,-0.34708015192247743,norte,0
Marabá,150009,570348.4834569999,0.3665698071830002,norte,0
Parauapebas,150010,408077.52058,-1.2804212263425871,norte,3
Tucuruí,150011,420204.09783,2.413252464762536,norte,0
Redenção,150012,279895.77273,-0.8824219434632178,norte,3
Tucumã - São Félix do Xingu,150013,295441.18707,-1.3692223835072896,norte,0
Xinguara,150014,89038.29791200001,-1.2371221628715887,norte,3
Santarém,150015,445651.83932,-0.04056817139873762,norte,0
Itaituba,150016,251297.803402,-0.8008252423315496,norte,0
Oriximiná,150017,223524.79957299997,-0.5508929973821174,norte,0
Altamira,150018,262477.021438,-0.10969397249274632,norte,0
Almeirim - Porto de Moz,150019,74686.83649,1.2163738120658854,norte,0
Breves,150020,411484.63013,-0.12830133293363222,norte,0
Soure-Salvaterra,150021,157265.792093,0.8937010547393901,norte,0
Macapá,160001,654457.36529,-0.27028958667223985,norte,3
Laranjal do Jari,160002,67333.12171,-1.2867691294078725,norte,0
Oiapoque,160003,79858.085703,-1.4007318787374383,norte,3
Porto Grande,160004,60124.417104,-1.508673961766997,norte,3
Palmas,170001,389665.86524799996,-1.03068733712978,norte,0
Porto Nacional,170002,104659.863133,-0.3512300676162745,norte,0
Paraíso do Tocantins,170003,120386.17455700002,-0.3582605501261346,norte,0
Miracema do Tocantins,170004,45475.336239,-0.49915576457260263,norte,0
Araguaína,170005,325628.103233,-0.5787724071729408,norte,0
Guaraí,170006,86945.84316899999,-0.15360786176513516,norte,3
Colinas do Tocantins,170007,65495.96647999999,-0.9821365751297332,norte,0
Tocantinópolis,170008,49789.446823,-0.22259925425431096,norte,0
Araguatins,170009,137158.76029900002,-0.5032251298035478,norte,0
Gurupi,170010,181173.013458,-0.5500194886132835,norte,0
Dianópolis,170011,83869.633012,-0.4108248421324915,norte,3
São Luís,210001,1676128.6191400003,3.2217326681403913,nordeste,0
Pinheiro,210002,341442.109984,-0.2205869566597196,nordeste,0
Chapadinha,210003,277946.115811,-0.3949529095298248,nordeste,0
Itapecuru Mirim,210004,298355.59337,-0.37574922549304346,nordeste,2
Viana,210005,257692.15209,0.2705447830898575,nordeste,0
Barreirinhas,210006,133084.28007,-0.6259276249900156,nordeste,0
Tutóia - Araioses,210007,207214.69482999996,-0.3571409914700814,nordeste,0
Cururupu,210008,122984.01033999998,-0.6901158356848823,nordeste,2
Santa Inês,210009,451846.73544499994,-0.6103372022917294,nordeste,0
Bacabal,210010,405800.035922,0.3013328621212372,nordeste,0
Governador Nunes Freire,210011,224565.45183500004,-0.7338034846951045,nordeste,0
Pedreiras,210012,184672.964411,-0.6657670510457663,nordeste,0
Caxias,210013,268928.562695,-0.10322430474490674,nordeste,0
Timon,210014,258592.85308,0.6032162116226623,nordeste,0
Codó,210015,228457.45221000002,1.1839393032307903,nordeste,0
Presidente Dutra,210016,237441.48151899996,-1.5539843497665577,nordeste,0
São João dos Patos,210017,145805.764558,-0.9846466683198156,nordeste,0
Colinas,210018,80821.55705,-0.5706614955335462,nordeste,3
Imperatriz,210019,532231.693353,1.2397972965255915,nordeste,4
Barra do Corda,210020,280148.643331,-0.7797842004209111,nordeste,0
Açailândia,210021,270352.99432999996,-0.3420839157142652,nordeste,0
Balsas,210022,230084.23996099998,-1.0418142806080224,nordeste,0
Teresina,220001,1134373.896284,0.24732081076723636,nordeste,0
Amarante - Água Branca - Regeneração,220002,156289.00978199998,0.3114560112580332,nordeste,0
Campo Maior,220003,136084.484612,0.04246160838721436,nordeste,0
Valença do Piauí,220004,79823.38348399999,0.12470245447765077,nordeste,0
Barras,220005,94902.30242899999,-0.13493321652045215,nordeste,0
Parnaíba,220006,282098.81894,-0.08363602503359031,nordeste,0
Piripiri,220007,174437.123889,-0.27976189678029956,nordeste,0
Esperantina,220008,146372.46837199997,-0.40357308298507677,nordeste,0
Picos,220009,291225.751458,-0.33791481978377363,nordeste,0
Paulistana,220010,79939.350837,-0.9096568211733169,nordeste,0
Oeiras,220011,68545.96854100001,-0.7264837814861809,nordeste,0
Simplício Mendes,220012,41332.865334999995,-0.43834701012559263,nordeste,0
São Raimundo Nonato,220013,113098.98546299999,-0.5532567892028712,nordeste,0
São João do Piauí,220014,48436.09284500001,-0.06403866773636539,nordeste,0
Corrente,220015,120522.36767299999,-0.0006524997997387072,nordeste,3
Bom Jesus,220016,77915.88872199999,-0.21636408264200727,nordeste,0
Floriano,220017,124347.35358400001,-0.22437053436354046,nordeste,0
Uruçuí,220018,61936.30414100001,-0.7800023433910651,nordeste,0
Canto do Buriti,220019,49014.573814,1.143645691989613,nordeste,0
Fortaleza,230001,4212262.35793,2.415675601409957,nordeste,1
Itapipoca,230002,311590.29093,1.5949186136716134,nordeste,1
Redenção-Acarape,230003,229672.19836,0.3544444950324338,nordeste,1
Canindé,230004,204751.35333000004,1.2323868877300164,nordeste,1
Itapagé,230005,156725.52479,2.429586218675564,nordeste,1
Quixadá,230006,333010.95934999996,0.5775075376544875,nordeste,0
Russas - Limoeiro do Norte,230007,385634.97420500003,-0.30123733916450174,nordeste,0
Aracati,230008,152228.60224,0.24361946805368265,nordeste,0
Iguatu,230009,330687.50607,0.29546520954399297,nordeste,0
Icó,230010,110782.59877,0.1983776207498075,nordeste,0
Juazeiro do Norte,230011,851305.5297979999,-0.13489062868226548,nordeste,0
Brejo Santo,230012,188837.72431,-0.2761139333561818,nordeste,0
Crateús,230013,247029.53571999999,-0.3005069998123802,nordeste,0
Tauá,230014,92350.27985,0.46575840424167264,nordeste,0
Sobral,230015,613519.6217039999,0.17099036143541238,nordeste,1
São Benedito - Ipu - Guaraciaba do Norte - Tianguá,230016,406972.32661999995,-0.051870449341793315,nordeste,0
Acaraú,230017,216118.57382999998,-0.2802823079471193,nordeste,0
Camocim,230018,144405.99371,0.875051642657313,nordeste,0
Natal,240001,1743859.074166,1.161834495591456,nordeste,0
Santo Antônio - Passa e Fica - Nova Cruz,240002,142754.64600200002,0.8217992828709809,nordeste,0
Canguaretama,240003,139853.969338,0.08282225175927135,nordeste,0
Santa Cruz,240004,99814.195614,-0.2784165820451822,nordeste,0
João Câmara,240005,73448.84682600001,-0.877401035977339,nordeste,0
São Paulo do Potengi,240006,66820.48851699999,0.9960784828083664,nordeste,0
Caicó,240007,177541.72769499998,-0.8271642977601451,nordeste,0
Currais Novos,240008,112075.386137,-0.3112882725009404,nordeste,0
Mossoró,240009,506065.532053,0.31700477443042163,nordeste,0
Pau dos Ferros,240010,232247.75273900005,-0.8577804194568412,nordeste,0
Açu,240011,239683.381827,1.1276545872009207,nordeste,0
João Pessoa,250001,1452524.6672960005,0.884786456945596,nordeste,0
Guarabira,250002,314765.34578200005,-0.4162808336373677,nordeste,0
Mamanguape - Rio Tinto,250003,148357.802504,-0.3920694254734382,nordeste,0
Itabaiana,250004,63753.31175000001,-0.04963047835826624,nordeste,2
Campina Grande,250005,931376.7193609999,0.21265606064525563,nordeste,0
Cuité - Nova Floresta,250006,93945.32509700001,-1.1029410920327818,nordeste,0
Monteiro,250007,56261.812517000006,-0.8997781996173958,nordeste,0
Sumé,250008,50438.907963000005,-0.7657130484820656,nordeste,0
Patos,250009,265946.903487,-0.11044044011664278,nordeste,0
Itaporanga,250010,122107.57574800002,-0.38873017268600424,nordeste,0
Catolé do Rocha - São Bento,250011,118344.00627,-0.7185344315098359,nordeste,0
Pombal,250012,65066.772294999995,-0.7026550229565254,nordeste,0
Princesa Isabel,250013,62855.512667999996,-0.37682660694050557,nordeste,0
Sousa,250014,139757.42990999998,-0.19163491705317517,nordeste,0
Cajazeiras,250015,153774.930903,-0.004598261077936353,nordeste,0
Recife,260001,4016539.695079,4.324191724471252,nordeste,1
Goiana – Timbaúba,260002,340065.78466000006,1.7413131139217115,nordeste,1
Palmares,260003,260124.782594,2.6991468651370956,nordeste,1
Limoeiro,260004,226373.37741000002,2.7355426393552382,nordeste,1
Vitória de Santo Antão,260005,207936.9037,4.035230820727098,nordeste,1
Carpina,260006,183777.09359,5.620164204036462,nordeste,1
Barreiros - Sirinhaém,260007,161275.69727,4.3641494717915155,nordeste,1
Surubim,260008,138827.15985,0.8311488115808209,nordeste,1
Caruaru,260009,1143502.4863800001,1.3840805613511988,nordeste,1
Garanhuns,260010,559153.8110999998,0.4523580467773112,nordeste,1
Arcoverde,260011,381987.26514,0.28668949357566176,nordeste,0
Belo Jardim – Pesqueira,260012,270946.71656000003,0.9351839429075033,nordeste,0
