imedreg,imedreg_codepopulacao,incidencia_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,3.513478568225948,norte,0
Ariquemes,110002,244267.98213300004,0.4892068385357623,norte,1
Jaru,110003,120564.550067,0.49679509453600695,norte,0
Ji-Paraná,110004,304025.6776749999,-0.1588460319584203,norte,2
Cacoal,110005,302589.83598300006,-0.14146805248602776,norte,0
Vilhena,110006,165292.086385,0.0029264405632754157,norte,0
Rio Branco,120001,504876.57074800006,0.6789152310953712,norte,1
Brasiléia,120002,72338.13942400001,0.9496088503917708,norte,0
Sena Madureira,120003,62990.199089999995,1.143567018715112,norte,1
Cruzeiro do Sul,120004,163322.92484599998,0.25031941634942145,norte,0
Tarauacá,120005,90942.145483,0.6550817180661307,norte,0
Manaus,130001,2569981.538139,-0.1356423151873484,norte,2
São Gabriel da Cachoeira,130002,104242.843152,1.9879200290377848,norte,1
Coari,130003,156942.81565,1.8756100088231829,norte,1
Manacapuru,130004,144349.73552,-0.43096834695348785,norte,2
Tefé,130005,182082.64676700003,3.2410427226692056,norte,1
Tabatinga,130006,231873.164687,0.7624920969866564,norte,1
Eirunepé,130007,101999.009491,1.409112857790866,norte,1
Lábrea,130008,130885.96567100001,1.7857898113263273,norte,1
Manicoré,130009,161550.21102,0.9595433467418,norte,1
Parintins,130010,249841.37481000004,0.63982322842258,norte,1
Itacoatiara,130011,173964.624469,0.5132899176270175,norte,1
Boa Vista,140001,473642.83966299996,8.343771658399852,norte,1
Pacaraima,140002,55863.802617,5.568283468373992,norte,1
Rorainópolis,140003,63088.226788,3.536666469851367,norte,1
Caracaraí,140004,38586.120428999995,1.824328953636086,norte,1
Belém,150001,2592933.5334,-0.0931427995323351,norte,0
Cametá,150002,227778.21129,2.222957930565528,norte,0
Abaetetuba,150003,439624.04368,-0.22969330032743954,norte,0
Castanhal,150004,518779.56397599995,0.021502738119612067,norte,0
Bragança,150005,313089.568425,0.2650991669568052,norte,0
Capanema,150006,191054.418786,0.41356629571503467,norte,0
Paragominas,150007,410930.524905,0.03146346996136879,norte,0
Capitão Poço,150008,107161.11330300002,0.9061795041675863,norte,0
Marabá,150009,570348.4834569999,0.9236447335443121,norte,0
Parauapebas,150010,408077.52058,2.672332546335179,norte,0
Tucuruí,150011,420204.09783,-0.3627743832379013,norte,2
Redenção,150012,279895.77273,0.9879754809557068,norte,0
Tucumã - São Félix do Xingu,150013,295441.18707,1.2157399952005057,norte,1
