imedreg,imedreg_codepopulacao,letalidade_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,0.04530173199673442,norte,0
Ariquemes,110002,244267.98213300004,-0.47653785124865905,norte,0
Jaru,110003,120564.550067,-0.8230604115180692,norte,0
Ji-Paraná,110004,304025.6776749999,-0.42901274954300433,norte,0
Cacoal,110005,302589.83598300006,-0.546275441216227,norte,0
Vilhena,110006,165292.086385,-0.3933559961113108,norte,0
Rio Branco,120001,504876.57074800006,0.5835017302618566,norte,0
Brasiléia,120002,72338.13942400001,-0.5229738480352374,norte,0
Sena Madureira,120003,62990.199089999995,-0.9698701414338501,norte,0
Cruzeiro do Sul,120004,163322.92484599998,-0.44119603530080737,norte,3
Tarauacá,120005,90942.145483,-0.8917764313759751,norte,0
Manaus,130001,2569981.538139,1.6840074678903134,norte,0
São Gabriel da Cachoeira,130002,104242.843152,-0.7755654652500986,norte,0
Coari,130003,156942.81565,-0.6742745534780169,norte,0
Manacapuru,130004,144349.73552,0.5684917522819738,norte,0
Tefé,130005,182082.64676700003,-0.32465862664663636,norte,3
Tabatinga,130006,231873.164687,0.038932492362471094,norte,0
Eirunepé,130007,101999.009491,-1.2796482087999586,norte,0
Lábrea,130008,130885.96567100001,-0.9949645186716577,norte,0
Manicoré,130009,161550.21102,-0.26079982066659585,norte,0
Parintins,130010,249841.37481000004,-0.03696573023668705,norte,0
Itacoatiara,130011,173964.624469,-0.3161531592728207,norte,0
Boa Vista,140001,473642.83966299996,-0.5055006105199001,norte,0
Pacaraima,140002,55863.802617,-0.46474537876446825,norte,0
Rorainópolis,140003,63088.226788,-1.1181773197767035,norte,0
Caracaraí,140004,38586.120428999995,-0.5667306129386144,norte,3
Belém,150001,2592933.5334,2.833430889707778,norte,0
Cametá,150002,227778.21129,-0.07427030252472443,norte,0
Abaetetuba,150003,439624.04368,0.46711614643913246,norte,0
Castanhal,150004,518779.56397599995,1.761857163211411,norte,0
Bragança,150005,313089.568425,0.3637865361279781,norte,0
Capanema,150006,191054.418786,1.6024482288241428,norte,0
Paragominas,150007,410930.524905,0.3038812444172412,norte,0
Capitão Poço,150008,107161.11330300002,-0.212532255724152,norte,0
Marabá,150009,570348.4834569999,0.27578596796965327,norte,0
Parauapebas,150010,408077.52058,-0.8729073361966999,norte,0
Tucuruí,150011,420204.09783,2.0668832454334636,norte,0
Redenção,150012,279895.77273,-0.7063714023301072,norte,0
Tucumã - São Félix do Xingu,150013,295441.18707,-1.0373891608348706,norte,0
Xinguara,150014,89038.29791200001,-1.0861519809108444,norte,3
Santarém,150015,445651.83932,0.81195285180702,norte,0
Itaituba,150016,251297.803402,-0.3958036158836941,norte,0
Oriximiná,150017,223524.79957299997,0.1133997172537057,norte,0
Altamira,150018,262477.021438,-0.21697012190328033,norte,0
Almeirim - Porto de Moz,150019,74686.83649,1.5294763150858741,norte,0
Breves,150020,411484.63013,0.14067570528578544,norte,0
Soure-Salvaterra,150021,157265.792093,0.34280242216405693,norte,1
Macapá,160001,654457.36529,-0.2742193535194116,norte,3
Laranjal do Jari,160002,67333.12171,-0.872478725240392,norte,0
Oiapoque,160003,79858.085703,-1.0967669089650125,norte,3
Porto Grande,160004,60124.417104,-1.2716059468941918,norte,3
Palmas,170001,389665.86524799996,-1.0300342672885692,norte,0
Porto Nacional,170002,104659.863133,-0.500499415772682,norte,0
Paraíso do Tocantins,170003,120386.17455700002,-0.09818300557113202,norte,0
Miracema do Tocantins,170004,45475.336239,-0.20627236365483878,norte,0
Araguaína,170005,325628.103233,-0.5907146109080774,norte,0
Guaraí,170006,86945.84316899999,0.0174150981060939,norte,4
Colinas do Tocantins,170007,65495.96647999999,-0.545857804335907,norte,0
Tocantinópolis,170008,49789.446823,-0.1798060393503919,norte,0
Araguatins,170009,137158.76029900002,-0.05869967414240744,norte,0
Gurupi,170010,181173.013458,-0.7301915241077478,norte,0
Dianópolis,170011,83869.633012,-0.47956449789861477,norte,3
São Luís,210001,1676128.6191400003,2.975161118007752,nordeste,0
Pinheiro,210002,341442.109984,-0.6297477464385974,nordeste,0
Chapadinha,210003,277946.115811,-0.6214543550175617,nordeste,0
Itapecuru Mirim,210004,298355.59337,-0.5921189642696247,nordeste,0
Viana,210005,257692.15209,-0.21464955007743186,nordeste,0
Barreirinhas,210006,133084.28007,0.3816471987844015,nordeste,0
Tutóia - Araioses,210007,207214.69482999996,-0.4880610177523471,nordeste,0
Cururupu,210008,122984.01033999998,-0.5959971649180681,nordeste,0
Santa Inês,210009,451846.73544499994,-0.719225532314621,nordeste,0
Bacabal,210010,405800.035922,-0.4540555519177711,nordeste,3
Governador Nunes Freire,210011,224565.45183500004,-0.5976018786843305,nordeste,0
Pedreiras,210012,184672.964411,-0.7449754651400624,nordeste,3
Caxias,210013,268928.562695,-0.33871558209183195,nordeste,0
Timon,210014,258592.85308,-0.00695726193548845,nordeste,0
Codó,210015,228457.45221000002,-0.9077304406310612,nordeste,3
Presidente Dutra,210016,237441.48151899996,-1.228793803268763,nordeste,3
São João dos Patos,210017,145805.764558,-0.9945387067984173,nordeste,0
Colinas,210018,80821.55705,-0.3054786295329801,nordeste,3
Imperatriz,210019,532231.693353,0.5238142329584812,nordeste,4
Barra do Corda,210020,280148.643331,-1.0164109711849545,nordeste,3
Açailândia,210021,270352.99432999996,-0.7016390445277197,nordeste,0
Balsas,210022,230084.23996099998,-1.1362701969731808,nordeste,0
Teresina,220001,1134373.896284,0.757776907175881,nordeste,0
Amarante - Água Branca - Regeneração,220002,156289.00978199998,0.3365741930618488,nordeste,0
Campo Maior,220003,136084.484612,-0.3606467648345699,nordeste,0
Valença do Piauí,220004,79823.38348399999,-0.8240449845366933,nordeste,0
Barras,220005,94902.30242899999,-0.3236676785599046,nordeste,0
Parnaíba,220006,282098.81894,-0.17434308039666205,nordeste,0
Piripiri,220007,174437.123889,0.059602366065535865,nordeste,0
Esperantina,220008,146372.46837199997,-0.5957575946371253,nordeste,0
Picos,220009,291225.751458,-0.6664879346807301,nordeste,0
Paulistana,220010,79939.350837,-1.3395084864403877,nordeste,0
Oeiras,220011,68545.96854100001,-0.42691138818897334,nordeste,0
Simplício Mendes,220012,41332.865334999995,-0.4908179439230892,nordeste,3
São Raimundo Nonato,220013,113098.98546299999,-1.2188862414612491,nordeste,0
São João do Piauí,220014,48436.09284500001,-1.075731307762111,nordeste,3
Corrente,220015,120522.36767299999,0.17313537152090266,nordeste,4
Bom Jesus,220016,77915.88872199999,-0.453694507037754,nordeste,0
Floriano,220017,124347.35358400001,0.17313537152090266,nordeste,0
Uruçuí,220018,61936.30414100001,-0.1562875380919611,nordeste,0
Canto do Buriti,220019,49014.573814,-0.29307882092160975,nordeste,0
Fortaleza,230001,4212262.35793,2.93314812909722,nordeste,0
Itapipoca,230002,311590.29093,1.1855395777948632,nordeste,1
Redenção-Acarape,230003,229672.19836,0.35123402934425696,nordeste,0
Canindé,230004,204751.35333000004,0.5958763908806957,nordeste,1
Itapagé,230005,156725.52479,1.557124461329918,nordeste,1
Quixadá,230006,333010.95934999996,-0.03728490268368614,nordeste,0
Russas - Limoeiro do Norte,230007,385634.97420500003,-0.08782183062030932,nordeste,0
Aracati,230008,152228.60224,0.3427635861723025,nordeste,1
Iguatu,230009,330687.50607,0.23250498091001048,nordeste,0
Icó,230010,110782.59877,-0.38634721939873296,nordeste,0
Juazeiro do Norte,230011,851305.5297979999,0.05868626247338322,nordeste,0
Brejo Santo,230012,188837.72431,0.5723464027650307,nordeste,0
Crateús,230013,247029.53571999999,-0.05636997906457876,nordeste,0
Tauá,230014,92350.27985,0.3918030403244046,nordeste,0
Sobral,230015,613519.6217039999,0.10207941540989263,nordeste,0
São Benedito - Ipu - Guaraciaba do Norte - Tianguá,230016,406972.32661999995,0.0327042168201502,nordeste,0
Acaraú,230017,216118.57382999998,-0.3892538241424551,nordeste,0
Camocim,230018,144405.99371,0.35194321100064924,nordeste,0
Natal,240001,1743859.074166,0.7102790905570624,nordeste,0
Santo Antônio - Passa e Fica - Nova Cruz,240002,142754.64600200002,1.1699108269150869,nordeste,0
Canguaretama,240003,139853.969338,0.4101675753533794,nordeste,0
Santa Cruz,240004,99814.195614,-0.550178226461545,nordeste,0
João Câmara,240005,73448.84682600001,-0.8886843435854861,nordeste,0
São Paulo do Potengi,240006,66820.48851699999,0.2448921733480263,nordeste,0
Caicó,240007,177541.72769499998,0.021447700425950907,nordeste,0
Currais Novos,240008,112075.386137,0.7267833438240394,nordeste,0
Mossoró,240009,506065.532053,0.6221345223723289,nordeste,0
Pau dos Ferros,240010,232247.75273900005,0.6696074944178873,nordeste,0
