imedreg,imedreg_codepopulacao,letalidade_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,0.04399035821278751,norte,0
Ariquemes,110002,244267.98213300004,-0.5253659304590157,norte,0
Jaru,110003,120564.550067,-0.8226136355196475,norte,0
Ji-Paraná,110004,304025.6776749999,-0.28441390047510945,norte,0
Cacoal,110005,302589.83598300006,-0.6155840269972046,norte,0
Vilhena,110006,165292.086385,-0.4275723085223555,norte,0
Rio Branco,120001,504876.57074800006,0.818339322813969,norte,0
Brasiléia,120002,72338.13942400001,-0.47444542630587994,norte,0
Sena Madureira,120003,62990.199089999995,-1.0076608003503935,norte,0
Cruzeiro do Sul,120004,163322.92484599998,-0.465724471581877,norte,3
Tarauacá,120005,90942.145483,-0.7570608259768928,norte,0
Manaus,130001,2569981.538139,1.7060816075724867,norte,0
São Gabriel da Cachoeira,130002,104242.843152,-0.8436184040748431,norte,0
Coari,130003,156942.81565,-0.593101994802644,norte,0
Manacapuru,130004,144349.73552,0.613929347960323,norte,0
Tefé,130005,182082.64676700003,-0.30261893930739386,norte,3
Tabatinga,130006,231873.164687,0.06167035938418154,norte,0
Eirunepé,130007,101999.009491,-1.206858544110267,norte,0
Lábrea,130008,130885.96567100001,-1.0224402428993349,norte,0
Manicoré,130009,161550.21102,-0.05783341220221529,norte,0
Parintins,130010,249841.37481000004,0.03170799310665181,norte,0
Itacoatiara,130011,173964.624469,-0.34824477879489585,norte,0
Boa Vista,140001,473642.83966299996,-0.5431930919132292,norte,0
Pacaraima,140002,55863.802617,-0.4195963652144869,norte,0
Rorainópolis,140003,63088.226788,-1.0359416837948179,norte,0
Caracaraí,140004,38586.120428999995,-0.7863151106214634,norte,3
Belém,150001,2592933.5334,2.744149836222924,norte,0
Cametá,150002,227778.21129,-0.025635312757285953,norte,0
Abaetetuba,150003,439624.04368,0.46964527904858744,norte,0
Castanhal,150004,518779.56397599995,1.9270851326409189,norte,0
Bragança,150005,313089.568425,0.3920887638340044,norte,0
Capanema,150006,191054.418786,1.3298441621110526,norte,0
Paragominas,150007,410930.524905,0.3241470309523389,norte,0
Capitão Poço,150008,107161.11330300002,-0.26916647209121375,norte,0
Marabá,150009,570348.4834569999,0.3111081660635387,norte,0
Parauapebas,150010,408077.52058,-0.9195063157755162,norte,0
Tucuruí,150011,420204.09783,2.2369426769644227,norte,0
Redenção,150012,279895.77273,-0.7031267013068204,norte,3
Tucumã - São Félix do Xingu,150013,295441.18707,-1.0054964498352095,norte,0
Xinguara,150014,89038.29791200001,-1.0840531572847467,norte,3
Santarém,150015,445651.83932,0.7006398679903911,norte,0
Itaituba,150016,251297.803402,-0.4427718389449631,norte,0
Oriximiná,150017,223524.79957299997,-0.06189845894377063,norte,0
Altamira,150018,262477.021438,-0.1685328457609833,norte,0
Almeirim - Porto de Moz,150019,74686.83649,1.1972003459355711,norte,0
Breves,150020,411484.63013,0.10330992106509859,norte,0
Soure-Salvaterra,150021,157265.792093,0.5800860385796849,norte,1
Macapá,160001,654457.36529,-0.1686942313032655,norte,3
Laranjal do Jari,160002,67333.12171,-0.9227020943036188,norte,0
Oiapoque,160003,79858.085703,-1.1858070641125111,norte,3
Porto Grande,160004,60124.417104,-1.311474384183496,norte,3
Palmas,170001,389665.86524799996,-1.026674632726489,norte,0
Porto Nacional,170002,104659.863133,-0.610002068276332,norte,0
Paraíso do Tocantins,170003,120386.17455700002,-0.3662196850191536,norte,0
Miracema do Tocantins,170004,45475.336239,-0.5593281765542918,norte,0
Araguaína,170005,325628.103233,-0.6026945139963852,norte,3
Guaraí,170006,86945.84316899999,-0.15209780133898004,norte,3
Colinas do Tocantins,170007,65495.96647999999,-0.8933171726213015,norte,0
