imedreg,imedreg_codepopulacao,incidencia_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,1.2650708466495484,norte,0
Ariquemes,110002,244267.98213300004,1.0952441622482194,norte,0
Jaru,110003,120564.550067,-0.4377579543016837,norte,0
Ji-Paraná,110004,304025.6776749999,0.1870751225974696,norte,0
Cacoal,110005,302589.83598300006,-0.4377579543016837,norte,0
Vilhena,110006,165292.086385,-0.4377579543016837,norte,0
Rio Branco,120001,504876.57074800006,1.9639140734265992,norte,0
Brasiléia,120002,72338.13942400001,-0.4377579543016837,norte,0
Sena Madureira,120003,62990.199089999995,-0.4377579543016837,norte,0
Cruzeiro do Sul,120004,163322.92484599998,-0.21939807210111414,norte,0
Tarauacá,120005,90942.145483,-0.4377579543016837,norte,0
Manaus,130001,2569981.538139,4.301176530407769,norte,1
São Gabriel da Cachoeira,130002,104242.843152,-0.2666998099165418,norte,2
Coari,130003,156942.81565,0.2439522816652412,norte,1
Manacapuru,130004,144349.73552,13.768243420341081,norte,1
Tefé,130005,182082.64676700003,0.06713007446103023,norte,0
Tabatinga,130006,231873.164687,1.2540933707959179,norte,0
Eirunepé,130007,101999.009491,-0.4377579543016837,norte,0
Lábrea,130008,130885.96567100001,-0.1652827928342628,norte,0
Manicoré,130009,161550.21102,-0.4377579543016837,norte,0
Parintins,130010,249841.37481000004,0.2045867572464261,norte,1
Itacoatiara,130011,173964.624469,-0.005518299252951488,norte,2
Boa Vista,140001,473642.83966299996,4.531745073035064,norte,0
Pacaraima,140002,55863.802617,1.7966246934542551,norte,1
Rorainópolis,140003,63088.226788,0.6928230255653403,norte,1
Caracaraí,140004,38586.120428999995,-0.4377579543016837,norte,2
Belém,150001,2592933.5334,1.9554358185782157,norte,0
Cametá,150002,227778.21129,-0.4377579543016837,norte,0
Abaetetuba,150003,439624.04368,-0.2755139863353453,norte,3
Castanhal,150004,518779.56397599995,-0.19715265703738713,norte,0
Bragança,150005,313089.568425,-0.26689706546995595,norte,0
Capanema,150006,191054.418786,-0.13004027292328327,norte,0
Paragominas,150007,410930.524905,-0.4377579543016837,norte,0
Capitão Poço,150008,107161.11330300002,-0.27135815902712945,norte,0
Marabá,150009,570348.4834569999,-0.2501717206334717,norte,0
Parauapebas,150010,408077.52058,-0.08818540662165454,norte,0
Tucuruí,150011,420204.09783,-0.3953224154597313,norte,3
Redenção,150012,279895.77273,-0.34827506932757407,norte,3
Tucumã - São Félix do Xingu,150013,295441.18707,-0.377402160677054,norte,3
Xinguara,150014,89038.29791200001,-0.4377579543016837,norte,0
Santarém,150015,445651.83932,-0.11765897583058071,norte,0
Itaituba,150016,251297.803402,-0.22488398078961838,norte,0
Oriximiná,150017,223524.79957299997,-0.11865980771434763,norte,0
Altamira,150018,262477.021438,-0.36982215094137116,norte,3
Almeirim - Porto de Moz,150019,74686.83649,-0.4377579543016837,norte,0
Breves,150020,411484.63013,-0.35108843612610086,norte,0
Soure-Salvaterra,150021,157265.792093,-0.09760284979298589,norte,0
Macapá,160001,654457.36529,4.957023242496357,norte,0
Laranjal do Jari,160002,67333.12171,0.621547591745159,norte,1
Oiapoque,160003,79858.085703,0.4554058203136974,norte,1
Porto Grande,160004,60124.417104,-0.14117982225645498,norte,2
Palmas,170001,389665.86524799996,-0.06879491859446898,norte,3
Porto Nacional,170002,104659.863133,-0.4377579543016837,norte,3
Paraíso do Tocantins,170003,120386.17455700002,-0.4377579543016837,norte,3
Miracema do Tocantins,170004,45475.336239,-0.4377579543016837,norte,0
Araguaína,170005,325628.103233,-0.49725389586402086,norte,0
Guaraí,170006,86945.84316899999,-0.4377579543016837,norte,3
Colinas do Tocantins,170007,65495.96647999999,-0.4377579543016837,norte,3
Tocantinópolis,170008,49789.446823,-0.031934183731229346,norte,0
Araguatins,170009,137158.76029900002,-0.4377579543016837,norte,0
Gurupi,170010,181173.013458,-0.4377579543016837,norte,3
Dianópolis,170011,83869.633012,-0.4377579543016837,norte,3
São Luís,210001,1676128.6191400003,7.615628547976637,nordeste,0
Pinheiro,210002,341442.109984,-0.4377579543016837,nordeste,2
Chapadinha,210003,277946.115811,-0.30944828346506886,nordeste,2
Itapecuru Mirim,210004,298355.59337,-0.25845928139664104,nordeste,2
Viana,210005,257692.15209,0.04662276972398767,nordeste,1
Barreirinhas,210006,133084.28007,-0.30377077485694826,nordeste,2
Tutóia - Araioses,210007,207214.69482999996,-0.4377579543016837,nordeste,0
Cururupu,210008,122984.01033999998,-0.12232466967492715,nordeste,2
Santa Inês,210009,451846.73544499994,-0.3326690830666053,nordeste,0
Bacabal,210010,405800.035922,-0.1741071055604089,nordeste,0
Governador Nunes Freire,210011,224565.45183500004,-0.27894824275162466,nordeste,3
Pedreiras,210012,184672.964411,-0.34120030509794147,nordeste,0
Caxias,210013,268928.562695,0.026384306952473242,nordeste,0
Timon,210014,258592.85308,-0.29984550155886935,nordeste,0
Codó,210015,228457.45221000002,-0.4377579543016837,nordeste,0
Presidente Dutra,210016,237441.48151899996,-0.3626590827778989,nordeste,0
São João dos Patos,210017,145805.764558,-0.4377579543016837,nordeste,3
Colinas,210018,80821.55705,-0.4377579543016837,nordeste,3
Imperatriz,210019,532231.693353,0.040541620074149604,nordeste,4
Barra do Corda,210020,280148.643331,-0.4377579543016837,nordeste,0
Açailândia,210021,270352.99432999996,-0.4377579543016837,nordeste,0
Balsas,210022,230084.23996099998,-0.4377579543016837,nordeste,3
Teresina,220001,1134373.896284,0.7883490771869551,nordeste,0
Amarante - Água Branca - Regeneração,220002,156289.00978199998,-0.20341175715543972,nordeste,0
Campo Maior,220003,136084.484612,-0.3067247408839057,nordeste,0
Valença do Piauí,220004,79823.38348399999,0.009018078903842437,nordeste,0
Barras,220005,94902.30242899999,-0.4377579543016837,nordeste,0
Parnaíba,220006,282098.81894,0.06792547626397609,nordeste,0
Piripiri,220007,174437.123889,-0.33553437415162723,nordeste,0
Esperantina,220008,146372.46837199997,-0.2894004393492993,nordeste,0
Picos,220009,291225.751458,-0.2513542825694973,nordeste,0
Paulistana,220010,79939.350837,-0.4377579543016837,nordeste,0
Oeiras,220011,68545.96854100001,-0.4377579543016837,nordeste,0
Simplício Mendes,220012,41332.865334999995,-0.4377579543016837,nordeste,0
São Raimundo Nonato,220013,113098.98546299999,0.055917041891538524,nordeste,0
São João do Piauí,220014,48436.09284500001,-0.03495145937744954,nordeste,3
Corrente,220015,120522.36767299999,-0.4377579543016837,nordeste,3
Bom Jesus,220016,77915.88872199999,-0.4377579543016837,nordeste,0
Floriano,220017,124347.35358400001,-0.4377579543016837,nordeste,3
Uruçuí,220018,61936.30414100001,-0.4377579543016837,nordeste,3
Canto do Buriti,220019,49014.573814,-0.4377579543016837,nordeste,0
