imedreg,imedreg_codepopulacao,letalidade_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,0.379486712585236,norte,0
Ariquemes,110002,244267.98213300004,-0.4179232242125049,norte,0
Jaru,110003,120564.550067,-0.9352509775260699,norte,0
Ji-Paraná,110004,304025.6776749999,0.16998956965775108,norte,0
Cacoal,110005,302589.83598300006,-0.5944983573963681,norte,0
Vilhena,110006,165292.086385,-0.4250783892029479,norte,0
Rio Branco,120001,504876.57074800006,0.37708497823673,norte,4
Brasiléia,120002,72338.13942400001,-0.7596602162237884,norte,0
Sena Madureira,120003,62990.199089999995,-1.5295324104161323,norte,3
Cruzeiro do Sul,120004,163322.92484599998,-0.5098585521070254,norte,3
Tarauacá,120005,90942.145483,-1.3280833252344484,norte,3
Manaus,130001,2569981.538139,3.112802628891494,norte,0
São Gabriel da Cachoeira,130002,104242.843152,-0.6672904057540708,norte,0
Coari,130003,156942.81565,-0.176120780286906,norte,0
Manacapuru,130004,144349.73552,1.0794095374371968,norte,0
Tefé,130005,182082.64676700003,-0.5619101570210064,norte,3
Tabatinga,130006,231873.164687,0.10884896472581991,norte,4
Eirunepé,130007,101999.009491,-1.5195609227039635,norte,0
Lábrea,130008,130885.96567100001,-1.0732482646345636,norte,0
Manicoré,130009,161550.21102,-0.09158444451227002,norte,0
Parintins,130010,249841.37481000004,0.8839818158486271,norte,0
Itacoatiara,130011,173964.624469,0.6213161169686116,norte,0
Boa Vista,140001,473642.83966299996,-0.6842136987841868,norte,0
Pacaraima,140002,55863.802617,-0.05213234202791829,norte,0
Rorainópolis,140003,63088.226788,-0.9545726823142382,norte,0
Caracaraí,140004,38586.120428999995,-0.48008495490449016,norte,3
Belém,150001,2592933.5334,1.7833320470587144,norte,0
Cametá,150002,227778.21129,0.26492625215649007,norte,0
Abaetetuba,150003,439624.04368,0.37050632920904947,norte,0
Castanhal,150004,518779.56397599995,1.4422431835987308,norte,0
Bragança,150005,313089.568425,0.3741377197106751,norte,0
Capanema,150006,191054.418786,1.9771136790906434,norte,0
Paragominas,150007,410930.524905,0.21489833474378106,norte,0
Capitão Poço,150008,107161.11330300002,-0.4511747667822322,norte,0
Marabá,150009,570348.4834569999,0.33288848163864315,norte,0
Parauapebas,150010,408077.52058,-1.3233928642155275,norte,3
Tucuruí,150011,420204.09783,1.929094169654733,norte,0
Redenção,150012,279895.77273,-0.856638168979673,norte,3
Tucumã - São Félix do Xingu,150013,295441.18707,-1.3764567706926258,norte,0
Xinguara,150014,89038.29791200001,-1.2678822413707125,norte,3
Santarém,150015,445651.83932,0.7218578754959872,norte,0
Itaituba,150016,251297.803402,-0.7507615133505566,norte,0
Oriximiná,150017,223524.79957299997,-0.015552184873432887,norte,0
Altamira,150018,262477.021438,-0.21511965978466235,norte,0
Almeirim - Porto de Moz,150019,74686.83649,-0.6374289767575119,norte,0
Breves,150020,411484.63013,-0.17272802125711423,norte,0
Soure-Salvaterra,150021,157265.792093,0.5573414531764834,norte,0
Macapá,160001,654457.36529,-0.29223263649188846,norte,3
Laranjal do Jari,160002,67333.12171,-1.3820321026114097,norte,3
Oiapoque,160003,79858.085703,-1.4826995808406047,norte,3
Porto Grande,160004,60124.417104,-1.5760063456103544,norte,3
Palmas,170001,389665.86524799996,-1.1203545578015532,norte,0
Porto Nacional,170002,104659.863133,-0.45493405056673514,norte,3
Paraíso do Tocantins,170003,120386.17455700002,-0.590799348229307,norte,0
Miracema do Tocantins,170004,45475.336239,-0.4665445017202554,norte,0
Araguaína,170005,325628.103233,-0.6447592391121542,norte,0
Guaraí,170006,86945.84316899999,-0.07802594400129971,norte,3
Colinas do Tocantins,170007,65495.96647999999,-0.997331516721444,norte,0
Tocantinópolis,170008,49789.446823,-0.326542676740874,norte,0
Araguatins,170009,137158.76029900002,-0.4417748412951416,norte,0
Gurupi,170010,181173.013458,-0.42437084667532854,norte,0
Dianópolis,170011,83869.633012,-0.43559805394952383,norte,3
São Luís,210001,1676128.6191400003,3.4267130732568685,nordeste,0
