semana,I_global
202048,0.492026132654801
202049,0.4997609199398137
202050,0.4994625970387179
202051,0.4952922774774197
202052,0.4869082873117168
202053,0.4784255414233735
202016,0.07401585346383231
202017,0.017489681045725985
202018,-0.02471687661519571
202019,0.02208948933751664
202020,0.015821113023138766
202021,0.07602517096794155
202022,0.05734976024460077
202023,0.156255358895211
202024,0.16744506636822362
202025,0.1578798253404563
202026,0.21299312621329095
202027,0.2849261553807688
202028,0.3575299029017294
202029,0.3651599454438194
202030,0.39133591436138765
202031,0.4032852288674368
202032,0.4250618300658449
202101,0.4736819420896609
202102,0.4682733750072096
202103,0.4613120255995192
202104,0.4540525538668294
202105,0.4421860092295511
202106,0.4363813272362631
202107,0.4347474234071758
202108,0.42556840710679217
202109,0.40798995485570516
202110,0.3941729716261849
202111,0.37186623048423073
