imedreg,imedreg_codepopulacao,letalidade_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,0.47109289660887604,norte,0
Ariquemes,110002,244267.98213300004,-0.3958736035173311,norte,0
Jaru,110003,120564.550067,-0.8647852055643653,norte,0
Ji-Paraná,110004,304025.6776749999,0.16344497286214354,norte,0
Cacoal,110005,302589.83598300006,-0.572015235978904,norte,0
Vilhena,110006,165292.086385,-0.4663598931180175,norte,0
Rio Branco,120001,504876.57074800006,0.3461644581147091,norte,4
Brasiléia,120002,72338.13942400001,-0.7786995831279929,norte,0
Sena Madureira,120003,62990.199089999995,-1.4618335573315548,norte,3
Cruzeiro do Sul,120004,163322.92484599998,-0.4405418810711147,norte,3
Tarauacá,120005,90942.145483,-1.327470716885656,norte,3
Manaus,130001,2569981.538139,3.186776829817745,norte,0
São Gabriel da Cachoeira,130002,104242.843152,-0.6967287323663708,norte,0
Coari,130003,156942.81565,-0.14255966079721363,norte,0
Manacapuru,130004,144349.73552,1.044258989669672,norte,0
Tefé,130005,182082.64676700003,-0.533592228599748,norte,3
Tabatinga,130006,231873.164687,0.05891683587608113,norte,4
Eirunepé,130007,101999.009491,-1.5250034388825906,norte,0
Lábrea,130008,130885.96567100001,-1.0735977326233073,norte,0
Manicoré,130009,161550.21102,-0.07040756702230933,norte,0
Parintins,130010,249841.37481000004,0.9979343051986187,norte,0
Itacoatiara,130011,173964.624469,0.603391220562295,norte,0
Boa Vista,140001,473642.83966299996,-0.6451220425599876,norte,0
Pacaraima,140002,55863.802617,-0.02714957991711134,norte,0
Rorainópolis,140003,63088.226788,-0.90932214963982,norte,2
Caracaraí,140004,38586.120428999995,-0.20490989912579607,norte,3
Belém,150001,2592933.5334,1.7489682977449326,norte,0
Cametá,150002,227778.21129,0.2798999982854933,norte,0
Abaetetuba,150003,439624.04368,0.3659988152793135,norte,0
Castanhal,150004,518779.56397599995,1.4040051760650438,norte,0
Bragança,150005,313089.568425,0.3727704682645753,norte,0
Capanema,150006,191054.418786,1.9537752064532612,norte,0
Paragominas,150007,410930.524905,0.1816194218111132,norte,0
Capitão Poço,150008,107161.11330300002,-0.4392088078815691,norte,0
Marabá,150009,570348.4834569999,0.3042173726693737,norte,0
Parauapebas,150010,408077.52058,-1.3533025135487868,norte,3
Tucuruí,150011,420204.09783,1.927071871052364,norte,0
Redenção,150012,279895.77273,-0.8888347336024759,norte,3
Tucumã - São Félix do Xingu,150013,295441.18707,-1.3910616931524993,norte,0
Xinguara,150014,89038.29791200001,-1.265777427125297,norte,3
Santarém,150015,445651.83932,1.569379919380536,norte,0
Itaituba,150016,251297.803402,-0.768483788643766,norte,0
Oriximiná,150017,223524.79957299997,0.00017115195883867418,norte,0
Altamira,150018,262477.021438,-0.21624178684428813,norte,0
Almeirim - Porto de Moz,150019,74686.83649,-0.6942590568425712,norte,0
Breves,150020,411484.63013,-0.1717264484393654,norte,0
Soure-Salvaterra,150021,157265.792093,0.5165961943337983,norte,0
Macapá,160001,654457.36529,-0.3223607949058706,norte,3
Laranjal do Jari,160002,67333.12171,-1.4102397530796724,norte,3
Oiapoque,160003,79858.085703,-1.4975889073932962,norte,3
Porto Grande,160004,60124.417104,-1.5982768796584417,norte,3
Palmas,170001,389665.86524799996,-1.1348547746319109,norte,0
Porto Nacional,170002,104659.863133,-0.46366708667352385,norte,3
Paraíso do Tocantins,170003,120386.17455700002,-0.6497625494445859,norte,0
Miracema do Tocantins,170004,45475.336239,-0.5107338757372233,norte,0
Araguaína,170005,325628.103233,-0.6548559763768778,norte,0
Guaraí,170006,86945.84316899999,-0.16440139854630922,norte,3
