imedreg,imedreg_codepopulacao,incidencia_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,-0.21189554569425123,norte,0
Ariquemes,110002,244267.98213300004,0.6602183164357767,norte,0
Jaru,110003,120564.550067,0.7687965251465855,norte,0
Ji-Paraná,110004,304025.6776749999,-0.04365924166579202,norte,0
Cacoal,110005,302589.83598300006,1.7161439755202454,norte,0
Vilhena,110006,165292.086385,2.344914302773996,norte,0
Rio Branco,120001,504876.57074800006,-0.49201303856594797,norte,0
Brasiléia,120002,72338.13942400001,0.7807268422087896,norte,0
Sena Madureira,120003,62990.199089999995,0.025382039218971534,norte,0
Cruzeiro do Sul,120004,163322.92484599998,-0.9357853675420208,norte,0
Tarauacá,120005,90942.145483,-1.1243311853143678,norte,0
Manaus,130001,2569981.538139,0.7273079210436965,norte,0
São Gabriel da Cachoeira,130002,104242.843152,0.6477794844516983,norte,0
Coari,130003,156942.81565,-0.4552657095527248,norte,2
Manacapuru,130004,144349.73552,-0.025588964689668304,norte,0
Tefé,130005,182082.64676700003,3.5730789478691407,norte,0
Tabatinga,130006,231873.164687,-0.12838314314672553,norte,2
Eirunepé,130007,101999.009491,0.17607105845100043,norte,0
Lábrea,130008,130885.96567100001,0.44306503863586094,norte,0
Manicoré,130009,161550.21102,0.29933989078100626,norte,0
Parintins,130010,249841.37481000004,-0.2769152100792646,norte,0
Itacoatiara,130011,173964.624469,0.5338126431573101,norte,0
Boa Vista,140001,473642.83966299996,-0.10683962600916888,norte,3
Pacaraima,140002,55863.802617,-0.9272680121769651,norte,0
Rorainópolis,140003,63088.226788,-1.0125509694006216,norte,0
Caracaraí,140004,38586.120428999995,-0.9393544355369935,norte,0
Belém,150001,2592933.5334,-0.45591706898029366,norte,0
Cametá,150002,227778.21129,-0.6627013541989485,norte,3
Abaetetuba,150003,439624.04368,-0.7058782165826442,norte,0
Castanhal,150004,518779.56397599995,-1.0916403575386115,norte,0
Bragança,150005,313089.568425,-1.0816932713064895,norte,3
Capanema,150006,191054.418786,-0.6052717371743935,norte,3
Paragominas,150007,410930.524905,-0.6207428167207585,norte,3
Capitão Poço,150008,107161.11330300002,-0.6377017363982693,norte,3
Marabá,150009,570348.4834569999,-0.8890641376689189,norte,0
Parauapebas,150010,408077.52058,-0.6144131583203364,norte,3
Tucuruí,150011,420204.09783,-0.785569679688916,norte,3
Redenção,150012,279895.77273,-0.09407667170252425,norte,3
Tucumã - São Félix do Xingu,150013,295441.18707,-0.7152782113872319,norte,0
Xinguara,150014,89038.29791200001,-0.9033432378044414,norte,0
Santarém,150015,445651.83932,-0.6587760391030735,norte,0
Itaituba,150016,251297.803402,-0.8599848288781767,norte,0
Oriximiná,150017,223524.79957299997,-0.5643121346915446,norte,3
Altamira,150018,262477.021438,0.08275264930906577,norte,4
Almeirim - Porto de Moz,150019,74686.83649,-1.2455277806798137,norte,0
Breves,150020,411484.63013,-1.0335201351028735,norte,0
Soure-Salvaterra,150021,157265.792093,-1.0780100166844884,norte,0
Macapá,160001,654457.36529,0.6800224826876484,norte,0
Laranjal do Jari,160002,67333.12171,-0.15444508818215844,norte,0
Oiapoque,160003,79858.085703,0.5152601901463575,norte,0
Porto Grande,160004,60124.417104,0.5173473452229057,norte,0
Palmas,170001,389665.86524799996,0.23508586410416685,norte,0
Porto Nacional,170002,104659.863133,0.13919517115472071,norte,0
Paraíso do Tocantins,170003,120386.17455700002,0.0857804438168965,norte,0
Miracema do Tocantins,170004,45475.336239,0.14696148819670388,norte,0
Araguaína,170005,325628.103233,-0.26425287591317326,norte,3
Guaraí,170006,86945.84316899999,-0.3905521524966233,norte,0
Colinas do Tocantins,170007,65495.96647999999,-1.0441064246285383,norte,0
Tocantinópolis,170008,49789.446823,-0.25025385342803075,norte,3
Araguatins,170009,137158.76029900002,-0.9759182931637436,norte,0
Gurupi,170010,181173.013458,-0.44589307054365557,norte,0
Dianópolis,170011,83869.633012,-0.1611860056646017,norte,0
São Luís,210001,1676128.6191400003,-1.1865383592419245,nordeste,3
Pinheiro,210002,341442.109984,-1.2302047115023869,nordeste,3
Chapadinha,210003,277946.115811,-1.264039781551923,nordeste,3
Itapecuru Mirim,210004,298355.59337,-1.2503041257939034,nordeste,3
Viana,210005,257692.15209,-1.2381448890478568,nordeste,3
Barreirinhas,210006,133084.28007,-1.2743752405929605,nordeste,3
Tutóia - Araioses,210007,207214.69482999996,-1.2743752405929605,nordeste,3
Cururupu,210008,122984.01033999998,-1.2568564955485548,nordeste,3
Santa Inês,210009,451846.73544499994,-1.1329166762996803,nordeste,3
Bacabal,210010,405800.035922,-1.26729613649911,nordeste,3
Governador Nunes Freire,210011,224565.45183500004,-1.2487907112532406,nordeste,3
Pedreiras,210012,184672.964411,-1.0565966942508265,nordeste,3
Caxias,210013,268928.562695,-0.964596616348042,nordeste,3
Timon,210014,258592.85308,-1.1299586080459392,nordeste,3
Codó,210015,228457.45221000002,-1.2555137370539595,nordeste,3
Presidente Dutra,210016,237441.48151899996,-1.2713505998718,nordeste,3
São João dos Patos,210017,145805.764558,-1.2004918269907512,nordeste,3
Colinas,210018,80821.55705,-1.034454971757146,nordeste,3
Imperatriz,210019,532231.693353,-1.128643748557936,nordeste,3
Barra do Corda,210020,280148.643331,-1.0257108492915632,nordeste,3
Açailândia,210021,270352.99432999996,-1.2106207990481366,nordeste,3
Balsas,210022,230084.23996099998,-1.0246666385551202,nordeste,3
Teresina,220001,1134373.896284,-0.15251726033550653,nordeste,3
Amarante - Água Branca - Regeneração,220002,156289.00978199998,-0.7918819842586927,nordeste,3
Campo Maior,220003,136084.484612,-0.8891234770005645,nordeste,3
Valença do Piauí,220004,79823.38348399999,-0.37466998813525604,nordeste,3
Barras,220005,94902.30242899999,-0.98680943966387,nordeste,3
Parnaíba,220006,282098.81894,-0.9586925238144779,nordeste,3
Piripiri,220007,174437.123889,-0.40978413088216065,nordeste,3
Esperantina,220008,146372.46837199997,-1.033957189901763,nordeste,3
Picos,220009,291225.751458,-0.606077635895683,nordeste,3
Paulistana,220010,79939.350837,-0.4388631871060135,nordeste,3
