imedreg,imedreg_codepopulacao,letalidade_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,-0.013112058767617651,norte,3
Ariquemes,110002,244267.98213300004,-0.5928512140746043,norte,0
Jaru,110003,120564.550067,-1.0396675688865968,norte,0
Ji-Paraná,110004,304025.6776749999,-0.5826848869005113,norte,0
Cacoal,110005,302589.83598300006,-0.5656412437495152,norte,0
Vilhena,110006,165292.086385,-0.26126644550359956,norte,0
Rio Branco,120001,504876.57074800006,-0.12357093992321361,norte,0
Brasiléia,120002,72338.13942400001,-0.019693683074393478,norte,0
Sena Madureira,120003,62990.199089999995,-0.8524571721235975,norte,0
Cruzeiro do Sul,120004,163322.92484599998,-0.5425374396672036,norte,0
Tarauacá,120005,90942.145483,-0.7496749935086174,norte,0
Manaus,130001,2569981.538139,0.844315116244745,norte,0
São Gabriel da Cachoeira,130002,104242.843152,-0.5654099307989429,norte,0
Coari,130003,156942.81565,-0.2694268901518487,norte,0
Manacapuru,130004,144349.73552,0.03115925438909207,norte,0
Tefé,130005,182082.64676700003,-0.32023323949688964,norte,0
Tabatinga,130006,231873.164687,-0.1017549990176374,norte,0
Eirunepé,130007,101999.009491,-0.9148606377112639,norte,0
Lábrea,130008,130885.96567100001,-0.7774402400873602,norte,0
Manicoré,130009,161550.21102,-0.3589736994847289,norte,0
Parintins,130010,249841.37481000004,-0.0601548755091651,norte,0
Itacoatiara,130011,173964.624469,-0.10498075568484508,norte,0
Boa Vista,140001,473642.83966299996,-0.2353416188816532,norte,0
Pacaraima,140002,55863.802617,-0.5095736138945915,norte,0
Rorainópolis,140003,63088.226788,-0.5786923581558867,norte,0
Caracaraí,140004,38586.120428999995,-0.4234333462083907,norte,0
Belém,150001,2592933.5334,1.9260612494908391,norte,0
Cametá,150002,227778.21129,0.06955403193417439,norte,0
Abaetetuba,150003,439624.04368,-0.056172212659183006,norte,0
Castanhal,150004,518779.56397599995,1.4939927890513423,norte,0
Bragança,150005,313089.568425,-0.23365879320368346,norte,0
Capanema,150006,191054.418786,0.8701732976184581,norte,0
Paragominas,150007,410930.524905,0.385487683560936,norte,0
Capitão Poço,150008,107161.11330300002,-0.006975804198929615,norte,0
Marabá,150009,570348.4834569999,1.5233605203013212,norte,0
Parauapebas,150010,408077.52058,-0.3984475346907275,norte,0
Tucuruí,150011,420204.09783,1.3096885489602679,norte,0
Redenção,150012,279895.77273,-0.06985633319630503,norte,0
Tucumã - São Félix do Xingu,150013,295441.18707,-0.7249947743275128,norte,0
Xinguara,150014,89038.29791200001,-0.49334910234338497,norte,0
Santarém,150015,445651.83932,1.0185962321126645,norte,0
Itaituba,150016,251297.803402,-0.5224349098517745,norte,0
Oriximiná,150017,223524.79957299997,1.4723700267443076,norte,0
Altamira,150018,262477.021438,-0.19399721261864913,norte,0
Almeirim - Porto de Moz,150019,74686.83649,1.2652084847669538,norte,0
Breves,150020,411484.63013,0.779921671304957,norte,0
Soure-Salvaterra,150021,157265.792093,0.6354609291239073,norte,1
Macapá,160001,654457.36529,-0.2790474397069704,norte,0
Laranjal do Jari,160002,67333.12171,-0.40218389025396967,norte,0
Oiapoque,160003,79858.085703,-0.6815653571607626,norte,0
Porto Grande,160004,60124.417104,-0.8408155171988394,norte,0
Palmas,170001,389665.86524799996,-0.6671330262095955,norte,0
Porto Nacional,170002,104659.863133,-0.49692917093147937,norte,0
Paraíso do Tocantins,170003,120386.17455700002,0.09799561144239932,norte,0
Miracema do Tocantins,170004,45475.336239,0.16764845921764399,norte,0
Araguaína,170005,325628.103233,-0.7299895805903553,norte,0
Guaraí,170006,86945.84316899999,0.07233403594625652,norte,0
Colinas do Tocantins,170007,65495.96647999999,-0.8342561613271947,norte,0
Tocantinópolis,170008,49789.446823,-0.5261390499880916,norte,0
Araguatins,170009,137158.76029900002,0.23255792309421622,norte,0
Gurupi,170010,181173.013458,-0.11891293266702019,norte,0
Dianópolis,170011,83869.633012,-1.0396675688865968,norte,0
São Luís,210001,1676128.6191400003,0.554026317063029,nordeste,4
Pinheiro,210002,341442.109984,-0.5483180225651034,nordeste,0
Chapadinha,210003,277946.115811,-0.8049861765623038,nordeste,0
Itapecuru Mirim,210004,298355.59337,-0.795412881119843,nordeste,0
Viana,210005,257692.15209,-0.5779428049677067,nordeste,0
Barreirinhas,210006,133084.28007,-0.4653133419243853,nordeste,0
Tutóia - Araioses,210007,207214.69482999996,-0.5098900878975717,nordeste,0
Cururupu,210008,122984.01033999998,-0.5045167965607861,nordeste,0
Santa Inês,210009,451846.73544499994,-0.7443862058985372,nordeste,0
Bacabal,210010,405800.035922,-0.36034669748734416,nordeste,3
Governador Nunes Freire,210011,224565.45183500004,-0.37968446630222996,nordeste,0
Pedreiras,210012,184672.964411,-0.7428516387938415,nordeste,3
Caxias,210013,268928.562695,-0.47083597872209876,nordeste,3
Timon,210014,258592.85308,-0.6622609636099921,nordeste,0
Codó,210015,228457.45221000002,-0.8632856804634967,nordeste,3
Presidente Dutra,210016,237441.48151899996,-0.9793633024471393,nordeste,3
São João dos Patos,210017,145805.764558,-0.878910815144456,nordeste,0
Colinas,210018,80821.55705,-0.8974596713454723,nordeste,3
Imperatriz,210019,532231.693353,-0.16871953522852975,nordeste,3
Barra do Corda,210020,280148.643331,-0.7016190810174094,nordeste,3
Açailândia,210021,270352.99432999996,-0.7883997920555239,nordeste,0
Balsas,210022,230084.23996099998,-0.9872221031267495,nordeste,0
Teresina,220001,1134373.896284,0.06368513457533435,nordeste,0
Amarante - Água Branca - Regeneração,220002,156289.00978199998,0.4507593882885997,nordeste,0
Campo Maior,220003,136084.484612,-0.49990036654072284,nordeste,0
Valença do Piauí,220004,79823.38348399999,0.5171346778793977,nordeste,0
Barras,220005,94902.30242899999,-0.603073580863661,nordeste,0
Parnaíba,220006,282098.81894,-0.454767289734401,nordeste,0
Piripiri,220007,174437.123889,0.2829814944227239,nordeste,0
Esperantina,220008,146372.46837199997,-0.248778726946653,nordeste,0
Picos,220009,291225.751458,-0.5233216865427632,nordeste,0
Paulistana,220010,79939.350837,-1.0396675688865968,nordeste,0
Oeiras,220011,68545.96854100001,-1.0396675688865968,nordeste,0
Simplício Mendes,220012,41332.865334999995,0.14350213865555914,nordeste,4
São Raimundo Nonato,220013,113098.98546299999,-0.34094530065304024,nordeste,2
São João do Piauí,220014,48436.09284500001,-1.0396675688865968,nordeste,2
Corrente,220015,120522.36767299999,-0.05369281260146681,nordeste,3
Bom Jesus,220016,77915.88872199999,-0.04261444455331939,nordeste,2
Floriano,220017,124347.35358400001,0.35557972774330415,nordeste,0
Uruçuí,220018,61936.30414100001,0.14350213865555914,nordeste,1
Canto do Buriti,220019,49014.573814,6.355143103251878,nordeste,0
Fortaleza,230001,4212262.35793,1.3133135771387596,nordeste,0
Itapipoca,230002,311590.29093,0.6092610544032859,nordeste,0
Redenção-Acarape,230003,229672.19836,0.1545916889064949,nordeste,0
Canindé,230004,204751.35333000004,0.012365049482152345,nordeste,0
Itapagé,230005,156725.52479,0.38393234660530196,nordeste,0
Quixadá,230006,333010.95934999996,-0.00030477856298630467,nordeste,0
Russas - Limoeiro do Norte,230007,385634.97420500003,-0.18406963987883937,nordeste,0
Aracati,230008,152228.60224,0.15464909417749043,nordeste,0
Iguatu,230009,330687.50607,1.1658022806985622,nordeste,0
Icó,230010,110782.59877,-0.3596849783451279,nordeste,0
Juazeiro do Norte,230011,851305.5297979999,0.013763754604544995,nordeste,0
Brejo Santo,230012,188837.72431,1.798744608297868,nordeste,0
Crateús,230013,247029.53571999999,0.6615504707148334,nordeste,0
Tauá,230014,92350.27985,0.10112966979041302,nordeste,0
Sobral,230015,613519.6217039999,0.04991934391166748,nordeste,0
São Benedito - Ipu - Guaraciaba do Norte - Tianguá,230016,406972.32661999995,0.022770535845135054,nordeste,0
Acaraú,230017,216118.57382999998,-0.4310884297199211,nordeste,0
Camocim,230018,144405.99371,-0.05369281260146681,nordeste,0
Natal,240001,1743859.074166,0.1021311362453954,nordeste,0
