imedreg,imedreg_codepopulacao,letalidade_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,-0.2508263534820259,norte,0
Ariquemes,110002,244267.98213300004,-0.3851078971877614,norte,0
Jaru,110003,120564.550067,-0.5834503608265084,norte,0
Ji-Paraná,110004,304025.6776749999,-0.27027804981796055,norte,0
Cacoal,110005,302589.83598300006,0.2279506267865474,norte,0
Vilhena,110006,165292.086385,-0.5834503608265084,norte,2
Rio Branco,120001,504876.57074800006,-0.21226125118121636,norte,0
Brasiléia,120002,72338.13942400001,-0.5834503608265084,norte,0
Sena Madureira,120003,62990.199089999995,-0.5834503608265084,norte,0
Cruzeiro do Sul,120004,163322.92484599998,-0.5834503608265084,norte,0
Tarauacá,120005,90942.145483,-0.5834503608265084,norte,0
Manaus,130001,2569981.538139,0.25681241197553434,norte,0
São Gabriel da Cachoeira,130002,104242.843152,-0.02561218184253258,norte,0
Coari,130003,156942.81565,0.06962848286204859,norte,0
Manacapuru,130004,144349.73552,-0.0404595858459084,norte,0
Tefé,130005,182082.64676700003,-0.36306984567234507,norte,0
Tabatinga,130006,231873.164687,-0.1841556642906099,norte,0
Eirunepé,130007,101999.009491,-0.5834503608265084,norte,0
Lábrea,130008,130885.96567100001,-0.46444488264326017,norte,0
Manicoré,130009,161550.21102,-0.02561218184253258,norte,0
Parintins,130010,249841.37481000004,0.05606505931711492,norte,0
Itacoatiara,130011,173964.624469,0.047149319764072946,norte,0
Boa Vista,140001,473642.83966299996,-0.4477599929655413,norte,0
Pacaraima,140002,55863.802617,-0.5834503608265084,norte,0
Rorainópolis,140003,63088.226788,-0.5834503608265084,norte,0
Caracaraí,140004,38586.120428999995,-0.5834503608265084,norte,0
Belém,150001,2592933.5334,0.1418427668765903,norte,0
Cametá,150002,227778.21129,0.9041181164640936,norte,0
Abaetetuba,150003,439624.04368,-0.3355222812780747,norte,0
Castanhal,150004,518779.56397599995,0.09016555341829259,norte,0
Bragança,150005,313089.568425,0.3631841247220566,norte,0
Capanema,150006,191054.418786,-0.16831497181517752,norte,0
Paragominas,150007,410930.524905,-0.02561218184253258,norte,0
Capitão Poço,150008,107161.11330300002,-0.5834503608265084,norte,0
Marabá,150009,570348.4834569999,0.6267748410370323,norte,0
Parauapebas,150010,408077.52058,0.2621148788965708,norte,0
Tucuruí,150011,420204.09783,-0.2115582415038579,norte,0
Redenção,150012,279895.77273,-0.22643392627676387,norte,0
Tucumã - São Félix do Xingu,150013,295441.18707,-0.5834503608265084,norte,0
Xinguara,150014,89038.29791200001,-0.5834503608265084,norte,0
Santarém,150015,445651.83932,-0.0076174018753075905,norte,0
Itaituba,150016,251297.803402,-0.5834503608265084,norte,0
