imedreg,imedreg_codepopulacao,prevalencia_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,2.802864926922574,norte,1
Ariquemes,110002,244267.98213300004,0.4335130112752897,norte,1
Jaru,110003,120564.550067,0.37032749934560627,norte,0
Ji-Paraná,110004,304025.6776749999,-0.1495095253639806,norte,0
Cacoal,110005,302589.83598300006,-0.06662056248781925,norte,0
Vilhena,110006,165292.086385,0.14436005324282095,norte,0
Rio Branco,120001,504876.57074800006,0.9466823042500863,norte,1
Brasiléia,120002,72338.13942400001,1.6541625386688856,norte,0
Sena Madureira,120003,62990.199089999995,1.0851823845033701,norte,1
Cruzeiro do Sul,120004,163322.92484599998,1.099179207972212,norte,1
Tarauacá,120005,90942.145483,1.06302723374746,norte,0
Manaus,130001,2569981.538139,0.4807928208170941,norte,1
São Gabriel da Cachoeira,130002,104242.843152,5.516555915115319,norte,1
Coari,130003,156942.81565,3.7759722048058872,norte,1
Manacapuru,130004,144349.73552,1.775491434616915,norte,1
Tefé,130005,182082.64676700003,3.089278525217317,norte,1
Tabatinga,130006,231873.164687,1.798784251523849,norte,1
Eirunepé,130007,101999.009491,2.360916368126774,norte,1
Lábrea,130008,130885.96567100001,2.522500501692765,norte,1
Manicoré,130009,161550.21102,1.3128427814195192,norte,1
Parintins,130010,249841.37481000004,1.205877777926217,norte,1
Itacoatiara,130011,173964.624469,1.2251449448353504,norte,1
Boa Vista,140001,473642.83966299996,4.7231485594699105,norte,1
Pacaraima,140002,55863.802617,2.6273600044022314,norte,1
Rorainópolis,140003,63088.226788,3.2703363233987774,norte,1
Caracaraí,140004,38586.120428999995,0.9659769741102076,norte,1
Belém,150001,2592933.5334,0.39824315243140446,norte,0
Cametá,150002,227778.21129,1.627149003988274,norte,0
Abaetetuba,150003,439624.04368,0.23210526188862995,norte,0
Castanhal,150004,518779.56397599995,0.1102426779549201,norte,0
Bragança,150005,313089.568425,0.3872325194801367,norte,0
Capanema,150006,191054.418786,0.4208583973455159,norte,0
Paragominas,150007,410930.524905,0.10075063308419406,norte,0
Capitão Poço,150008,107161.11330300002,0.91509486424349,norte,0
Marabá,150009,570348.4834569999,0.324676599903301,norte,0
Parauapebas,150010,408077.52058,3.4320437967541797,norte,0
Tucuruí,150011,420204.09783,-0.5055134876218157,norte,0
Redenção,150012,279895.77273,0.2220871818685385,norte,0
Tucumã - São Félix do Xingu,150013,295441.18707,0.3494309503186097,norte,1
Xinguara,150014,89038.29791200001,1.5678037346602642,norte,1
Santarém,150015,445651.83932,0.4347054052060814,norte,1
Itaituba,150016,251297.803402,1.8283759926566736,norte,1
Oriximiná,150017,223524.79957299997,1.301165856466786,norte,1
Altamira,150018,262477.021438,1.7461367929447753,norte,0
Almeirim - Porto de Moz,150019,74686.83649,0.0982342843236609,norte,1
Breves,150020,411484.63013,0.534276251349342,norte,1
Soure-Salvaterra,150021,157265.792093,0.10154643159692024,norte,0
Macapá,160001,654457.36529,2.0994862012936255,norte,1
Laranjal do Jari,160002,67333.12171,6.414602106776563,norte,1
Oiapoque,160003,79858.085703,5.150364402869001,norte,1
Porto Grande,160004,60124.417104,5.822365063851993,norte,1
Palmas,170001,389665.86524799996,0.5329267989041441,norte,0
Porto Nacional,170002,104659.863133,0.29224831763616715,norte,0
Paraíso do Tocantins,170003,120386.17455700002,-0.1193238702867039,norte,0
Miracema do Tocantins,170004,45475.336239,0.23877372036705186,norte,0
Araguaína,170005,325628.103233,1.9238832077461392,norte,1
Guaraí,170006,86945.84316899999,0.036143133686821094,norte,0
Colinas do Tocantins,170007,65495.96647999999,0.5180318812605353,norte,0
Tocantinópolis,170008,49789.446823,1.096060572278145,norte,0
Araguatins,170009,137158.76029900002,0.5898571482150958,norte,1
Gurupi,170010,181173.013458,0.4465445314461435,norte,0
Dianópolis,170011,83869.633012,-0.764272070404513,norte,0
São Luís,210001,1676128.6191400003,-0.0955326117686299,nordeste,0
Pinheiro,210002,341442.109984,0.042467592103904,nordeste,0
Chapadinha,210003,277946.115811,1.2495621286944054,nordeste,0
Itapecuru Mirim,210004,298355.59337,-0.3392148367916191,nordeste,0
Viana,210005,257692.15209,-0.4605364318984915,nordeste,0
Barreirinhas,210006,133084.28007,-0.5242141386757073,nordeste,0
Tutóia - Araioses,210007,207214.69482999996,0.3656747970247365,nordeste,0
Cururupu,210008,122984.01033999998,0.13276277414077672,nordeste,0
Santa Inês,210009,451846.73544499994,1.9058812577143653,nordeste,0
Bacabal,210010,405800.035922,1.1140735450040538,nordeste,1
Governador Nunes Freire,210011,224565.45183500004,0.2487479750543984,nordeste,0
Pedreiras,210012,184672.964411,2.1885844008427404,nordeste,0
Caxias,210013,268928.562695,0.9362832006737596,nordeste,0
Timon,210014,258592.85308,-0.02794495999391149,nordeste,0
Codó,210015,228457.45221000002,0.07298197527884087,nordeste,1
Presidente Dutra,210016,237441.48151899996,0.8452691351636432,nordeste,1
São João dos Patos,210017,145805.764558,-0.16434665439886129,nordeste,0
Colinas,210018,80821.55705,0.8359391987385127,nordeste,0
Imperatriz,210019,532231.693353,0.5566503590295647,nordeste,1
Barra do Corda,210020,280148.643331,1.3816335831473696,nordeste,1
Açailândia,210021,270352.99432999996,1.2401016204356936,nordeste,0
Balsas,210022,230084.23996099998,1.1295135639479523,nordeste,1
Teresina,220001,1134373.896284,0.8591537391738564,nordeste,0
Amarante - Água Branca - Regeneração,220002,156289.00978199998,0.12513586370543991,nordeste,0
Campo Maior,220003,136084.484612,0.5580804087535143,nordeste,0
Valença do Piauí,220004,79823.38348399999,-0.1796658800202787,nordeste,0
Barras,220005,94902.30242899999,1.3594672439666349,nordeste,0
Parnaíba,220006,282098.81894,1.5022866875170409,nordeste,1
Piripiri,220007,174437.123889,-0.13761829196356457,nordeste,2
Esperantina,220008,146372.46837199997,1.4697358154350548,nordeste,1
Picos,220009,291225.751458,0.13104586751929537,nordeste,0
Paulistana,220010,79939.350837,-0.8125817171294789,nordeste,0
Oeiras,220011,68545.96854100001,0.3441458622974308,nordeste,0
Simplício Mendes,220012,41332.865334999995,-0.8138575461888051,nordeste,0
São Raimundo Nonato,220013,113098.98546299999,-0.11645231557334498,nordeste,0
São João do Piauí,220014,48436.09284500001,-0.6220615152341895,nordeste,0
