imedreg,imedreg_codepopulacao,prevalencia_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,2.2684468757084444,norte,0
Ariquemes,110002,244267.98213300004,0.15255410639651834,norte,0
Jaru,110003,120564.550067,-0.07662943302965096,norte,0
Ji-Paraná,110004,304025.6776749999,0.09934801774500344,norte,0
Cacoal,110005,302589.83598300006,-0.2741329096661888,norte,0
Vilhena,110006,165292.086385,-0.2882901168392381,norte,0
Rio Branco,120001,504876.57074800006,1.7928512113493982,norte,1
Brasiléia,120002,72338.13942400001,1.0389130396935493,norte,1
Sena Madureira,120003,62990.199089999995,1.0748744692475807,norte,1
Cruzeiro do Sul,120004,163322.92484599998,1.7598501002846354,norte,0
Tarauacá,120005,90942.145483,0.7469475694975387,norte,1
Manaus,130001,2569981.538139,1.4300162601564401,norte,1
São Gabriel da Cachoeira,130002,104242.843152,5.300668060546746,norte,1
Coari,130003,156942.81565,4.24155028170087,norte,1
Manacapuru,130004,144349.73552,3.909844997892252,norte,1
Tefé,130005,182082.64676700003,4.518094228749119,norte,1
Tabatinga,130006,231873.164687,3.485711299077428,norte,1
Eirunepé,130007,101999.009491,0.7393878995555943,norte,1
Lábrea,130008,130885.96567100001,1.6591244290972214,norte,1
Manicoré,130009,161550.21102,0.3520194606837408,norte,1
Parintins,130010,249841.37481000004,2.1053578980973393,norte,1
Itacoatiara,130011,173964.624469,2.198659456227055,norte,1
Boa Vista,140001,473642.83966299996,1.8345996665441047,norte,0
Pacaraima,140002,55863.802617,0.6822394515295761,norte,1
Rorainópolis,140003,63088.226788,1.6658064167816726,norte,1
Caracaraí,140004,38586.120428999995,-0.2682285261318238,norte,2
Belém,150001,2592933.5334,1.1972385413579776,norte,0
Cametá,150002,227778.21129,2.496434371581405,norte,0
Abaetetuba,150003,439624.04368,1.3383015301293546,norte,0
Castanhal,150004,518779.56397599995,0.9340752765695285,norte,0
Bragança,150005,313089.568425,1.2022816877206943,norte,0
Capanema,150006,191054.418786,1.2047105006528043,norte,0
Paragominas,150007,410930.524905,0.5143581314941943,norte,1
Capitão Poço,150008,107161.11330300002,1.0355633622632003,norte,1
Marabá,150009,570348.4834569999,0.5848931388908091,norte,1
Parauapebas,150010,408077.52058,4.06130825656856,norte,0
Tucuruí,150011,420204.09783,-0.02350252104518053,norte,2
Redenção,150012,279895.77273,-0.026152212523914677,norte,0
Tucumã - São Félix do Xingu,150013,295441.18707,0.1902572141714876,norte,1
Xinguara,150014,89038.29791200001,1.111197530220465,norte,1
Santarém,150015,445651.83932,0.48709351355130937,norte,0
Itaituba,150016,251297.803402,1.34805274087158,norte,1
Oriximiná,150017,223524.79957299997,0.14979719392548824,norte,0
Altamira,150018,262477.021438,1.29042662436206,norte,0
Almeirim - Porto de Moz,150019,74686.83649,0.238606271182016,norte,1
Breves,150020,411484.63013,0.7685472591136311,norte,1
Soure-Salvaterra,150021,157265.792093,0.4078336802665801,norte,0
Macapá,160001,654457.36529,2.88315342929727,norte,1
Laranjal do Jari,160002,67333.12171,7.880308207541333,norte,1
Oiapoque,160003,79858.085703,4.957995524025633,norte,1
Porto Grande,160004,60124.417104,8.122206627661072,norte,1
Palmas,170001,389665.86524799996,-0.09859290915884797,norte,0
Porto Nacional,170002,104659.863133,-0.35055671254989107,norte,0
Paraíso do Tocantins,170003,120386.17455700002,-0.3082744458846467,norte,0
Miracema do Tocantins,170004,45475.336239,-0.46870905487859915,norte,0
Araguaína,170005,325628.103233,1.658157148374483,norte,0
Guaraí,170006,86945.84316899999,-0.28143745452816693,norte,0
Colinas do Tocantins,170007,65495.96647999999,-0.06820419210344966,norte,0
Tocantinópolis,170008,49789.446823,0.919123627626218,norte,1
Araguatins,170009,137158.76029900002,0.5189066819962725,norte,1
Gurupi,170010,181173.013458,-0.3583014898649197,norte,0
Dianópolis,170011,83869.633012,-0.672913372528082,norte,0
São Luís,210001,1676128.6191400003,0.8749404751104409,nordeste,0
Pinheiro,210002,341442.109984,0.6527947838530777,nordeste,1
Chapadinha,210003,277946.115811,2.0989468505697633,nordeste,0
Itapecuru Mirim,210004,298355.59337,0.3160455765230022,nordeste,1
Viana,210005,257692.15209,0.19879659578450748,nordeste,1
Barreirinhas,210006,133084.28007,-0.11261810067810381,nordeste,2
Tutóia - Araioses,210007,207214.69482999996,0.7018064058594817,nordeste,0
Cururupu,210008,122984.01033999998,0.9530299587738966,nordeste,0
Santa Inês,210009,451846.73544499994,2.768721361841764,nordeste,1
Bacabal,210010,405800.035922,1.4955762276907496,nordeste,1
Governador Nunes Freire,210011,224565.45183500004,0.9020182735695601,nordeste,1
Pedreiras,210012,184672.964411,3.1518308667822685,nordeste,1
Caxias,210013,268928.562695,0.5944542716180224,nordeste,1
Timon,210014,258592.85308,0.09926276484029709,nordeste,0
Codó,210015,228457.45221000002,1.2985901538645606,nordeste,1
Presidente Dutra,210016,237441.48151899996,0.6976265643026293,nordeste,1
São João dos Patos,210017,145805.764558,-0.350230808028493,nordeste,0
Colinas,210018,80821.55705,0.23104062309330742,nordeste,0
Imperatriz,210019,532231.693353,1.4108563408621104,nordeste,1
Barra do Corda,210020,280148.643331,1.042848999137268,nordeste,1
