imedreg,imedreg_codepopulacao,incidencia_normalizada,regiao,cluster
Bom Jesus,220016,77915.88872199999,-0.3177327772899906,nordeste,0
Floriano,220017,124347.35358400001,-0.3526050503879626,nordeste,0
Uruçuí,220018,61936.30414100001,-0.10276225666156302,nordeste,0
Canto do Buriti,220019,49014.573814,-0.5440412498103032,nordeste,0
Fortaleza,230001,4212262.35793,0.7281199010506065,nordeste,1
Itapipoca,230002,311590.29093,1.0518086240637654,nordeste,1
Redenção-Acarape,230003,229672.19836,1.1987455900842667,nordeste,0
Canindé,230004,204751.35333000004,0.924291361174158,nordeste,1
Itapagé,230005,156725.52479,1.053585978761354,nordeste,1
Quixadá,230006,333010.95934999996,0.5864473705880585,nordeste,0
Russas - Limoeiro do Norte,230007,385634.97420500003,0.5579229113344648,nordeste,0
Aracati,230008,152228.60224,0.8806990005629185,nordeste,0
Iguatu,230009,330687.50607,-0.32275361248503787,nordeste,0
Icó,230010,110782.59877,-0.25753915721158455,nordeste,0
Juazeiro do Norte,230011,851305.5297979999,-0.24681080689166324,nordeste,0
Brejo Santo,230012,188837.72431,-0.361956868307464,nordeste,0
Crateús,230013,247029.53571999999,-0.015827527282951177,nordeste,0
Tauá,230014,92350.27985,0.2865318917995361,nordeste,0
Sobral,230015,613519.6217039999,1.8960500434619163,nordeste,1
São Benedito - Ipu - Guaraciaba do Norte - Tianguá,230016,406972.32661999995,0.19468978808249857,nordeste,0
Acaraú,230017,216118.57382999998,2.0464282226357633,nordeste,1
Camocim,230018,144405.99371,1.5073613629656806,nordeste,1
Natal,240001,1743859.074166,0.3862164723372128,nordeste,0
Santo Antônio - Passa e Fica - Nova Cruz,240002,142754.64600200002,-0.24759372243820332,nordeste,0
Canguaretama,240003,139853.969338,-0.3107901106854831,nordeste,0
Santa Cruz,240004,99814.195614,-0.2638693688194577,nordeste,0
João Câmara,240005,73448.84682600001,-0.2707863861044704,nordeste,0
São Paulo do Potengi,240006,66820.48851699999,0.10248070887409613,nordeste,0
Caicó,240007,177541.72769499998,-0.3056789088688382,nordeste,0
Currais Novos,240008,112075.386137,-0.4260423762205392,nordeste,0
Mossoró,240009,506065.532053,0.3427223750817503,nordeste,0
Pau dos Ferros,240010,232247.75273900005,-0.4204069321250565,nordeste,0
Açu,240011,239683.381827,0.05185950718574276,nordeste,0
João Pessoa,250001,1452524.6672960005,1.1178659667299795,nordeste,0
Guarabira,250002,314765.34578200005,0.6092808264916371,nordeste,0
Mamanguape - Rio Tinto,250003,148357.802504,0.6385632601518023,nordeste,0
Itabaiana,250004,63753.31175000001,1.6132992422553514,nordeste,0
Campina Grande,250005,931376.7193609999,0.6610116850345904,nordeste,0
Cuité - Nova Floresta,250006,93945.32509700001,-0.30003833144697084,nordeste,0
Monteiro,250007,56261.812517000006,-0.44255875288767477,nordeste,0
Sumé,250008,50438.907963000005,-0.2818474423828105,nordeste,0
Patos,250009,265946.903487,0.2946892372205232,nordeste,0
Itaporanga,250010,122107.57574800002,-0.46212930813317926,nordeste,0
Catolé do Rocha - São Bento,250011,118344.00627,0.16369947156740428,nordeste,0
Pombal,250012,65066.772294999995,0.19387354780312271,nordeste,0
Princesa Isabel,250013,62855.512667999996,-0.4458548099159003,nordeste,0
Sousa,250014,139757.42990999998,-0.009052996654544085,nordeste,0
Cajazeiras,250015,153774.930903,-0.275662065182202,nordeste,0
Recife,260001,4016539.695079,0.37107586568532486,nordeste,0
Goiana – Timbaúba,260002,340065.78466000006,0.5733652118405865,nordeste,0
Palmares,260003,260124.782594,0.5202114588267688,nordeste,0
Limoeiro,260004,226373.37741000002,0.18036875573182207,nordeste,0
Vitória de Santo Antão,260005,207936.9037,0.23187770853238085,nordeste,0
Carpina,260006,183777.09359,-0.13626268490069757,nordeste,0
Barreiros - Sirinhaém,260007,161275.69727,0.2814355377942589,nordeste,0
Surubim,260008,138827.15985,-0.17569996295913698,nordeste,0
Caruaru,260009,1143502.4863800001,-0.26108076080234494,nordeste,0
Garanhuns,260010,559153.8110999998,-0.24761039506164706,nordeste,0
Arcoverde,260011,381987.26514,-0.3316993057031637,nordeste,0
Belo Jardim – Pesqueira,260012,270946.71656000003,-0.332533487497341,nordeste,0
Serra Talhada,260013,331597.202674,-0.34994870767984515,nordeste,3
Afogados da Ingazeira,260014,187106.129848,-0.3838319406908895,nordeste,0
Petrolina,260015,512192.2046,-0.4252695497890067,nordeste,0
Araripina,260016,336838.86040999996,-0.4000827386523038,nordeste,0
Salgueiro,260017,193058.36722900002,-0.4618395643130855,nordeste,0
Escada - Ribeirão,260018,165768.42274599997,-0.022821195946918164,nordeste,0
Maceió,270001,1328339.1964320005,0.7966822692421243,nordeste,0
Porto Calvo - São Luís do Quitunde,270002,213220.69570800004,0.44834041576045874,nordeste,0
Penedo,270003,195167.849766,-0.09681862771729192,nordeste,0
São Miguel dos Campos,270004,186218.698957,0.27029169527147484,nordeste,0
União dos Palmares,270005,151747.64067900003,-0.09086253702721363,nordeste,0
Atalaia,270006,121125.36878599998,0.9335617765041306,nordeste,0
Arapiraca,270007,565424.86768,0.29796574843226614,nordeste,0
Palmeira dos Índios,270008,169330.76583999998,-0.11188672344172017,nordeste,0
Delmiro Gouveia,270009,158439.567114,-0.4551578734353114,nordeste,0
Santana do Ipanema,270010,143255.25791,-0.1563135533904505,nordeste,0
Pão de Açúcar - Olho d'Água das Flores – Batalha,270011,118822.074752,-0.07658576003363383,nordeste,0
Aracaju,280001,1237324.106538,0.33381636339197474,nordeste,0
Estância,280002,243854.606175,-0.08487537493367589,nordeste,0
Propriá,280003,158147.453095,-0.282022420362613,nordeste,0
Itabaiana,280004,249607.545829,-0.2014227017195362,nordeste,0
Lagarto,280005,254692.5906,-0.3121120988182528,nordeste,0
Nossa Senhora da Glória,280006,175405.68509699998,-0.02130030267204959,nordeste,0
Salvador,290001,4084138.4268900002,0.12473032573425256,nordeste,0
Alagoinhas,290002,511144.4709700001,-0.44580577221315787,nordeste,0
Santo Antônio de Jesus,290003,291368.26246600004,-0.4260311414190286,nordeste,0
Cruz das Almas,290004,284419.79349999997,-0.460346003127878,nordeste,0
Valença,290005,260522.68494999997,-0.4391321900255859,nordeste,0
Nazaré – Maragogipe,290006,185483.24923000002,-0.3729236610097523,nordeste,0
Ilhéus – Itabuna,290007,630044.88406,-0.2991555609987765,nordeste,3
Teixeira de Freitas,290008,463055.64130400005,-0.35364268656115977,nordeste,0
Eunápolis - Porto Seguro,290009,398006.10543,-0.33581524536086493,nordeste,0
Camacan,290010,128377.17958,-0.42729096797273036,nordeste,0
Vitória da Conquista,290011,807168.5889399999,-0.5209434182556647,nordeste,0
Jequié,290012,335632.69826100004,-0.16840402837847257,nordeste,0
Brumado,290013,223982.71154999998,-0.48893379107922363,nordeste,3
Ipiaú,290014,218504.67817,-0.3705392190746392,nordeste,0
Itapetinga,290015,155342.98423,-0.46458405324362867,nordeste,0
Guanambi,290016,466837.04169399996,-0.48927291510030846,nordeste,3
Bom Jesus da Lapa,290017,234019.08669999999,-0.5176692170687172,nordeste,3
Barreiras,290018,558661.119109,-0.47633812462459973,nordeste,3
Santa Maria da Vitoria,290019,132909.28577999998,-0.529800894754055,nordeste,3
Irecê,290020,403244.60797899996,-0.5284569515713086,nordeste,3
Xique-Xique – Barra,290021,217720.62055999998,-0.49949717243255426,nordeste,3
Juazeiro,290022,519402.68434,-0.47784136045262315,nordeste,3
Senhor do Bonfim,290023,292848.60513000004,-0.4612256562278728,nordeste,0
Paulo Afonso,290024,196770.343708,-0.4678708695841069,nordeste,0
Ribeira do Pombal,290025,192354.02113,-0.635710899647368,nordeste,3
Euclides da Cunha,290026,184569.18926000004,-0.50582679845483,nordeste,3
Cícero Dantas,290027,127117.44118,-0.5162983600887112,nordeste,0
Jeremoabo,290028,96341.81287,-0.4799822619964022,nordeste,0
Feira de Santana,290029,1235784.0604499998,-0.4049214742126586,nordeste,3
Jacobina,290030,318908.05842,-0.4196345221770343,nordeste,3
Itaberaba,290031,217208.981881,-0.48315624769492493,nordeste,3
Conceição do Coité,290032,192721.90131999998,-0.3656266534417393,nordeste,3
Serrinha,290033,188895.1299,-0.4086863183832396,nordeste,3
Seabra,290034,176917.79693,-0.549417598695557,nordeste,3
Belo Horizonte,310001,5302661.613623001,-0.42570016492155566,sudeste,0
Sete Lagoas,310002,414784.14420100005,-0.49940435298414737,sudeste,0
Santa Bárbara - Ouro Preto,310003,259941.603071,0.06646984183784642,sudeste,0
Curvelo,310004,184938.06675999996,-0.4057901703951548,sudeste,3
Itabira,310005,156708.129292,0.40676499336202543,sudeste,0
Montes Claros,310006,772503.515917,-0.5029547748400852,sudeste,3
Janaúba,310007,222460.21700499998,-0.42514566030355905,sudeste,3
Salinas,310008,192580.832348,-0.5394631654945509,sudeste,3
Januária,310009,150628.74508,-0.4913629805425877,sudeste,3
Pirapora,310010,147491.22293500003,-0.4304658509471862,sudeste,3
São Francisco,310011,116369.90954,-0.5364649674915147,sudeste,0
Espinosa,310012,95914.98229,-0.5072732176619474,sudeste,0
Teófilo Otoni,310013,490239.30398100003,-0.35913598413594267,sudeste,3
Capelinha,310014,178218.62567,-0.5440412498103032,sudeste,3
Almenara,310015,169968.86164000002,-0.4869827740672744,sudeste,0
Diamantina,310016,125470.937976,-0.5229610386719542,sudeste,3
Araçuaí,310017,108053.927453,-0.5277225225068387,sudeste,3
Pedra Azul,310018,92450.358212,-0.448676417792542,sudeste,3
Águas Formosas,310019,50874.08342899999,-0.5267111825410352,sudeste,0
