imedreg,imedreg_codepopulacao,incidencia_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,2.039767117936557,norte,0
Ariquemes,110002,244267.98213300004,0.353434623620403,norte,0
Jaru,110003,120564.550067,0.09195232840528678,norte,0
Ji-Paraná,110004,304025.6776749999,0.3018435518828451,norte,0
Cacoal,110005,302589.83598300006,-0.15329470129617184,norte,0
Vilhena,110006,165292.086385,-0.30643258941458,norte,0
Rio Branco,120001,504876.57074800006,0.434355076864303,norte,1
Brasiléia,120002,72338.13942400001,1.5939606275795017,norte,0
Sena Madureira,120003,62990.199089999995,0.5725878516510591,norte,1
Cruzeiro do Sul,120004,163322.92484599998,1.4733872280002502,norte,0
Tarauacá,120005,90942.145483,0.9632247058016018,norte,0
Manaus,130001,2569981.538139,0.5326566614758694,norte,1
São Gabriel da Cachoeira,130002,104242.843152,5.356151121330623,norte,1
Coari,130003,156942.81565,1.448826090483863,norte,1
Manacapuru,130004,144349.73552,1.9319005689923845,norte,1
Tefé,130005,182082.64676700003,4.308032969512995,norte,1
Tabatinga,130006,231873.164687,2.507419485571822,norte,1
Eirunepé,130007,101999.009491,-0.30145078692488597,norte,2
Lábrea,130008,130885.96567100001,1.2100983482783416,norte,1
Manicoré,130009,161550.21102,0.1044109376553743,norte,0
Parintins,130010,249841.37481000004,1.228442969439821,norte,1
Itacoatiara,130011,173964.624469,1.3211065775140385,norte,0
Boa Vista,140001,473642.83966299996,2.5853711502698333,norte,0
Pacaraima,140002,55863.802617,1.0617854399116953,norte,1
Rorainópolis,140003,63088.226788,1.1012890085600557,norte,1
Caracaraí,140004,38586.120428999995,-0.07896577442134001,norte,2
Belém,150001,2592933.5334,0.7201177447913271,norte,0
Cametá,150002,227778.21129,1.757196571384912,norte,0
Abaetetuba,150003,439624.04368,1.0602568528064205,norte,0
Castanhal,150004,518779.56397599995,0.9224427674810896,norte,1
Bragança,150005,313089.568425,1.1826922603260681,norte,0
Capanema,150006,191054.418786,1.2244866015598737,norte,1
Paragominas,150007,410930.524905,0.8617128333810119,norte,1
Capitão Poço,150008,107161.11330300002,1.1091175711181347,norte,1
Marabá,150009,570348.4834569999,0.4300179497018268,norte,1
Parauapebas,150010,408077.52058,4.630275878012694,norte,0
Tucuruí,150011,420204.09783,-0.04498157037201556,norte,2
Redenção,150012,279895.77273,0.037272623886819886,norte,0
Tucumã - São Félix do Xingu,150013,295441.18707,0.4881893803656592,norte,1
Xinguara,150014,89038.29791200001,1.604173893910543,norte,1
Santarém,150015,445651.83932,0.6543958776821083,norte,1
Itaituba,150016,251297.803402,2.030588561712304,norte,1
Oriximiná,150017,223524.79957299997,0.754101339928438,norte,0
Altamira,150018,262477.021438,1.3621490257982352,norte,0
Almeirim - Porto de Moz,150019,74686.83649,0.7776457400360127,norte,1
Breves,150020,411484.63013,0.5760728495938824,norte,1
Soure-Salvaterra,150021,157265.792093,0.5168678466098944,norte,0
Macapá,160001,654457.36529,1.2257580056043642,norte,1
Laranjal do Jari,160002,67333.12171,6.499521778444302,norte,1
Oiapoque,160003,79858.085703,6.243783869247137,norte,1
Porto Grande,160004,60124.417104,11.691633915804852,norte,1
Palmas,170001,389665.86524799996,-0.17227700981041363,norte,0
Porto Nacional,170002,104659.863133,-0.28476520398514626,norte,0
Paraíso do Tocantins,170003,120386.17455700002,-0.16364693347463125,norte,0
Miracema do Tocantins,170004,45475.336239,-0.34855861207745786,norte,0
Araguaína,170005,325628.103233,1.5115349074998052,norte,0
Guaraí,170006,86945.84316899999,-0.1685837773717774,norte,0
Colinas do Tocantins,170007,65495.96647999999,0.09481998785109476,norte,0
Tocantinópolis,170008,49789.446823,1.1109481232078526,norte,1
Araguatins,170009,137158.76029900002,0.332065773709159,norte,1
Gurupi,170010,181173.013458,-0.3711818508687469,norte,0
Dianópolis,170011,83869.633012,-0.612772969828975,norte,0
São Luís,210001,1676128.6191400003,0.21364639687791373,nordeste,1
Pinheiro,210002,341442.109984,0.8300036903137158,nordeste,1
Chapadinha,210003,277946.115811,2.5243922810761337,nordeste,0
Itapecuru Mirim,210004,298355.59337,0.16389228578472953,nordeste,1
Viana,210005,257692.15209,-0.006630809168882208,nordeste,2
Barreirinhas,210006,133084.28007,-0.12911449611048373,nordeste,2
Tutóia - Araioses,210007,207214.69482999996,0.8119885897133395,nordeste,0
Cururupu,210008,122984.01033999998,1.3341996756350047,nordeste,0
Santa Inês,210009,451846.73544499994,2.2325067063237594,nordeste,1
Bacabal,210010,405800.035922,1.559241227534654,nordeste,1
Governador Nunes Freire,210011,224565.45183500004,0.6407583739905439,nordeste,1
Pedreiras,210012,184672.964411,3.174778866907434,nordeste,1
Caxias,210013,268928.562695,1.0052151401571332,nordeste,1
Timon,210014,258592.85308,0.14392510045446266,nordeste,0
Codó,210015,228457.45221000002,1.3444337192444544,nordeste,1
Presidente Dutra,210016,237441.48151899996,0.6378425176603191,nordeste,1
São João dos Patos,210017,145805.764558,-0.4185307902644672,nordeste,0
Colinas,210018,80821.55705,0.3853980066045226,nordeste,0
Imperatriz,210019,532231.693353,1.3028939751553095,nordeste,1
Barra do Corda,210020,280148.643331,0.8944617035238883,nordeste,1
Açailândia,210021,270352.99432999996,3.6473842709694777,nordeste,1
Balsas,210022,230084.23996099998,0.0623703893264284,nordeste,0
Teresina,220001,1134373.896284,0.3109967810114646,nordeste,0
Amarante - Água Branca - Regeneração,220002,156289.00978199998,-0.2997683747079481,nordeste,0
Campo Maior,220003,136084.484612,0.011581002225190496,nordeste,0
Valença do Piauí,220004,79823.38348399999,-0.37623718908671294,nordeste,0
Barras,220005,94902.30242899999,0.4543379289935772,nordeste,0
Parnaíba,220006,282098.81894,0.9479304946962427,nordeste,0
Piripiri,220007,174437.123889,-0.22901272503061987,nordeste,0
Esperantina,220008,146372.46837199997,0.07323752903854128,nordeste,1
Picos,220009,291225.751458,-0.30628893110449923,nordeste,0
Paulistana,220010,79939.350837,-0.3765803295812911,nordeste,0
Oeiras,220011,68545.96854100001,-0.2997599599970896,nordeste,0
Simplício Mendes,220012,41332.865334999995,-0.5504812905535242,nordeste,0
São Raimundo Nonato,220013,113098.98546299999,-0.4464495277276153,nordeste,0
São João do Piauí,220014,48436.09284500001,-0.13436439147806872,nordeste,3
Corrente,220015,120522.36767299999,-0.5130799668627432,nordeste,0
Bom Jesus,220016,77915.88872199999,-0.37044644768348933,nordeste,0
Floriano,220017,124347.35358400001,-0.5230484582945143,nordeste,0
Uruçuí,220018,61936.30414100001,0.30176753734563083,nordeste,0
Canto do Buriti,220019,49014.573814,-0.5252243970053887,nordeste,0
Fortaleza,230001,4212262.35793,0.9854098918226801,nordeste,1
Itapipoca,230002,311590.29093,1.2078576394243354,nordeste,1
Redenção-Acarape,230003,229672.19836,0.8557759569772369,nordeste,0
Canindé,230004,204751.35333000004,1.017750737102285,nordeste,1
Itapagé,230005,156725.52479,1.2654998958291142,nordeste,1
Quixadá,230006,333010.95934999996,0.5418063779617714,nordeste,0
Russas - Limoeiro do Norte,230007,385634.97420500003,0.8404794816445529,nordeste,0
Aracati,230008,152228.60224,1.0052695656274317,nordeste,0
Iguatu,230009,330687.50607,-0.18195421772615425,nordeste,0
Icó,230010,110782.59877,-0.16344780524224858,nordeste,0
Juazeiro do Norte,230011,851305.5297979999,-0.1500388448504793,nordeste,0
Brejo Santo,230012,188837.72431,-0.2719123710806356,nordeste,0
Crateús,230013,247029.53571999999,-0.09164225088904437,nordeste,0
Tauá,230014,92350.27985,0.5581723808178981,nordeste,0
Sobral,230015,613519.6217039999,1.5708554767842964,nordeste,1
São Benedito - Ipu - Guaraciaba do Norte - Tianguá,230016,406972.32661999995,0.30667235215958905,nordeste,0
Acaraú,230017,216118.57382999998,3.0565350955047035,nordeste,1
Camocim,230018,144405.99371,1.6515796214597964,nordeste,1
Natal,240001,1743859.074166,0.0024080457333451846,nordeste,0
Santo Antônio - Passa e Fica - Nova Cruz,240002,142754.64600200002,-0.4684866064445065,nordeste,0
Canguaretama,240003,139853.969338,-0.40412776057297084,nordeste,0
Santa Cruz,240004,99814.195614,-0.3127706024082119,nordeste,0
João Câmara,240005,73448.84682600001,-0.1291436051838894,nordeste,0
São Paulo do Potengi,240006,66820.48851699999,-0.21461414613139188,nordeste,0
Caicó,240007,177541.72769499998,-0.3227348335091236,nordeste,0
Currais Novos,240008,112075.386137,-0.49025098150296575,nordeste,0
Mossoró,240009,506065.532053,0.053711584158546405,nordeste,0
Pau dos Ferros,240010,232247.75273900005,-0.5488369745219404,nordeste,0
Açu,240011,239683.381827,-0.10431539949492159,nordeste,0
João Pessoa,250001,1452524.6672960005,1.4599457294417268,nordeste,0
Guarabira,250002,314765.34578200005,1.1240550508263383,nordeste,0
Mamanguape - Rio Tinto,250003,148357.802504,0.717748054189234,nordeste,1
Itabaiana,250004,63753.31175000001,1.2718721455554318,nordeste,0
Campina Grande,250005,931376.7193609999,0.8007545844056448,nordeste,0
Cuité - Nova Floresta,250006,93945.32509700001,0.18200967700756934,nordeste,0
Monteiro,250007,56261.812517000006,-0.38395936822262333,nordeste,0
Sumé,250008,50438.907963000005,-0.255452483229555,nordeste,0
Patos,250009,265946.903487,0.4489354392894707,nordeste,0
Itaporanga,250010,122107.57574800002,-0.44605215564533623,nordeste,0
Catolé do Rocha - São Bento,250011,118344.00627,0.5040356333511485,nordeste,0
Pombal,250012,65066.772294999995,0.02265767900177599,nordeste,0
Princesa Isabel,250013,62855.512667999996,-0.4762326473392764,nordeste,0
Sousa,250014,139757.42990999998,0.09956711051925184,nordeste,0
Cajazeiras,250015,153774.930903,-0.16746048943503905,nordeste,0
Recife,260001,4016539.695079,0.059873639751028225,nordeste,0
Goiana – Timbaúba,260002,340065.78466000006,0.15443824533973463,nordeste,0
Palmares,260003,260124.782594,0.7432417030030356,nordeste,0
Limoeiro,260004,226373.37741000002,0.08481144603173381,nordeste,0
Vitória de Santo Antão,260005,207936.9037,-0.14225352514916922,nordeste,0
Carpina,260006,183777.09359,-0.25785620791146036,nordeste,0
Barreiros - Sirinhaém,260007,161275.69727,0.08434562094074974,nordeste,0
Surubim,260008,138827.15985,-0.21094217630909756,nordeste,0
Caruaru,260009,1143502.4863800001,-0.1842212007504808,nordeste,0
Garanhuns,260010,559153.8110999998,-0.27663534828254666,nordeste,0
Arcoverde,260011,381987.26514,-0.4105651614058658,nordeste,0
Belo Jardim – Pesqueira,260012,270946.71656000003,-0.19149180189506104,nordeste,0
Serra Talhada,260013,331597.202674,-0.3332501978394892,nordeste,3
Afogados da Ingazeira,260014,187106.129848,-0.3192133913573182,nordeste,0
Petrolina,260015,512192.2046,-0.4854270821216187,nordeste,0
Araripina,260016,336838.86040999996,-0.3860100113047438,nordeste,0
Salgueiro,260017,193058.36722900002,-0.41717319754372867,nordeste,0
Escada - Ribeirão,260018,165768.42274599997,-0.18823519002893513,nordeste,0
Maceió,270001,1328339.1964320005,1.5232118335139497,nordeste,0
