imedreg,imedreg_codepopulacao,prevalencia_normalizada,regiao,cluster
Corrente,220015,120522.36767299999,-1.1254528933575227,nordeste,0
Bom Jesus,220016,77915.88872199999,-0.26516618756514937,nordeste,0
Floriano,220017,124347.35358400001,0.41873137988015635,nordeste,0
Uruçuí,220018,61936.30414100001,2.045673956086842,nordeste,0
Canto do Buriti,220019,49014.573814,-1.0974225145363752,nordeste,0
Fortaleza,230001,4212262.35793,-0.2793935868045632,nordeste,0
Itapipoca,230002,311590.29093,-1.002738024181631,nordeste,0
Redenção-Acarape,230003,229672.19836,-0.2575052161227823,nordeste,0
Canindé,230004,204751.35333000004,-0.7737968553851073,nordeste,0
Itapagé,230005,156725.52479,-0.9644134791254607,nordeste,0
Quixadá,230006,333010.95934999996,-0.5516179695218553,nordeste,0
Russas - Limoeiro do Norte,230007,385634.97420500003,0.42697867923075955,nordeste,0
Aracati,230008,152228.60224,-0.267057019963668,nordeste,0
Iguatu,230009,330687.50607,-0.184912654304987,nordeste,0
Icó,230010,110782.59877,-0.012957470656970973,nordeste,0
Juazeiro do Norte,230011,851305.5297979999,-0.040514267763330954,nordeste,0
Brejo Santo,230012,188837.72431,-0.19785688828343384,nordeste,0
Crateús,230013,247029.53571999999,0.12154365791864988,nordeste,0
Tauá,230014,92350.27985,0.19941224215796508,nordeste,0
Sobral,230015,613519.6217039999,0.4623653803177684,nordeste,0
São Benedito - Ipu - Guaraciaba do Norte - Tianguá,230016,406972.32661999995,-0.2206871086507503,nordeste,0
Acaraú,230017,216118.57382999998,-0.06619672399855818,nordeste,0
Camocim,230018,144405.99371,-0.4682928718623033,nordeste,0
Natal,240001,1743859.074166,-0.7954064393476133,nordeste,3
Santo Antônio - Passa e Fica - Nova Cruz,240002,142754.64600200002,-1.3890476498611652,nordeste,0
Canguaretama,240003,139853.969338,-1.3049613138286158,nordeste,0
Santa Cruz,240004,99814.195614,-1.033204744523494,nordeste,0
João Câmara,240005,73448.84682600001,-1.2251199345477222,nordeste,0
São Paulo do Potengi,240006,66820.48851699999,-1.218932573911636,nordeste,0
Caicó,240007,177541.72769499998,0.5442278565099424,nordeste,0
Currais Novos,240008,112075.386137,-1.0337632078475913,nordeste,0
Mossoró,240009,506065.532053,-0.4786759626052682,nordeste,0
Pau dos Ferros,240010,232247.75273900005,-0.4184960615252183,nordeste,0
Açu,240011,239683.381827,-0.940042748623138,nordeste,0
João Pessoa,250001,1452524.6672960005,0.449353732881389,nordeste,0
Guarabira,250002,314765.34578200005,0.27265923535616354,nordeste,0
Mamanguape - Rio Tinto,250003,148357.802504,0.42441734451069957,nordeste,0
Itabaiana,250004,63753.31175000001,-0.012990035486117402,nordeste,0
Campina Grande,250005,931376.7193609999,-0.30479884485925257,nordeste,0
Cuité - Nova Floresta,250006,93945.32509700001,-0.43598630146735057,nordeste,0
Monteiro,250007,56261.812517000006,-0.1909215268278773,nordeste,0
Sumé,250008,50438.907963000005,0.1356269550039026,nordeste,0
Patos,250009,265946.903487,0.08374821569247079,nordeste,0
Itaporanga,250010,122107.57574800002,-0.44311175967731437,nordeste,0
Catolé do Rocha - São Bento,250011,118344.00627,1.1769333912463829,nordeste,0
Pombal,250012,65066.772294999995,0.2663184835502195,nordeste,0
Princesa Isabel,250013,62855.512667999996,-0.5125847414066597,nordeste,0
Sousa,250014,139757.42990999998,0.09793222428316789,nordeste,0
Cajazeiras,250015,153774.930903,0.2761322378264453,nordeste,0
Recife,260001,4016539.695079,-0.8979208960650188,nordeste,3
Goiana – Timbaúba,260002,340065.78466000006,-1.0251855777524783,nordeste,0
Palmares,260003,260124.782594,-1.2849252735352301,nordeste,3
Limoeiro,260004,226373.37741000002,-1.2978590370443508,nordeste,3
Vitória de Santo Antão,260005,207936.9037,-1.3198739878815284,nordeste,3
Carpina,260006,183777.09359,-1.5767176985822673,nordeste,3
Barreiros - Sirinhaém,260007,161275.69727,-1.5761290155179213,nordeste,3
Surubim,260008,138827.15985,-1.2527973037479043,nordeste,3
Caruaru,260009,1143502.4863800001,-0.9468076526844944,nordeste,3
Garanhuns,260010,559153.8110999998,-1.0289113129368699,nordeste,3
Arcoverde,260011,381987.26514,-1.1470765227434587,nordeste,3
Belo Jardim – Pesqueira,260012,270946.71656000003,-1.2004160406186253,nordeste,3
Serra Talhada,260013,331597.202674,-0.4211224739526772,nordeste,3
Afogados da Ingazeira,260014,187106.129848,-0.0264618082717727,nordeste,0
Petrolina,260015,512192.2046,-0.585372648182118,nordeste,0
Araripina,260016,336838.86040999996,-0.8402896960035108,nordeste,0
Salgueiro,260017,193058.36722900002,-0.3092200579115834,nordeste,3
Escada - Ribeirão,260018,165768.42274599997,-1.9261981551429976,nordeste,3
Maceió,270001,1328339.1964320005,-0.21477393299728562,nordeste,3
Porto Calvo - São Luís do Quitunde,270002,213220.69570800004,-1.218367376023857,nordeste,3
Penedo,270003,195167.849766,-0.8199826857421093,nordeste,0
São Miguel dos Campos,270004,186218.698957,-0.6373404092703728,nordeste,0
União dos Palmares,270005,151747.64067900003,-1.174585838390575,nordeste,3
Atalaia,270006,121125.36878599998,-1.3307802288980406,nordeste,0
Arapiraca,270007,565424.86768,-0.3032493292812053,nordeste,3
Palmeira dos Índios,270008,169330.76583999998,-1.0047482947194397,nordeste,0
Delmiro Gouveia,270009,158439.567114,-1.3063113179015857,nordeste,3
Santana do Ipanema,270010,143255.25791,-0.9568185262238919,nordeste,3
Pão de Açúcar - Olho d'Água das Flores – Batalha,270011,118822.074752,-0.6107695058756214,nordeste,3
Aracaju,280001,1237324.106538,1.370908006695965,nordeste,0
Estância,280002,243854.606175,-0.4401222069898699,nordeste,0
Propriá,280003,158147.453095,-0.36751057924105596,nordeste,0
Itabaiana,280004,249607.545829,0.26742340777736134,nordeste,0
Lagarto,280005,254692.5906,-0.4828303386081409,nordeste,0
Nossa Senhora da Glória,280006,175405.68509699998,-1.035706367987906,nordeste,0
Salvador,290001,4084138.4268900002,-0.05504509475906179,nordeste,0
Alagoinhas,290002,511144.4709700001,-0.8266638640905598,nordeste,0
Santo Antônio de Jesus,290003,291368.26246600004,-0.02286187033486525,nordeste,0
Cruz das Almas,290004,284419.79349999997,-0.2872339464842984,nordeste,0
Valença,290005,260522.68494999997,-0.3128094528147084,nordeste,0
Nazaré – Maragogipe,290006,185483.24923000002,-0.8767888047117637,nordeste,0
Ilhéus – Itabuna,290007,630044.88406,1.5031650324554306,nordeste,0
Teixeira de Freitas,290008,463055.64130400005,0.10739809706440108,nordeste,0
Eunápolis - Porto Seguro,290009,398006.10543,-0.3161952970324884,nordeste,0
Camacan,290010,128377.17958,-0.1989047101178041,nordeste,0
Vitória da Conquista,290011,807168.5889399999,-0.2230859084770816,nordeste,0
Jequié,290012,335632.69826100004,0.6823625426417712,nordeste,0
Brumado,290013,223982.71154999998,-0.4659121368244417,nordeste,3
Ipiaú,290014,218504.67817,0.4200415761641022,nordeste,0
Itapetinga,290015,155342.98423,0.0460719555526038,nordeste,0
Guanambi,290016,466837.04169399996,-1.193036802655894,nordeste,3
Bom Jesus da Lapa,290017,234019.08669999999,-1.4210775201553154,nordeste,3
Barreiras,290018,558661.119109,-0.6967832934354398,nordeste,3
Santa Maria da Vitoria,290019,132909.28577999998,-0.9027223058872318,nordeste,3
Irecê,290020,403244.60797899996,-0.39493231397649115,nordeste,3
Xique-Xique – Barra,290021,217720.62055999998,-1.3675957388624667,nordeste,3
Juazeiro,290022,519402.68434,-0.8999237155871328,nordeste,3
Senhor do Bonfim,290023,292848.60513000004,-0.5966572590526615,nordeste,0
Paulo Afonso,290024,196770.343708,-1.2518490901440342,nordeste,3
Ribeira do Pombal,290025,192354.02113,-0.9899357333581397,nordeste,3
Euclides da Cunha,290026,184569.18926000004,-1.5265215848364408,nordeste,3
Cícero Dantas,290027,127117.44118,-1.0947411258155775,nordeste,3
Jeremoabo,290028,96341.81287,-1.422792171853988,nordeste,3
Feira de Santana,290029,1235784.0604499998,-0.4564383043676282,nordeste,0
Jacobina,290030,318908.05842,-0.29871208814056727,nordeste,0
Itaberaba,290031,217208.981881,-0.5289386850404315,nordeste,0
Conceição do Coité,290032,192721.90131999998,0.4662314337934824,nordeste,0
Serrinha,290033,188895.1299,-0.4481766073090135,nordeste,0
Seabra,290034,176917.79693,-0.5164227368601955,nordeste,3
Belo Horizonte,310001,5302661.613623001,-0.5827766425345243,sudeste,0
Sete Lagoas,310002,414784.14420100005,-0.38007722597349747,sudeste,3
Santa Bárbara - Ouro Preto,310003,259941.603071,1.059819749676535,sudeste,0
Curvelo,310004,184938.06675999996,-1.1767158085477332,sudeste,3
Itabira,310005,156708.129292,0.6320071433809388,sudeste,0
Montes Claros,310006,772503.515917,-0.8579986815434624,sudeste,3
Janaúba,310007,222460.21700499998,-1.138391395971524,sudeste,3
Salinas,310008,192580.832348,-1.2021645527932157,sudeste,3
Januária,310009,150628.74508,-1.6996606032051853,sudeste,3
Pirapora,310010,147491.22293500003,-0.8357148595841692,sudeste,3
São Francisco,310011,116369.90954,-1.8656945010715478,sudeste,3
Espinosa,310012,95914.98229,-0.9518363485739967,sudeste,3
Teófilo Otoni,310013,490239.30398100003,-0.62317496267576,sudeste,3
Capelinha,310014,178218.62567,-1.6095335628270866,sudeste,3
Almenara,310015,169968.86164000002,-0.424551887601569,sudeste,0
Diamantina,310016,125470.937976,-1.4297532577648935,sudeste,3
Araçuaí,310017,108053.927453,-1.8341642906317113,sudeste,3
Pedra Azul,310018,92450.358212,-1.1136351628888677,sudeste,3
Águas Formosas,310019,50874.08342899999,-0.768277480381573,sudeste,0
Governador Valadares,310020,449625.61725700006,-0.20533413857207697,sudeste,0
Guanhães,310021,192563.19338,-1.1852607472092536,sudeste,0
Mantena,310022,64555.720241,0.1564585044960738,sudeste,0
Aimorés - Resplendor,310023,58250.58644,0.6342300796791107,sudeste,0
Ipatinga,310024,648876.4022819999,0.7659645724943415,sudeste,0
Caratinga,310025,231827.03051900002,-0.18641166653065513,sudeste,0
João Monlevade,310026,148813.19643,-0.2078785266177982,sudeste,0
Juiz de Fora,310027,746206.3141799999,-0.808546239965085,sudeste,0
Manhuaçu,310028,352970.67047899996,-0.33913488631602684,sudeste,0
Ubá,310029,288143.317461,-0.1788376505429922,sudeste,0
