imedreg,imedreg_codepopulacao,letalidade_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,-0.10215837967634481,norte,0
Ariquemes,110002,244267.98213300004,-0.41052761488499856,norte,0
Jaru,110003,120564.550067,-0.8498237398376639,norte,0
Ji-Paraná,110004,304025.6776749999,-0.3568893315869766,norte,0
Cacoal,110005,302589.83598300006,-0.4248047389459602,norte,0
Vilhena,110006,165292.086385,-0.4634428299361151,norte,0
Rio Branco,120001,504876.57074800006,-0.28276589487778375,norte,0
Brasiléia,120002,72338.13942400001,-0.19393021994305945,norte,0
Sena Madureira,120003,62990.199089999995,-0.7570248313460255,norte,0
Cruzeiro do Sul,120004,163322.92484599998,-0.6354383673828323,norte,0
Tarauacá,120005,90942.145483,-0.49711087602712134,norte,0
Manaus,130001,2569981.538139,0.6173335922763542,norte,0
São Gabriel da Cachoeira,130002,104242.843152,-0.48308626238913227,norte,0
Coari,130003,156942.81565,-0.330905192237328,norte,0
Manacapuru,130004,144349.73552,-0.09225587716777676,norte,0
Tefé,130005,182082.64676700003,-0.26419645648705603,norte,0
Tabatinga,130006,231873.164687,-0.07089444467698917,norte,0
Eirunepé,130007,101999.009491,-0.7435689896147379,norte,0
Lábrea,130008,130885.96567100001,-0.6498147982415681,norte,0
Manicoré,130009,161550.21102,-0.2922186366269739,norte,0
Parintins,130010,249841.37481000004,-0.013455413918737892,norte,0
Itacoatiara,130011,173964.624469,-0.12231373831132432,norte,0
Boa Vista,140001,473642.83966299996,-0.1007973032208648,norte,0
Pacaraima,140002,55863.802617,-0.4748069743449842,norte,0
Rorainópolis,140003,63088.226788,-0.35752373880480254,norte,0
Caracaraí,140004,38586.120428999995,0.03563251202005199,norte,0
Belém,150001,2592933.5334,1.34467297903592,norte,0
Cametá,150002,227778.21129,-0.112478502661482,norte,0
Abaetetuba,150003,439624.04368,-0.18621949524187384,norte,0
Castanhal,150004,518779.56397599995,1.2763084022511417,norte,0
Bragança,150005,313089.568425,-0.22140095638282142,norte,0
Capanema,150006,191054.418786,0.7051238244002763,norte,0
Paragominas,150007,410930.524905,0.3023362023386413,norte,0
Capitão Poço,150008,107161.11330300002,-0.05336564617348317,norte,0
Marabá,150009,570348.4834569999,1.9508795030325223,norte,0
Parauapebas,150010,408077.52058,-0.19240182202606926,norte,0
Tucuruí,150011,420204.09783,1.0342239824984414,norte,0
Redenção,150012,279895.77273,-0.159857829299184,norte,3
Tucumã - São Félix do Xingu,150013,295441.18707,-0.6789045705782656,norte,0
Xinguara,150014,89038.29791200001,-0.2793284366273234,norte,0
Santarém,150015,445651.83932,0.8706713260495709,norte,0
Itaituba,150016,251297.803402,0.05447200674042904,norte,0
Oriximiná,150017,223524.79957299997,1.1828758296443973,norte,0
Altamira,150018,262477.021438,-0.4861711187538533,norte,0
Almeirim - Porto de Moz,150019,74686.83649,0.5025094448177568,norte,0
Breves,150020,411484.63013,0.6909428160624932,norte,0
Soure-Salvaterra,150021,157265.792093,0.7073579444638365,norte,0
Macapá,160001,654457.36529,-0.330348527052629,norte,0
Laranjal do Jari,160002,67333.12171,-0.30813285634823767,norte,0
Oiapoque,160003,79858.085703,-0.4255119253035171,norte,0
Porto Grande,160004,60124.417104,-0.5965621466735934,norte,0
Palmas,170001,389665.86524799996,-0.5636156584291092,norte,0
Porto Nacional,170002,104659.863133,-0.23385417332794842,norte,0
Paraíso do Tocantins,170003,120386.17455700002,-0.11703235898989897,norte,0
Miracema do Tocantins,170004,45475.336239,0.36451626271006093,norte,0
Araguaína,170005,325628.103233,-0.6230154562991677,norte,0
Guaraí,170006,86945.84316899999,-0.36684760246072784,norte,0
Colinas do Tocantins,170007,65495.96647999999,-0.6137020726756063,norte,0
Tocantinópolis,170008,49789.446823,-0.3976758665486174,norte,0
Araguatins,170009,137158.76029900002,0.09002171667961692,norte,0
Gurupi,170010,181173.013458,-0.23086402980120221,norte,2
Dianópolis,170011,83869.633012,-0.8498237398376639,norte,2
São Luís,210001,1676128.6191400003,0.361501903965114,nordeste,4
Pinheiro,210002,341442.109984,-0.40134589798765186,nordeste,0
