imedreg,imedreg_codepopulacao,prevalencia_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,1.9923528135939914,norte,1
Ariquemes,110002,244267.98213300004,0.3251586457918956,norte,0
Jaru,110003,120564.550067,-0.18948481470189604,norte,0
Ji-Paraná,110004,304025.6776749999,-0.08677838574375271,norte,0
Cacoal,110005,302589.83598300006,-0.397863761930498,norte,0
Vilhena,110006,165292.086385,-0.4801877310186947,norte,0
Rio Branco,120001,504876.57074800006,3.6659388837847957,norte,0
Brasiléia,120002,72338.13942400001,-0.21793286432976233,norte,2
Sena Madureira,120003,62990.199089999995,-0.41020553653165426,norte,2
Cruzeiro do Sul,120004,163322.92484599998,-0.05901343628583891,norte,0
Tarauacá,120005,90942.145483,-0.2529677643946797,norte,0
Manaus,130001,2569981.538139,4.6331254440769,norte,1
São Gabriel da Cachoeira,130002,104242.843152,1.2362369419825023,norte,1
Coari,130003,156942.81565,3.294977889608857,norte,1
Manacapuru,130004,144349.73552,10.5593720969191,norte,1
Tefé,130005,182082.64676700003,4.680774749324253,norte,1
Tabatinga,130006,231873.164687,6.379292695795999,norte,1
Eirunepé,130007,101999.009491,-0.3549808899256467,norte,2
Lábrea,130008,130885.96567100001,2.217511774485115,norte,1
Manicoré,130009,161550.21102,-0.03213422240730325,norte,2
Parintins,130010,249841.37481000004,3.593305330278723,norte,1
Itacoatiara,130011,173964.624469,2.9460307178266425,norte,1
Boa Vista,140001,473642.83966299996,3.1561170494588575,norte,0
Pacaraima,140002,55863.802617,1.3913068813413847,norte,1
Rorainópolis,140003,63088.226788,1.7643846799848224,norte,1
Caracaraí,140004,38586.120428999995,-0.30688276986658913,norte,2
Belém,150001,2592933.5334,2.5391970501441556,norte,0
Cametá,150002,227778.21129,0.8344702093170078,norte,0
Abaetetuba,150003,439624.04368,0.042826573555084325,norte,0
Castanhal,150004,518779.56397599995,0.8050316889961744,norte,0
Bragança,150005,313089.568425,0.25907532243388925,norte,0
Capanema,150006,191054.418786,0.9255799117136216,norte,0
Paragominas,150007,410930.524905,0.002393704402581311,norte,0
Capitão Poço,150008,107161.11330300002,0.27467973989343264,norte,0
Marabá,150009,570348.4834569999,-0.17964413067731796,norte,0
Parauapebas,150010,408077.52058,0.07786890772987991,norte,0
Tucuruí,150011,420204.09783,-0.3205159709174089,norte,0
Redenção,150012,279895.77273,-0.29783086829867256,norte,0
Tucumã - São Félix do Xingu,150013,295441.18707,-0.3936122172922606,norte,0
Xinguara,150014,89038.29791200001,-0.18176954772055093,norte,0
Santarém,150015,445651.83932,-0.011692638309258306,norte,0
Itaituba,150016,251297.803402,-0.4848486833296498,norte,0
Oriximiná,150017,223524.79957299997,-0.42011425845573996,norte,0
Altamira,150018,262477.021438,-0.18151820671081184,norte,0
Almeirim - Porto de Moz,150019,74686.83649,-0.2520804934379796,norte,0
Breves,150020,411484.63013,0.47260766963055223,norte,1
Soure-Salvaterra,150021,157265.792093,0.4406542474341666,norte,1
Macapá,160001,654457.36529,5.031946994545132,norte,1
Laranjal do Jari,160002,67333.12171,4.266047817125009,norte,1
Oiapoque,160003,79858.085703,1.208993459107494,norte,1
Porto Grande,160004,60124.417104,1.7370051167954874,norte,1
Palmas,170001,389665.86524799996,0.1361836984927999,norte,0
Porto Nacional,170002,104659.863133,-0.4095506815996272,norte,0
Paraíso do Tocantins,170003,120386.17455700002,-0.23165537723706936,norte,0
Miracema do Tocantins,170004,45475.336239,-0.38499923600746094,norte,0
Araguaína,170005,325628.103233,1.1685961529610114,norte,0
Guaraí,170006,86945.84316899999,-0.04620910777168091,norte,0
Colinas do Tocantins,170007,65495.96647999999,-0.3117110331483331,norte,0
Tocantinópolis,170008,49789.446823,-0.1442077045875186,norte,0
Araguatins,170009,137158.76029900002,0.3364902180753911,norte,0
Gurupi,170010,181173.013458,-0.005578094316419908,norte,3
Dianópolis,170011,83869.633012,-0.5326737762824064,norte,0
São Luís,210001,1676128.6191400003,4.587668962429185,nordeste,0
Pinheiro,210002,341442.109984,0.5917799441768286,nordeste,1
Chapadinha,210003,277946.115811,0.8765131487758175,nordeste,0
Itapecuru Mirim,210004,298355.59337,-0.07345579025063004,nordeste,2
Viana,210005,257692.15209,0.49797410724465674,nordeste,1
Barreirinhas,210006,133084.28007,-0.09674504499067958,nordeste,2
Tutóia - Araioses,210007,207214.69482999996,-0.1514525356383466,nordeste,0
Cururupu,210008,122984.01033999998,-0.16399362970763193,nordeste,2
Santa Inês,210009,451846.73544499994,0.20075622767230666,nordeste,0
Bacabal,210010,405800.035922,0.1406951291288713,nordeste,0
Governador Nunes Freire,210011,224565.45183500004,-0.03131981053616829,nordeste,0
Pedreiras,210012,184672.964411,0.8473634774612582,nordeste,0
Caxias,210013,268928.562695,-0.05699630381646145,nordeste,0
Timon,210014,258592.85308,-0.22868849693727117,nordeste,0
Codó,210015,228457.45221000002,0.6050662412509186,nordeste,0
Presidente Dutra,210016,237441.48151899996,-0.0607252204517799,nordeste,0
São João dos Patos,210017,145805.764558,-0.5382841987554705,nordeste,0
Colinas,210018,80821.55705,0.12477051701920447,nordeste,0
Imperatriz,210019,532231.693353,1.2205868346237465,nordeste,0
Barra do Corda,210020,280148.643331,-0.34705628078071893,nordeste,0
Açailândia,210021,270352.99432999996,0.1623179267641313,nordeste,0
Balsas,210022,230084.23996099998,-0.23813480875441737,nordeste,0
Teresina,220001,1134373.896284,0.6767892454727765,nordeste,0
Amarante - Água Branca - Regeneração,220002,156289.00978199998,-0.12364587266651207,nordeste,0
Campo Maior,220003,136084.484612,-0.25849484916180065,nordeste,0
Valença do Piauí,220004,79823.38348399999,-0.46614249777256384,nordeste,0
Barras,220005,94902.30242899999,-0.392851231860072,nordeste,0
Parnaíba,220006,282098.81894,-0.05679456789358122,nordeste,0
Piripiri,220007,174437.123889,-0.12129478000710771,nordeste,0
Esperantina,220008,146372.46837199997,-0.09316392544142678,nordeste,0
Picos,220009,291225.751458,-0.14328178894276553,nordeste,0
Paulistana,220010,79939.350837,-0.5306629487447629,nordeste,0
Oeiras,220011,68545.96854100001,-0.29834176234523024,nordeste,0
Simplício Mendes,220012,41332.865334999995,-0.49058360609952023,nordeste,0
São Raimundo Nonato,220013,113098.98546299999,0.09118844885277022,nordeste,0
São João do Piauí,220014,48436.09284500001,-0.224885948866426,nordeste,0
Corrente,220015,120522.36767299999,-0.5285485692811052,nordeste,0
Bom Jesus,220016,77915.88872199999,-0.2654040285031999,nordeste,0
Floriano,220017,124347.35358400001,-0.2563401314097321,nordeste,0
Uruçuí,220018,61936.30414100001,-0.15820526392386633,nordeste,0
Canto do Buriti,220019,49014.573814,-0.3986157214906897,nordeste,0
Fortaleza,230001,4212262.35793,4.818928083392557,nordeste,0
Itapipoca,230002,311590.29093,0.9180941400538333,nordeste,1
Redenção-Acarape,230003,229672.19836,0.6361701097548604,nordeste,1
Canindé,230004,204751.35333000004,0.7331525385512243,nordeste,1
Itapagé,230005,156725.52479,0.3456611690101896,nordeste,1
Quixadá,230006,333010.95934999996,0.8633458070220955,nordeste,0
Russas - Limoeiro do Norte,230007,385634.97420500003,0.4448909459583458,nordeste,1
Aracati,230008,152228.60224,0.1700183292494872,nordeste,1
Iguatu,230009,330687.50607,-0.13272598271431207,nordeste,0
Icó,230010,110782.59877,-0.24845978356371226,nordeste,0
Juazeiro do Norte,230011,851305.5297979999,-0.39023894554152416,nordeste,0
Brejo Santo,230012,188837.72431,-0.41009058557823097,nordeste,0
Crateús,230013,247029.53571999999,-0.052859183381647724,nordeste,0
Tauá,230014,92350.27985,0.8007222972097437,nordeste,0
Sobral,230015,613519.6217039999,0.9136281897291941,nordeste,0
São Benedito - Ipu - Guaraciaba do Norte - Tianguá,230016,406972.32661999995,-0.13528939011721342,nordeste,0
Acaraú,230017,216118.57382999998,1.188189720713061,nordeste,0
Camocim,230018,144405.99371,-0.20539036313638173,nordeste,0
Natal,240001,1743859.074166,0.660610778834497,nordeste,0
Santo Antônio - Passa e Fica - Nova Cruz,240002,142754.64600200002,-0.3298930773748648,nordeste,0
Canguaretama,240003,139853.969338,-0.14435292743724443,nordeste,0
Santa Cruz,240004,99814.195614,-0.11368194881131938,nordeste,0
João Câmara,240005,73448.84682600001,-0.42860003300919924,nordeste,0
São Paulo do Potengi,240006,66820.48851699999,-0.27583922058726285,nordeste,0
Caicó,240007,177541.72769499998,-0.5059513000603721,nordeste,0
Currais Novos,240008,112075.386137,-0.40523982566908817,nordeste,0
Mossoró,240009,506065.532053,0.7786636267989435,nordeste,0
Pau dos Ferros,240010,232247.75273900005,-0.1798647187581857,nordeste,0
Açu,240011,239683.381827,0.18492524283514536,nordeste,0
João Pessoa,250001,1452524.6672960005,1.4042062715617056,nordeste,0
Guarabira,250002,314765.34578200005,0.07897896184838528,nordeste,0
Mamanguape - Rio Tinto,250003,148357.802504,-0.24987909641570868,nordeste,0
Itabaiana,250004,63753.31175000001,-0.38525905753978623,nordeste,0
Campina Grande,250005,931376.7193609999,-0.27499156211114145,nordeste,0
Cuité - Nova Floresta,250006,93945.32509700001,-0.5543161457643089,nordeste,0
Monteiro,250007,56261.812517000006,-0.5077675921344228,nordeste,0
Sumé,250008,50438.907963000005,-0.35991382475415784,nordeste,0
Patos,250009,265946.903487,0.027128117658789808,nordeste,0
Itaporanga,250010,122107.57574800002,-0.4791132248397316,nordeste,0
Catolé do Rocha - São Bento,250011,118344.00627,-0.42864872505345936,nordeste,0
Pombal,250012,65066.772294999995,-0.09409779944760187,nordeste,0
Princesa Isabel,250013,62855.512667999996,-0.4917140791887379,nordeste,0
Sousa,250014,139757.42990999998,-0.13558297956784923,nordeste,0
Cajazeiras,250015,153774.930903,-0.24133889881119192,nordeste,0
Recife,260001,4016539.695079,4.1431401067763955,nordeste,0
Goiana – Timbaúba,260002,340065.78466000006,0.26867531848871623,nordeste,1
Palmares,260003,260124.782594,-0.12522633344124903,nordeste,0
Limoeiro,260004,226373.37741000002,0.0628422940580568,nordeste,0
Vitória de Santo Antão,260005,207936.9037,1.5461937315101557,nordeste,0
Carpina,260006,183777.09359,0.13569254566342756,nordeste,1
Barreiros - Sirinhaém,260007,161275.69727,0.0006909146976583105,nordeste,0
Surubim,260008,138827.15985,-0.24001128867910715,nordeste,0
Caruaru,260009,1143502.4863800001,-0.25710322937210967,nordeste,0
Garanhuns,260010,559153.8110999998,-0.36499680622036723,nordeste,0
Arcoverde,260011,381987.26514,-0.15152120575443032,nordeste,3
Belo Jardim – Pesqueira,260012,270946.71656000003,-0.3646832351447424,nordeste,0
Serra Talhada,260013,331597.202674,-0.3822011569121804,nordeste,3
Afogados da Ingazeira,260014,187106.129848,-0.31828294026905707,nordeste,0
Petrolina,260015,512192.2046,-0.3391759628717173,nordeste,0
Araripina,260016,336838.86040999996,-0.3800874336191211,nordeste,0
Salgueiro,260017,193058.36722900002,-0.28450181233700755,nordeste,3
