imedreg,imedreg_codepopulacao,letalidade_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,0.0210587928610107,norte,0
Ariquemes,110002,244267.98213300004,-0.44716430321612866,norte,0
Jaru,110003,120564.550067,-0.6814860278594954,norte,0
Ji-Paraná,110004,304025.6776749999,-0.5337707275278294,norte,0
Cacoal,110005,302589.83598300006,-0.7313766182724023,norte,0
Vilhena,110006,165292.086385,-0.6759413434243663,norte,0
Rio Branco,120001,504876.57074800006,0.37953154699907615,norte,0
Brasiléia,120002,72338.13942400001,-0.385591876106319,norte,0
Sena Madureira,120003,62990.199089999995,-0.9507528586717215,norte,0
Cruzeiro do Sul,120004,163322.92484599998,-0.4732294029885588,norte,3
Tarauacá,120005,90942.145483,-0.8181219445390807,norte,0
Manaus,130001,2569981.538139,1.519121750942863,norte,0
São Gabriel da Cachoeira,130002,104242.843152,-0.5119110955517957,norte,0
Coari,130003,156942.81565,-0.34491548886999696,norte,0
Manacapuru,130004,144349.73552,0.4347211949576114,norte,0
Tefé,130005,182082.64676700003,-0.2511557350573208,norte,0
Tabatinga,130006,231873.164687,-0.01831152623574545,norte,0
Eirunepé,130007,101999.009491,-1.2516086451008992,norte,0
Lábrea,130008,130885.96567100001,-0.8440921273326321,norte,0
Manicoré,130009,161550.21102,-0.2800272346287087,norte,0
Parintins,130010,249841.37481000004,-0.037242011175139526,norte,0
Itacoatiara,130011,173964.624469,-0.2569445108706227,norte,0
Boa Vista,140001,473642.83966299996,-0.3559021578287121,norte,0
Pacaraima,140002,55863.802617,-0.15752994959139346,norte,0
Rorainópolis,140003,63088.226788,-0.8005191279752065,norte,0
Caracaraí,140004,38586.120428999995,-0.22270077410791964,norte,0
Belém,150001,2592933.5334,2.7377610547649582,norte,0
Cametá,150002,227778.21129,-0.15255000169822586,norte,0
Abaetetuba,150003,439624.04368,0.33817221199360453,norte,0
Castanhal,150004,518779.56397599995,1.6714945348485537,norte,0
Bragança,150005,313089.568425,0.17232116829131708,norte,0
Capanema,150006,191054.418786,1.2937403022976641,norte,0
Paragominas,150007,410930.524905,0.4961800583215708,norte,0
Capitão Poço,150008,107161.11330300002,-0.114189071219116,norte,0
Marabá,150009,570348.4834569999,0.19061362400867407,norte,0
Parauapebas,150010,408077.52058,-0.7236540425225874,norte,0
Tucuruí,150011,420204.09783,2.046416841723744,norte,0
Redenção,150012,279895.77273,-0.6034351001123898,norte,0
Tucumã - São Félix do Xingu,150013,295441.18707,-1.0001743621813561,norte,0
Xinguara,150014,89038.29791200001,-0.7675240466114845,norte,3
Santarém,150015,445651.83932,0.8120777990044741,norte,0
Itaituba,150016,251297.803402,-0.6508284129790073,norte,0
Oriximiná,150017,223524.79957299997,0.3214484061687748,norte,0
Altamira,150018,262477.021438,-0.18996024219764343,norte,0
Almeirim - Porto de Moz,150019,74686.83649,1.462683328979503,norte,0
Breves,150020,411484.63013,0.242675896393251,norte,0
Soure-Salvaterra,150021,157265.792093,0.7865520207758034,norte,1
Macapá,160001,654457.36529,-0.4288607027825945,norte,0
Laranjal do Jari,160002,67333.12171,-0.7259592981101791,norte,0
Oiapoque,160003,79858.085703,-0.9938158527044115,norte,3
Porto Grande,160004,60124.417104,-1.0931686423856524,norte,0
Palmas,170001,389665.86524799996,-0.8030623768431877,norte,0
Porto Nacional,170002,104659.863133,-0.38619174918574256,norte,0
Paraíso do Tocantins,170003,120386.17455700002,0.26813359306362256,norte,0
Miracema do Tocantins,170004,45475.336239,-0.3457619194523324,norte,0
Araguaína,170005,325628.103233,-0.5178636653699632,norte,0
Guaraí,170006,86945.84316899999,-0.03888628437768645,norte,3
Colinas do Tocantins,170007,65495.96647999999,-0.755036600908618,norte,0
Tocantinópolis,170008,49789.446823,-0.3140736745261464,norte,0
Araguatins,170009,137158.76029900002,-0.0961560517260651,norte,0
Gurupi,170010,181173.013458,-0.6973992179880771,norte,0
Dianópolis,170011,83869.633012,1.236464930655176,norte,4
São Luís,210001,1676128.6191400003,1.9789548286523426,nordeste,0
Pinheiro,210002,341442.109984,-0.5945055834087178,nordeste,0
Chapadinha,210003,277946.115811,-0.705202801608824,nordeste,0
Itapecuru Mirim,210004,298355.59337,-0.8502001737087803,nordeste,0
Viana,210005,257692.15209,-0.3596526569542224,nordeste,0
Barreirinhas,210006,133084.28007,0.3653824576800183,nordeste,0
Tutóia - Araioses,210007,207214.69482999996,-0.5050530203839663,nordeste,0
Cururupu,210008,122984.01033999998,-0.4764910829121614,nordeste,0
Santa Inês,210009,451846.73544499994,-0.8204316145567816,nordeste,0
Bacabal,210010,405800.035922,-0.5137344819206957,nordeste,3
Governador Nunes Freire,210011,224565.45183500004,-0.6048326438244701,nordeste,0
Pedreiras,210012,184672.964411,-0.8275473072370898,nordeste,3
Caxias,210013,268928.562695,-0.652622209594355,nordeste,0
Timon,210014,258592.85308,-0.23761980021178858,nordeste,0
Codó,210015,228457.45221000002,-0.9634705702894635,nordeste,3
Presidente Dutra,210016,237441.48151899996,-1.1709438460177615,nordeste,3
São João dos Patos,210017,145805.764558,-0.5445670569938819,nordeste,0
Colinas,210018,80821.55705,-0.5961122030185512,nordeste,3
Imperatriz,210019,532231.693353,0.4093749360528236,nordeste,4
Barra do Corda,210020,280148.643331,-0.8134899399228096,nordeste,3
Açailândia,210021,270352.99432999996,-0.6919918616323315,nordeste,0
Balsas,210022,230084.23996099998,-0.9793050926471287,nordeste,0
Teresina,220001,1134373.896284,0.6799743594432295,nordeste,0
Amarante - Água Branca - Regeneração,220002,156289.00978199998,0.3480043895825152,nordeste,0
Campo Maior,220003,136084.484612,-0.43026390592216274,nordeste,0
Valença do Piauí,220004,79823.38348399999,-0.6323338735674086,nordeste,0
Barras,220005,94902.30242899999,-0.18502835369908116,nordeste,0
Parnaíba,220006,282098.81894,-0.2894017016162842,nordeste,0
Piripiri,220007,174437.123889,0.31801413025496816,nordeste,0
Esperantina,220008,146372.46837199997,-0.39276964702495315,nordeste,0
Picos,220009,291225.751458,-0.5126266015952883,nordeste,0
Paulistana,220010,79939.350837,-1.3597857570902938,nordeste,0
Oeiras,220011,68545.96854100001,-0.3002780006136904,nordeste,0
Simplício Mendes,220012,41332.865334999995,-0.3354147374356186,nordeste,0
São Raimundo Nonato,220013,113098.98546299999,-0.969473315697766,nordeste,0
São João do Piauí,220014,48436.09284500001,-0.7162706293585107,nordeste,0
Corrente,220015,120522.36767299999,-0.06445208062373683,nordeste,3
Bom Jesus,220016,77915.88872199999,-0.6890394769600611,nordeste,0
Floriano,220017,124347.35358400001,0.6086134571481016,nordeste,0
Uruçuí,220018,61936.30414100001,0.022498028467822263,nordeste,0
Canto do Buriti,220019,49014.573814,1.4921562862664723,nordeste,0
Fortaleza,230001,4212262.35793,2.5568733555824568,nordeste,0
Itapipoca,230002,311590.29093,0.9072767112491992,nordeste,1
Redenção-Acarape,230003,229672.19836,0.29074934748202386,nordeste,0
Canindé,230004,204751.35333000004,0.3269659572685717,nordeste,1
Itapagé,230005,156725.52479,1.4484571743118122,nordeste,1
Quixadá,230006,333010.95934999996,-0.047837200456087296,nordeste,0
Russas - Limoeiro do Norte,230007,385634.97420500003,-0.185652892456865,nordeste,0
Aracati,230008,152228.60224,0.4186274609051776,nordeste,0
Iguatu,230009,330687.50607,0.4568407403932922,nordeste,0
Icó,230010,110782.59877,-0.5502022092986957,nordeste,0
Juazeiro do Norte,230011,851305.5297979999,0.3075195417383561,nordeste,0
Brejo Santo,230012,188837.72431,0.6979551491559935,nordeste,0
Crateús,230013,247029.53571999999,0.4058386637215333,nordeste,0
Tauá,230014,92350.27985,0.21906131907470994,nordeste,0
Sobral,230015,613519.6217039999,0.1662316757494904,nordeste,0
São Benedito - Ipu - Guaraciaba do Norte - Tianguá,230016,406972.32661999995,0.10884999454297817,nordeste,0
Acaraú,230017,216118.57382999998,-0.3496861603100645,nordeste,0
Camocim,230018,144405.99371,0.21190789390278872,nordeste,0
Natal,240001,1743859.074166,0.39241536516440867,nordeste,0
Santo Antônio - Passa e Fica - Nova Cruz,240002,142754.64600200002,0.9586521164930356,nordeste,4
Canguaretama,240003,139853.969338,0.06943349014999904,nordeste,0
Santa Cruz,240004,99814.195614,-0.8486433949408123,nordeste,0
João Câmara,240005,73448.84682600001,-0.9136152685295909,nordeste,0
São Paulo do Potengi,240006,66820.48851699999,0.22291361111490243,nordeste,0
Caicó,240007,177541.72769499998,-0.18839299249101527,nordeste,0
Currais Novos,240008,112075.386137,0.1284513846721589,nordeste,0
Mossoró,240009,506065.532053,0.5333327681298196,nordeste,0
Pau dos Ferros,240010,232247.75273900005,0.7785313265386355,nordeste,0
Açu,240011,239683.381827,0.8768460961868052,nordeste,0
João Pessoa,250001,1452524.6672960005,-0.021466165184802124,nordeste,0
Guarabira,250002,314765.34578200005,-0.8951091954426204,nordeste,0
Mamanguape - Rio Tinto,250003,148357.802504,-0.522325175526674,nordeste,0
Itabaiana,250004,63753.31175000001,-0.807649777496424,nordeste,0
Campina Grande,250005,931376.7193609999,-0.60154034264139,nordeste,0
Cuité - Nova Floresta,250006,93945.32509700001,-1.0063056165052298,nordeste,0
Monteiro,250007,56261.812517000006,-0.9415009240646347,nordeste,0
Sumé,250008,50438.907963000005,-0.9415009240646347,nordeste,0
Patos,250009,265946.903487,0.2081621342039915,nordeste,0
Itaporanga,250010,122107.57574800002,-0.5369303478594891,nordeste,0
Catolé do Rocha - São Bento,250011,118344.00627,-0.39140929478008624,nordeste,0
Pombal,250012,65066.772294999995,-0.9048536124098188,nordeste,0
Princesa Isabel,250013,62855.512667999996,-0.7761325017056533,nordeste,0
Sousa,250014,139757.42990999998,-0.7598553192845677,nordeste,0
Cajazeiras,250015,153774.930903,-0.18427802961771553,nordeste,0
Recife,260001,4016539.695079,3.2759204249868583,nordeste,1
Goiana – Timbaúba,260002,340065.78466000006,2.0217566642085982,nordeste,1
Palmares,260003,260124.782594,1.4581994782144476,nordeste,1
Limoeiro,260004,226373.37741000002,2.02574544276548,nordeste,1
Vitória de Santo Antão,260005,207936.9037,3.3254022656227957,nordeste,1
Carpina,260006,183777.09359,5.20102831682398,nordeste,1
Barreiros - Sirinhaém,260007,161275.69727,2.594907209697755,nordeste,1
Surubim,260008,138827.15985,0.9019970488716754,nordeste,0
