imedreg,imedreg_codepopulacao,prevalencia_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,0.8376188819818734,norte,0
Ariquemes,110002,244267.98213300004,0.442957460758283,norte,0
Jaru,110003,120564.550067,-0.4208332946579689,norte,0
Ji-Paraná,110004,304025.6776749999,-0.08126422025162292,norte,0
Cacoal,110005,302589.83598300006,-0.4045352276971246,norte,0
Vilhena,110006,165292.086385,-0.44341193785242555,norte,0
Rio Branco,120001,504876.57074800006,2.2852972866516503,norte,0
Brasiléia,120002,72338.13942400001,-0.5042734156344578,norte,0
Sena Madureira,120003,62990.199089999995,-0.5042734156344578,norte,0
Cruzeiro do Sul,120004,163322.92484599998,-0.38108286351139115,norte,3
Tarauacá,120005,90942.145483,-0.5042734156344578,norte,0
Manaus,130001,2569981.538139,5.876189013707476,norte,1
São Gabriel da Cachoeira,130002,104242.843152,-0.40776875076842267,norte,2
Coari,130003,156942.81565,0.008520781482595493,norte,1
Manacapuru,130004,144349.73552,12.040160484634583,norte,1
Tefé,130005,182082.64676700003,-0.16246648078838324,norte,0
Tabatinga,130006,231873.164687,1.1443735287092351,norte,0
Eirunepé,130007,101999.009491,-0.5042734156344578,norte,0
Lábrea,130008,130885.96567100001,-0.2736928352454167,norte,0
Manicoré,130009,161550.21102,-0.4420022457019035,norte,2
Parintins,130010,249841.37481000004,0.09970504774356512,norte,1
Itacoatiara,130011,173964.624469,0.4101775566261129,norte,1
Boa Vista,140001,473642.83966299996,3.9347748256454986,norte,0
Pacaraima,140002,55863.802617,1.1164412787863933,norte,1
Rorainópolis,140003,63088.226788,0.13355846871198435,norte,1
Caracaraí,140004,38586.120428999995,-0.5042734156344578,norte,2
Belém,150001,2592933.5334,1.6063078080393178,norte,0
Cametá,150002,227778.21129,-0.41594257322338585,norte,0
Abaetetuba,150003,439624.04368,-0.3669753657981892,norte,3
Castanhal,150004,518779.56397599995,-0.29096677297177553,norte,0
Bragança,150005,313089.568425,-0.40788003504046716,norte,0
Capanema,150006,191054.418786,-0.27280286841971135,norte,0
Paragominas,150007,410930.524905,-0.5042734156344578,norte,3
Capitão Poço,150008,107161.11330300002,-0.4103968186769232,norte,0
Marabá,150009,570348.4834569999,-0.345529615284853,norte,0
Parauapebas,150010,408077.52058,-0.10984166634257696,norte,0
Tucuruí,150011,420204.09783,-0.4324517411551933,norte,3
Redenção,150012,279895.77273,-0.45379048857645504,norte,3
Tucumã - São Félix do Xingu,150013,295441.18707,-0.47022291393280136,norte,3
Xinguara,150014,89038.29791200001,-0.5042734156344578,norte,0
Santarém,150015,445651.83932,-0.030229969910673487,norte,0
Itaituba,150016,251297.803402,-0.2240503354954908,norte,0
Oriximiná,150017,223524.79957299997,-0.32425006856453226,norte,0
Altamira,150018,262477.021438,-0.38929282890020883,norte,3
Almeirim - Porto de Moz,150019,74686.83649,-0.5042734156344578,norte,0
Breves,150020,411484.63013,-0.4553776858479615,norte,0
Soure-Salvaterra,150021,157265.792093,-0.3123705133723287,norte,0
Macapá,160001,654457.36529,5.49056942497962,norte,0
Laranjal do Jari,160002,67333.12171,0.09334751074373382,norte,0
Oiapoque,160003,79858.085703,0.12558895550227706,norte,1
Porto Grande,160004,60124.417104,-0.33695502607460026,norte,2
Palmas,170001,389665.86524799996,0.09417298357669258,norte,4
Porto Nacional,170002,104659.863133,-0.5042734156344578,norte,0
Paraíso do Tocantins,170003,120386.17455700002,-0.42070966190538406,norte,3
Miracema do Tocantins,170004,45475.336239,-0.5042734156344578,norte,0
Araguaína,170005,325628.103233,-0.3364463904436806,norte,3
Guaraí,170006,86945.84316899999,-0.5042734156344578,norte,3
Colinas do Tocantins,170007,65495.96647999999,-0.5042734156344578,norte,0
Tocantinópolis,170008,49789.446823,-0.27532268596096193,norte,0
Araguatins,170009,137158.76029900002,-0.5042734156344578,norte,0
Gurupi,170010,181173.013458,-0.388300345836277,norte,3
Dianópolis,170011,83869.633012,-0.38432629911819655,norte,3
São Luís,210001,1676128.6191400003,6.295855141589497,nordeste,0
Pinheiro,210002,341442.109984,-0.5042734156344578,nordeste,2
Chapadinha,210003,277946.115811,-0.323304514275407,nordeste,0
Itapecuru Mirim,210004,298355.59337,-0.369401861467336,nordeste,2
Viana,210005,257692.15209,-0.11388819972951376,nordeste,0
Barreirinhas,210006,133084.28007,-0.42868281516853435,nordeste,2
Tutóia - Araioses,210007,207214.69482999996,-0.5042734156344578,nordeste,0
Cururupu,210008,122984.01033999998,-0.32631764784616935,nordeste,2
Santa Inês,210009,451846.73544499994,-0.415342546518482,nordeste,0
Bacabal,210010,405800.035922,-0.35553137887919134,nordeste,3
Governador Nunes Freire,210011,224565.45183500004,-0.41467886259111636,nordeste,3
Pedreiras,210012,184672.964411,-0.4497991688211695,nordeste,3
Caxias,210013,268928.562695,-0.24242155506682506,nordeste,0
Timon,210014,258592.85308,-0.3486632272901693,nordeste,0
Codó,210015,228457.45221000002,-0.5042734156344578,nordeste,0
Presidente Dutra,210016,237441.48151899996,-0.46190541582789735,nordeste,3
São João dos Patos,210017,145805.764558,-0.5042734156344578,nordeste,3
Colinas,210018,80821.55705,-0.29946537071762036,nordeste,3
Imperatriz,210019,532231.693353,-0.04169245809811301,nordeste,3
Barra do Corda,210020,280148.643331,-0.5042734156344578,nordeste,3
Açailândia,210021,270352.99432999996,-0.4670630985525356,nordeste,0
Balsas,210022,230084.23996099998,-0.5042734156344578,nordeste,3
Teresina,220001,1134373.896284,0.506708022731129,nordeste,0
Amarante - Água Branca - Regeneração,220002,156289.00978199998,-0.3720639771448838,nordeste,0
Campo Maior,220003,136084.484612,-0.35642525099248595,nordeste,0
Valença do Piauí,220004,79823.38348399999,-0.25221893726013866,nordeste,0
