imedreg,imedreg_codepopulacao,letalidade_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,0.2353761354995045,norte,0
Ariquemes,110002,244267.98213300004,-0.4266813328754765,norte,0
Jaru,110003,120564.550067,-1.0329815745907363,norte,0
Ji-Paraná,110004,304025.6776749999,-0.019076321226704027,norte,0
Cacoal,110005,302589.83598300006,-0.6858966335749085,norte,0
Vilhena,110006,165292.086385,-0.48100633867426823,norte,0
Rio Branco,120001,504876.57074800006,0.5300802478523826,norte,4
Brasiléia,120002,72338.13942400001,-0.7706997568703052,norte,0
Sena Madureira,120003,62990.199089999995,-1.4893469202848302,norte,3
Cruzeiro do Sul,120004,163322.92484599998,-0.528802275163531,norte,3
Tarauacá,120005,90942.145483,-1.2546866810742163,norte,3
Manaus,130001,2569981.538139,2.406804108891524,norte,0
São Gabriel da Cachoeira,130002,104242.843152,-0.798839147405916,norte,0
Coari,130003,156942.81565,-0.25812224332282396,norte,0
Manacapuru,130004,144349.73552,1.186686697762945,norte,0
Tefé,130005,182082.64676700003,-0.5848148957956035,norte,3
Tabatinga,130006,231873.164687,0.10064641164599122,norte,4
Eirunepé,130007,101999.009491,-1.4443918454239573,norte,0
Lábrea,130008,130885.96567100001,-1.0503611456774875,norte,0
Manicoré,130009,161550.21102,-0.3081124229914052,norte,0
Parintins,130010,249841.37481000004,0.30904546969859403,norte,0
Itacoatiara,130011,173964.624469,0.41628810703582436,norte,0
Boa Vista,140001,473642.83966299996,-0.8736772195231358,norte,0
Pacaraima,140002,55863.802617,-0.03584640643376656,norte,0
Rorainópolis,140003,63088.226788,-0.9242973863771835,norte,0
Caracaraí,140004,38586.120428999995,-0.7632651398494692,norte,3
Belém,150001,2592933.5334,1.8593275319798586,norte,0
Cametá,150002,227778.21129,0.141244646222836,norte,0
Abaetetuba,150003,439624.04368,0.36832864367543294,norte,0
Castanhal,150004,518779.56397599995,1.5287970747850168,norte,0
Bragança,150005,313089.568425,0.3199898528609422,norte,0
Capanema,150006,191054.418786,1.756307889854507,norte,0
Paragominas,150007,410930.524905,0.2646337689468748,norte,0
Capitão Poço,150008,107161.11330300002,-0.3673879570441072,norte,0
Marabá,150009,570348.4834569999,0.44174024348783253,norte,0
Parauapebas,150010,408077.52058,-1.2918679333534924,norte,3
Tucuruí,150011,420204.09783,2.054008167680123,norte,0
Redenção,150012,279895.77273,-0.9534399863833045,norte,3
Tucumã - São Félix do Xingu,150013,295441.18707,-1.3891383120417728,norte,0
Xinguara,150014,89038.29791200001,-1.2890666945170985,norte,3
Santarém,150015,445651.83932,-0.018152883886784824,norte,0
Itaituba,150016,251297.803402,-0.8145831839346033,norte,0
Oriximiná,150017,223524.79957299997,-0.4415817611004298,norte,0
Altamira,150018,262477.021438,-0.1479000566300171,norte,0
Almeirim - Porto de Moz,150019,74686.83649,-0.626789128822504,norte,0
Breves,150020,411484.63013,-0.10008039319556616,norte,0
Soure-Salvaterra,150021,157265.792093,0.8490460320432379,norte,0
Macapá,160001,654457.36529,-0.24087353850243137,norte,3
Laranjal do Jari,160002,67333.12171,-1.3147135024977312,norte,3
Oiapoque,160003,79858.085703,-1.3591120468094484,norte,3
Porto Grande,160004,60124.417104,-1.5062866811146574,norte,3
Palmas,170001,389665.86524799996,-1.0106126590074171,norte,0
Porto Nacional,170002,104659.863133,-0.2868142000755848,norte,3
Paraíso do Tocantins,170003,120386.17455700002,-0.4063447601743917,norte,0
Miracema do Tocantins,170004,45475.336239,-0.56016197600627,norte,0
Araguaína,170005,325628.103233,-0.5791640698331968,norte,3
Guaraí,170006,86945.84316899999,-0.11218073431866556,norte,3
Colinas do Tocantins,170007,65495.96647999999,-0.9814054164612751,norte,0
Tocantinópolis,170008,49789.446823,-0.26830940413590215,norte,0
Araguatins,170009,137158.76029900002,-0.49230258940796034,norte,0
Gurupi,170010,181173.013458,-0.4953149526104869,norte,0
Dianópolis,170011,83869.633012,-0.42313340841438557,norte,3
São Luís,210001,1676128.6191400003,3.3254463848519555,nordeste,0
Pinheiro,210002,341442.109984,-0.1660260024954523,nordeste,0
Chapadinha,210003,277946.115811,-0.3023290799319026,nordeste,0
Itapecuru Mirim,210004,298355.59337,-0.2635724488133626,nordeste,2
Viana,210005,257692.15209,0.38012676884137564,nordeste,0
Barreirinhas,210006,133084.28007,-0.5491898093321518,nordeste,0
Tutóia - Araioses,210007,207214.69482999996,-0.2920788424732884,nordeste,0
Cururupu,210008,122984.01033999998,-0.6656825050758938,nordeste,2
Santa Inês,210009,451846.73544499994,-0.6160063536546234,nordeste,0
Bacabal,210010,405800.035922,0.3866476981501281,nordeste,0
Governador Nunes Freire,210011,224565.45183500004,-0.6918382635867907,nordeste,0
Pedreiras,210012,184672.964411,-0.6085510200225202,nordeste,0
Caxias,210013,268928.562695,-0.09766558443540306,nordeste,0
Timon,210014,258592.85308,0.7629723531433779,nordeste,0
Codó,210015,228457.45221000002,1.4817758107845422,nordeste,0
Presidente Dutra,210016,237441.48151899996,-1.4565268265782105,nordeste,0
São João dos Patos,210017,145805.764558,-0.866142643265649,nordeste,0
Colinas,210018,80821.55705,-0.5156542084863126,nordeste,3
Imperatriz,210019,532231.693353,1.273542061475585,nordeste,4
Barra do Corda,210020,280148.643331,-0.7459002220467188,nordeste,0
Açailândia,210021,270352.99432999996,-0.2733100026392521,nordeste,0
Balsas,210022,230084.23996099998,-1.0453961150488946,nordeste,0
Teresina,220001,1134373.896284,0.22228673925725798,nordeste,0
Amarante - Água Branca - Regeneração,220002,156289.00978199998,0.3810760003838748,nordeste,0
Campo Maior,220003,136084.484612,0.03059196032253775,nordeste,0
Valença do Piauí,220004,79823.38348399999,0.19565158737968041,nordeste,0
Barras,220005,94902.30242899999,-0.1460665784007721,nordeste,0
Parnaíba,220006,282098.81894,-0.01263442876125467,nordeste,0
Piripiri,220007,174437.123889,-0.2413567031523806,nordeste,0
Esperantina,220008,146372.46837199997,-0.3019407467161019,nordeste,0
Picos,220009,291225.751458,-0.3275161776505006,nordeste,0
Paulistana,220010,79939.350837,-0.9286578588437415,nordeste,0
Oeiras,220011,68545.96854100001,-0.6393523576669269,nordeste,0
Simplício Mendes,220012,41332.865334999995,-0.16413827264116043,nordeste,0
São Raimundo Nonato,220013,113098.98546299999,-0.4607442882650863,nordeste,0
São João do Piauí,220014,48436.09284500001,0.11078016726244382,nordeste,0
Corrente,220015,120522.36767299999,0.07682569706163284,nordeste,4
Bom Jesus,220016,77915.88872199999,-0.4058170542736784,nordeste,0
Floriano,220017,124347.35358400001,-0.33840544818551954,nordeste,0
Uruçuí,220018,61936.30414100001,-0.6817206103175864,nordeste,0
Canto do Buriti,220019,49014.573814,1.2018786102492844,nordeste,0
Fortaleza,230001,4212262.35793,2.271550541977397,nordeste,1
Itapipoca,230002,311590.29093,1.6839801157788903,nordeste,1
Redenção-Acarape,230003,229672.19836,0.2785819775216099,nordeste,1
Canindé,230004,204751.35333000004,1.286785760569355,nordeste,1
Itapagé,230005,156725.52479,2.3890587214173045,nordeste,1
Quixadá,230006,333010.95934999996,0.5865061793069523,nordeste,0
Russas - Limoeiro do Norte,230007,385634.97420500003,-0.25970978418356383,nordeste,0
Aracati,230008,152228.60224,0.21912595790476713,nordeste,0
Iguatu,230009,330687.50607,0.3125625563955735,nordeste,0
Icó,230010,110782.59877,0.20727238820947957,nordeste,0
Juazeiro do Norte,230011,851305.5297979999,-0.10114186045267615,nordeste,0
Brejo Santo,230012,188837.72431,-0.23180117817529008,nordeste,0
Crateús,230013,247029.53571999999,-0.21537535179178433,nordeste,0
Tauá,230014,92350.27985,0.41777666379864853,nordeste,0
Sobral,230015,613519.6217039999,0.1997576674280301,nordeste,1
São Benedito - Ipu - Guaraciaba do Norte - Tianguá,230016,406972.32661999995,-0.024899246072797202,nordeste,0
Acaraú,230017,216118.57382999998,-0.32401902523915155,nordeste,0
Camocim,230018,144405.99371,0.9322971524152859,nordeste,0
