imedreg,imedreg_codepopulacao,incidencia_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,2.426328801575472,norte,0
Ariquemes,110002,244267.98213300004,0.9644833783276212,norte,0
Jaru,110003,120564.550067,-0.5021136459450863,norte,0
Ji-Paraná,110004,304025.6776749999,0.4393696410858248,norte,0
Cacoal,110005,302589.83598300006,-0.5021136459450863,norte,0
Vilhena,110006,165292.086385,-0.5021136459450863,norte,3
Rio Branco,120001,504876.57074800006,2.36148757590108,norte,0
Brasiléia,120002,72338.13942400001,-0.5021136459450863,norte,0
Sena Madureira,120003,62990.199089999995,-0.5021136459450863,norte,0
Cruzeiro do Sul,120004,163322.92484599998,-0.2670998167086978,norte,0
Tarauacá,120005,90942.145483,-0.5021136459450863,norte,0
Manaus,130001,2569981.538139,5.5366788992990195,norte,1
São Gabriel da Cachoeira,130002,104242.843152,-0.25664102445504255,norte,2
Coari,130003,156942.81565,3.9816278145240216,norte,1
Manacapuru,130004,144349.73552,6.411385652330452,norte,1
Tefé,130005,182082.64676700003,3.6276883814379963,norte,1
Tabatinga,130006,231873.164687,7.498749201039798,norte,1
Eirunepé,130007,101999.009491,-0.5021136459450863,norte,2
Lábrea,130008,130885.96567100001,1.6484332239049313,norte,1
Manicoré,130009,161550.21102,-0.026928306008965654,norte,2
Parintins,130010,249841.37481000004,4.516468388268739,norte,1
Itacoatiara,130011,173964.624469,4.305013559489221,norte,1
Boa Vista,140001,473642.83966299996,3.792909029506161,norte,0
Pacaraima,140002,55863.802617,1.5591394824875773,norte,1
Rorainópolis,140003,63088.226788,1.7287019761751214,norte,1
Caracaraí,140004,38586.120428999995,-0.5021136459450863,norte,2
Belém,150001,2592933.5334,3.7019329734942956,norte,0
Cametá,150002,227778.21129,0.17193056140496882,norte,0
Abaetetuba,150003,439624.04368,-0.3565986067430743,norte,0
Castanhal,150004,518779.56397599995,1.0762840092890404,norte,0
Bragança,150005,313089.568425,0.19259009306794458,norte,0
Capanema,150006,191054.418786,0.8962306205300994,norte,0
Paragominas,150007,410930.524905,-0.2841676222199225,norte,0
Capitão Poço,150008,107161.11330300002,-0.024538092810541978,norte,0
Marabá,150009,570348.4834569999,-0.3226530900056851,norte,0
Parauapebas,150010,408077.52058,0.5011766678650008,norte,0
Tucuruí,150011,420204.09783,-0.22808148275323298,norte,0
Redenção,150012,279895.77273,-0.4564024089897841,norte,0
Tucumã - São Félix do Xingu,150013,295441.18707,-0.5021136459450863,norte,0
Xinguara,150014,89038.29791200001,-0.19444930801201107,norte,0
Santarém,150015,445651.83932,0.12949241723319668,norte,0
Itaituba,150016,251297.803402,-0.4512004194192606,norte,2
Oriximiná,150017,223524.79957299997,-0.33039602873451834,norte,0
Altamira,150018,262477.021438,0.03407882194977247,norte,0
Almeirim - Porto de Moz,150019,74686.83649,0.011807518399377161,norte,0
Breves,150020,411484.63013,0.11975074719184974,norte,1
