imedreg,imedreg_codepopulacao,incidencia_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,1.3084131862580186,norte,1
Ariquemes,110002,244267.98213300004,3.143337885583524,norte,1
Jaru,110003,120564.550067,1.8767499481127738,norte,1
Ji-Paraná,110004,304025.6776749999,3.0588913938082842,norte,1
Cacoal,110005,302589.83598300006,1.9503884124289614,norte,1
Vilhena,110006,165292.086385,2.4696282919944017,norte,0
Rio Branco,120001,504876.57074800006,0.3175138292149433,norte,1
Brasiléia,120002,72338.13942400001,3.0626080023879876,norte,0
Sena Madureira,120003,62990.199089999995,0.37404760250091623,norte,1
Cruzeiro do Sul,120004,163322.92484599998,0.5523714573894446,norte,1
Tarauacá,120005,90942.145483,1.8653303596962814,norte,0
Manaus,130001,2569981.538139,2.17557952862466,norte,1
São Gabriel da Cachoeira,130002,104242.843152,2.4064635947020054,norte,0
Coari,130003,156942.81565,-0.06388905247340536,norte,2
Manacapuru,130004,144349.73552,1.68987476262378,norte,1
Tefé,130005,182082.64676700003,1.5783623620764344,norte,1
Tabatinga,130006,231873.164687,0.5039974895417857,norte,1
Eirunepé,130007,101999.009491,1.5841155397806304,norte,1
Lábrea,130008,130885.96567100001,1.6975402443054746,norte,1
Manicoré,130009,161550.21102,5.849336606335428,norte,1
Parintins,130010,249841.37481000004,-0.01145692307286155,norte,0
Itacoatiara,130011,173964.624469,5.23107106353529,norte,1
Boa Vista,140001,473642.83966299996,1.2142572478552331,norte,0
Pacaraima,140002,55863.802617,-1.0447184121637814,norte,0
Rorainópolis,140003,63088.226788,0.5679635733083858,norte,1
Caracaraí,140004,38586.120428999995,-0.5904283577240949,norte,2
Belém,150001,2592933.5334,-0.6406594256317527,norte,0
Cametá,150002,227778.21129,-0.7515315334010186,norte,3
Abaetetuba,150003,439624.04368,-1.25869830280479,norte,0
Castanhal,150004,518779.56397599995,-0.46237262807177615,norte,3
Bragança,150005,313089.568425,-1.2318128152504113,norte,3
Capanema,150006,191054.418786,-1.0014202750515215,norte,3
Paragominas,150007,410930.524905,-0.795081966276875,norte,3
Capitão Poço,150008,107161.11330300002,-0.8824191981034101,norte,3
Marabá,150009,570348.4834569999,-0.6338129885644938,norte,0
Parauapebas,150010,408077.52058,1.6537235107433237,norte,0
Tucuruí,150011,420204.09783,-0.5993650726881024,norte,3
Redenção,150012,279895.77273,-0.26412703522029896,norte,0
Tucumã - São Félix do Xingu,150013,295441.18707,-0.27776034340754774,norte,0
Xinguara,150014,89038.29791200001,-1.0021677058018892,norte,0
Santarém,150015,445651.83932,0.39056845509858207,norte,0
Itaituba,150016,251297.803402,-0.4268533945734622,norte,0
Oriximiná,150017,223524.79957299997,0.3098503499794806,norte,0
Altamira,150018,262477.021438,-0.07614504462681737,norte,0
Almeirim - Porto de Moz,150019,74686.83649,-0.4959969478393466,norte,0
Breves,150020,411484.63013,-0.7867540197216835,norte,0
Soure-Salvaterra,150021,157265.792093,-0.6013691250110926,norte,0
Macapá,160001,654457.36529,0.47280561802370785,norte,0
Laranjal do Jari,160002,67333.12171,0.3236942810708942,norte,0
Oiapoque,160003,79858.085703,1.352453491996895,norte,0
Porto Grande,160004,60124.417104,-0.9026696404987905,norte,0
Palmas,170001,389665.86524799996,0.1605744623066393,norte,0
Porto Nacional,170002,104659.863133,0.15472998768612567,norte,0
Paraíso do Tocantins,170003,120386.17455700002,0.025015316058357988,norte,0
Miracema do Tocantins,170004,45475.336239,0.04801905571510051,norte,0
Araguaína,170005,325628.103233,0.10410775457723669,norte,4
Guaraí,170006,86945.84316899999,0.2844172146122222,norte,0
Colinas do Tocantins,170007,65495.96647999999,-0.8063365030065396,norte,0
Tocantinópolis,170008,49789.446823,-0.9308353793597888,norte,0
Araguatins,170009,137158.76029900002,-0.8238834254932698,norte,0
Gurupi,170010,181173.013458,0.12808356947785451,norte,0
Dianópolis,170011,83869.633012,-0.9597033039015702,norte,0
São Luís,210001,1676128.6191400003,-1.213470855321402,nordeste,3
Pinheiro,210002,341442.109984,-1.4000931098403502,nordeste,3
Chapadinha,210003,277946.115811,-1.4239216182424568,nordeste,3
Itapecuru Mirim,210004,298355.59337,-1.2854879013622638,nordeste,3
Viana,210005,257692.15209,-1.4433870536909472,nordeste,3
Barreirinhas,210006,133084.28007,-1.262361917130636,nordeste,3
