imedreg,imedreg_codepopulacao,letalidade_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,0.07725152768032774,norte,0
Ariquemes,110002,244267.98213300004,-0.4830855463038783,norte,0
Jaru,110003,120564.550067,-0.8516598495498624,norte,0
Ji-Paraná,110004,304025.6776749999,-0.2008148919191031,norte,0
Cacoal,110005,302589.83598300006,-0.6604353440678482,norte,0
Vilhena,110006,165292.086385,-0.4820933342775338,norte,0
Rio Branco,120001,504876.57074800006,0.8946020215249024,norte,0
Brasiléia,120002,72338.13942400001,-0.44698664074068706,norte,0
Sena Madureira,120003,62990.199089999995,-1.0918790674737588,norte,0
Cruzeiro do Sul,120004,163322.92484599998,-0.4832419459351895,norte,3
Tarauacá,120005,90942.145483,-0.766599077454017,norte,0
Manaus,130001,2569981.538139,1.806906144736865,norte,0
São Gabriel da Cachoeira,130002,104242.843152,-0.8849927222711315,norte,0
Coari,130003,156942.81565,-0.5948212197875761,norte,0
Manacapuru,130004,144349.73552,0.6721610770323169,norte,0
Tefé,130005,182082.64676700003,-0.3009210437257839,norte,3
Tabatinga,130006,231873.164687,0.07159828341826062,norte,0
Eirunepé,130007,101999.009491,-1.2638737342450455,norte,0
Lábrea,130008,130885.96567100001,-1.0587166970832167,norte,0
Manicoré,130009,161550.21102,-0.05762184982519125,norte,0
Parintins,130010,249841.37481000004,0.06606087970407327,norte,0
Itacoatiara,130011,173964.624469,-0.35255596209502355,norte,0
Boa Vista,140001,473642.83966299996,-0.6050531034217962,norte,0
Pacaraima,140002,55863.802617,-0.4033565723950277,norte,0
Rorainópolis,140003,63088.226788,-1.0168586518825358,norte,0
Caracaraí,140004,38586.120428999995,-0.8014186863446987,norte,3
Belém,150001,2592933.5334,2.778814927383253,norte,0
Cametá,150002,227778.21129,-0.011231943544376672,norte,0
Abaetetuba,150003,439624.04368,0.4911720156147727,norte,0
Castanhal,150004,518779.56397599995,1.9464547478685226,norte,0
Bragança,150005,313089.568425,0.3734548990905547,norte,0
Capanema,150006,191054.418786,1.2691871895618876,norte,0
Paragominas,150007,410930.524905,0.357781933464557,norte,0
Capitão Poço,150008,107161.11330300002,-0.2911452760217114,norte,0
Marabá,150009,570348.4834569999,0.2892932577307925,norte,0
Parauapebas,150010,408077.52058,-1.0009645974107622,norte,0
Tucuruí,150011,420204.09783,2.279566089195475,norte,0
Redenção,150012,279895.77273,-0.7785819157066577,norte,3
Tucumã - São Félix do Xingu,150013,295441.18707,-1.0815147510621772,norte,0
Xinguara,150014,89038.29791200001,-1.1454771905208123,norte,3
Santarém,150015,445651.83932,0.5052232909769034,norte,0
Itaituba,150016,251297.803402,-0.49343880044307703,norte,0
Oriximiná,150017,223524.79957299997,-0.12851899275728274,norte,0
Altamira,150018,262477.021438,-0.16253167373309882,norte,0
Almeirim - Porto de Moz,150019,74686.83649,1.1708176810080024,norte,0
Breves,150020,411484.63013,0.06128220753238907,norte,0
Soure-Salvaterra,150021,157265.792093,0.5414201790200931,norte,1
Macapá,160001,654457.36529,-0.1520211787418543,norte,3
Laranjal do Jari,160002,67333.12171,-0.9714828007338585,norte,0
Oiapoque,160003,79858.085703,-1.2375283973178695,norte,3
Porto Grande,160004,60124.417104,-1.3419244308099345,norte,3
Palmas,170001,389665.86524799996,-1.124971930711254,norte,0
Porto Nacional,170002,104659.863133,-0.49906138405305456,norte,0
Paraíso do Tocantins,170003,120386.17455700002,-0.1612794189326223,norte,0
Miracema do Tocantins,170004,45475.336239,-0.791033666389862,norte,0
Araguaína,170005,325628.103233,-0.5809171978549341,norte,3
Guaraí,170006,86945.84316899999,-0.2744212692237124,norte,3
Colinas do Tocantins,170007,65495.96647999999,-1.0260866049555544,norte,0
Tocantinópolis,170008,49789.446823,-0.26685968964535667,norte,0
Araguatins,170009,137158.76029900002,-0.4017013550412137,norte,0
Gurupi,170010,181173.013458,-0.810665974924763,norte,0
Dianópolis,170011,83869.633012,0.32665120401615794,norte,4
São Luís,210001,1676128.6191400003,3.3286490127937,nordeste,0
Pinheiro,210002,341442.109984,-0.5439922310335853,nordeste,0
Chapadinha,210003,277946.115811,-0.600854862046877,nordeste,0
Itapecuru Mirim,210004,298355.59337,-0.5077493270445795,nordeste,0
Viana,210005,257692.15209,0.10361992565299702,nordeste,0
Barreirinhas,210006,133084.28007,0.3555663839046328,nordeste,0
Tutóia - Araioses,210007,207214.69482999996,-0.49339092528950235,nordeste,0
Cururupu,210008,122984.01033999998,-0.601226319442567,nordeste,2
Santa Inês,210009,451846.73544499994,-0.6412806023267275,nordeste,0
Bacabal,210010,405800.035922,-0.3325549885577389,nordeste,3
Governador Nunes Freire,210011,224565.45183500004,-0.7054147155457224,nordeste,0
Pedreiras,210012,184672.964411,-0.7532333907403144,nordeste,3
Caxias,210013,268928.562695,-0.3626688021900173,nordeste,0
Timon,210014,258592.85308,0.23941856472070205,nordeste,0
Codó,210015,228457.45221000002,-0.9238948407894275,nordeste,3
Presidente Dutra,210016,237441.48151899996,-1.2878649040709593,nordeste,3
São João dos Patos,210017,145805.764558,-1.1467513606259925,nordeste,0
Colinas,210018,80821.55705,-0.4866928642070896,nordeste,3
Imperatriz,210019,532231.693353,0.5198022145523353,nordeste,4
Barra do Corda,210020,280148.643331,-1.0050377035532514,nordeste,3
Açailândia,210021,270352.99432999996,-0.6686170575624591,nordeste,0
Balsas,210022,230084.23996099998,-1.2648148371386998,nordeste,3
Teresina,220001,1134373.896284,0.724767610643255,nordeste,0
Amarante - Água Branca - Regeneração,220002,156289.00978199998,-0.01775292602571162,nordeste,0
Campo Maior,220003,136084.484612,-0.19645632854035358,nordeste,0
Valença do Piauí,220004,79823.38348399999,-0.7387438481729347,nordeste,0
Barras,220005,94902.30242899999,-0.1304921264735832,nordeste,0
Parnaíba,220006,282098.81894,-0.12415836071345625,nordeste,0
Piripiri,220007,174437.123889,-0.13720213452796845,nordeste,0
Esperantina,220008,146372.46837199997,-0.523384367889476,nordeste,0
Picos,220009,291225.751458,-0.6596181214643917,nordeste,0
Paulistana,220010,79939.350837,-1.1841908903737328,nordeste,0
Oeiras,220011,68545.96854100001,-0.584267403703454,nordeste,0
Simplício Mendes,220012,41332.865334999995,-0.6476966684794918,nordeste,3
São Raimundo Nonato,220013,113098.98546299999,-1.0322154147372808,nordeste,0
São João do Piauí,220014,48436.09284500001,-1.2911933291051256,nordeste,3
Corrente,220015,120522.36767299999,-0.09204193866045646,nordeste,3
Bom Jesus,220016,77915.88872199999,-0.5009238922636863,nordeste,0
Floriano,220017,124347.35358400001,-0.654904734112212,nordeste,3
Uruçuí,220018,61936.30414100001,-0.5133215598754611,nordeste,3
Canto do Buriti,220019,49014.573814,-0.17546998358299873,nordeste,3
Fortaleza,230001,4212262.35793,3.1837415068587083,nordeste,1
Itapipoca,230002,311590.29093,1.3238691113273366,nordeste,1
Redenção-Acarape,230003,229672.19836,0.3306601556137557,nordeste,1
Canindé,230004,204751.35333000004,0.9384311834196946,nordeste,1
Itapagé,230005,156725.52479,1.971070535435476,nordeste,1
Quixadá,230006,333010.95934999996,0.23727205744236132,nordeste,0
Russas - Limoeiro do Norte,230007,385634.97420500003,-0.03420138910322774,nordeste,2
Aracati,230008,152228.60224,0.36669874144137815,nordeste,1
Iguatu,230009,330687.50607,0.32032551450359503,nordeste,0
Icó,230010,110782.59877,0.0933359755119284,nordeste,0
Juazeiro do Norte,230011,851305.5297979999,-0.2168739854282622,nordeste,0
Brejo Santo,230012,188837.72431,0.16188082377483815,nordeste,0
Crateús,230013,247029.53571999999,-0.07071537960981417,nordeste,0
Tauá,230014,92350.27985,0.6315334877307179,nordeste,0
Sobral,230015,613519.6217039999,0.12140874685446265,nordeste,0
São Benedito - Ipu - Guaraciaba do Norte - Tianguá,230016,406972.32661999995,0.00356615026427828,nordeste,0
Acaraú,230017,216118.57382999998,-0.3937689254090746,nordeste,0
Camocim,230018,144405.99371,0.4879044707040095,nordeste,0
Natal,240001,1743859.074166,1.1364745807621643,nordeste,0
Santo Antônio - Passa e Fica - Nova Cruz,240002,142754.64600200002,1.3536815283913202,nordeste,0
Canguaretama,240003,139853.969338,0.4666079969950982,nordeste,0
Santa Cruz,240004,99814.195614,-0.4444420004132736,nordeste,0
João Câmara,240005,73448.84682600001,-0.6580591860729271,nordeste,0
São Paulo do Potengi,240006,66820.48851699999,1.0307280116989856,nordeste,0
Caicó,240007,177541.72769499998,-0.4568824642361837,nordeste,0
Currais Novos,240008,112075.386137,0.4817437792545778,nordeste,0
Mossoró,240009,506065.532053,0.6794539594047775,nordeste,0
Pau dos Ferros,240010,232247.75273900005,0.8321468990380628,nordeste,0
Açu,240011,239683.381827,1.406256148462182,nordeste,0
João Pessoa,250001,1452524.6672960005,0.5180370057031557,nordeste,0
Guarabira,250002,314765.34578200005,-0.804963111956333,nordeste,0
Mamanguape - Rio Tinto,250003,148357.802504,-0.571775107971256,nordeste,0
Itabaiana,250004,63753.31175000001,-0.6147309927719812,nordeste,2
