imedreg,imedreg_codepopulacao,prevalencia_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,2.3265910527760942,norte,0
Ariquemes,110002,244267.98213300004,0.38081035256645923,norte,0
Jaru,110003,120564.550067,0.2652389946301927,norte,0
Ji-Paraná,110004,304025.6776749999,-0.09572878532764607,norte,0
Cacoal,110005,302589.83598300006,-0.15420453692365943,norte,0
Vilhena,110006,165292.086385,0.30729773864198984,norte,0
Rio Branco,120001,504876.57074800006,0.4388184054295279,norte,1
Brasiléia,120002,72338.13942400001,1.5803521872622193,norte,0
Sena Madureira,120003,62990.199089999995,0.9873868399636373,norte,1
Cruzeiro do Sul,120004,163322.92484599998,0.4533418908452373,norte,1
Tarauacá,120005,90942.145483,1.0851185285530849,norte,0
Manaus,130001,2569981.538139,0.1647735431485093,norte,1
São Gabriel da Cachoeira,130002,104242.843152,3.8809010775095913,norte,1
Coari,130003,156942.81565,2.1688336595214937,norte,1
Manacapuru,130004,144349.73552,0.8897850981714202,norte,1
Tefé,130005,182082.64676700003,2.847379620668522,norte,1
Tabatinga,130006,231873.164687,0.7601731433602805,norte,1
Eirunepé,130007,101999.009491,2.6264101296168785,norte,1
Lábrea,130008,130885.96567100001,2.079783320197555,norte,1
Manicoré,130009,161550.21102,0.7215389570150702,norte,1
Parintins,130010,249841.37481000004,0.9729249727401762,norte,1
Itacoatiara,130011,173964.624469,0.8030726838881993,norte,0
Boa Vista,140001,473642.83966299996,4.969096403379393,norte,1
Pacaraima,140002,55863.802617,2.0187304328897206,norte,1
Rorainópolis,140003,63088.226788,2.0977152175992737,norte,1
Caracaraí,140004,38586.120428999995,1.0595982475419694,norte,1
Belém,150001,2592933.5334,-0.12801911835707616,norte,0
Cametá,150002,227778.21129,0.33897277287090466,norte,0
Abaetetuba,150003,439624.04368,-0.6618085537871883,norte,0
Castanhal,150004,518779.56397599995,-0.6310555850822157,norte,0
Bragança,150005,313089.568425,-0.47578598446437487,norte,0
Capanema,150006,191054.418786,-0.5567088639762201,norte,0
Paragominas,150007,410930.524905,-0.7290073560356372,norte,0
Capitão Poço,150008,107161.11330300002,-0.00877722040534514,norte,0
Marabá,150009,570348.4834569999,-0.2589903127020107,norte,0
Parauapebas,150010,408077.52058,3.31155740310473,norte,0
Tucuruí,150011,420204.09783,-1.230838895448323,norte,0
Redenção,150012,279895.77273,0.15588834345919972,norte,1
Tucumã - São Félix do Xingu,150013,295441.18707,-0.1635798721196387,norte,0
Xinguara,150014,89038.29791200001,1.2716923656848858,norte,1
Santarém,150015,445651.83932,0.3035658917006026,norte,0
Itaituba,150016,251297.803402,1.0597441092604065,norte,0
Oriximiná,150017,223524.79957299997,1.4598647761737196,norte,0
Altamira,150018,262477.021438,0.7973183130635849,norte,0
Almeirim - Porto de Moz,150019,74686.83649,-0.8236714473880911,norte,2
Breves,150020,411484.63013,-0.17947565130698642,norte,2
Soure-Salvaterra,150021,157265.792093,-0.8190390799920086,norte,0
Macapá,160001,654457.36529,1.8012537820998953,norte,1
Laranjal do Jari,160002,67333.12171,5.343628058305105,norte,1
Oiapoque,160003,79858.085703,4.090913125676486,norte,1
Porto Grande,160004,60124.417104,3.955673182826479,norte,1
Palmas,170001,389665.86524799996,1.2886797199379718,norte,0
Porto Nacional,170002,104659.863133,0.8186445232969114,norte,0
Paraíso do Tocantins,170003,120386.17455700002,0.6013983116323229,norte,0
Miracema do Tocantins,170004,45475.336239,1.0370371582764695,norte,0
Araguaína,170005,325628.103233,2.372126794066731,norte,1
Guaraí,170006,86945.84316899999,0.7819521836771618,norte,1
Colinas do Tocantins,170007,65495.96647999999,3.7077943075716115,norte,1
Tocantinópolis,170008,49789.446823,1.1280315350882189,norte,0
Araguatins,170009,137158.76029900002,0.47373741503556793,norte,1
Gurupi,170010,181173.013458,1.0975585553929796,norte,0
Dianópolis,170011,83869.633012,-0.8665902883572784,norte,0
São Luís,210001,1676128.6191400003,-0.8432723648406536,nordeste,3
Pinheiro,210002,341442.109984,-0.9082927717590451,nordeste,0
Chapadinha,210003,277946.115811,0.02750778875587892,nordeste,0
Itapecuru Mirim,210004,298355.59337,-1.1807320253148363,nordeste,0
Viana,210005,257692.15209,-1.2879419017838143,nordeste,0
Barreirinhas,210006,133084.28007,-0.7476872542413868,nordeste,0
Tutóia - Araioses,210007,207214.69482999996,-0.7886063040457991,nordeste,0
Cururupu,210008,122984.01033999998,-0.8623757200523778,nordeste,0
Santa Inês,210009,451846.73544499994,0.5849760085173163,nordeste,0
Bacabal,210010,405800.035922,-0.10965391544300479,nordeste,0
Governador Nunes Freire,210011,224565.45183500004,-0.6582583224290195,nordeste,0
Pedreiras,210012,184672.964411,1.0046478191038206,nordeste,0
Caxias,210013,268928.562695,0.1453841103657341,nordeste,0
Timon,210014,258592.85308,-0.20564595343814282,nordeste,0
Codó,210015,228457.45221000002,-0.6804687037293914,nordeste,0
Presidente Dutra,210016,237441.48151899996,0.15364339870148164,nordeste,0
São João dos Patos,210017,145805.764558,-0.09441010528442383,nordeste,2
Colinas,210018,80821.55705,0.517755533036783,nordeste,0
Imperatriz,210019,532231.693353,0.10887562526626728,nordeste,1
Barra do Corda,210020,280148.643331,0.7921832489962938,nordeste,0
Açailândia,210021,270352.99432999996,0.11007132762446131,nordeste,0
Balsas,210022,230084.23996099998,1.7697333396378934,nordeste,1
Teresina,220001,1134373.896284,1.0415227030648064,nordeste,0
Amarante - Água Branca - Regeneração,220002,156289.00978199998,0.31572659660471053,nordeste,0
Campo Maior,220003,136084.484612,0.18407736847850176,nordeste,0
Valença do Piauí,220004,79823.38348399999,0.0072879333764370845,nordeste,0
Barras,220005,94902.30242899999,1.1086064387009291,nordeste,0
Parnaíba,220006,282098.81894,0.3841731435202727,nordeste,0
Piripiri,220007,174437.123889,0.25867459726692577,nordeste,0
Esperantina,220008,146372.46837199997,0.45228176117254937,nordeste,0
Picos,220009,291225.751458,0.3300791744470207,nordeste,0
Paulistana,220010,79939.350837,-0.7896613488035656,nordeste,0
Oeiras,220011,68545.96854100001,0.239452519646721,nordeste,0
Simplício Mendes,220012,41332.865334999995,-1.0631092635249695,nordeste,0
São Raimundo Nonato,220013,113098.98546299999,0.04168378171672641,nordeste,0
São João do Piauí,220014,48436.09284500001,-0.2365375087392209,nordeste,0
Corrente,220015,120522.36767299999,-0.6481423234203798,nordeste,0
Bom Jesus,220016,77915.88872199999,0.2645676051096714,nordeste,0
Floriano,220017,124347.35358400001,0.5552061611055339,nordeste,0
Uruçuí,220018,61936.30414100001,2.8079413164052496,nordeste,0
Canto do Buriti,220019,49014.573814,-0.5856320395568151,nordeste,0
Fortaleza,230001,4212262.35793,-0.2687682498396253,nordeste,0
Itapipoca,230002,311590.29093,-0.4984807231468929,nordeste,0
Redenção-Acarape,230003,229672.19836,0.21302628750449742,nordeste,0
Canindé,230004,204751.35333000004,-0.21339089564358463,nordeste,0
Itapagé,230005,156725.52479,-0.5656044598519719,nordeste,0
Quixadá,230006,333010.95934999996,0.08615019162313044,nordeste,0
Russas - Limoeiro do Norte,230007,385634.97420500003,0.6643018025322129,nordeste,0
Aracati,230008,152228.60224,-0.09185385975658386,nordeste,0
Iguatu,230009,330687.50607,0.23618721419286934,nordeste,0
Icó,230010,110782.59877,0.4944021052532378,nordeste,0
Juazeiro do Norte,230011,851305.5297979999,0.6832021994892472,nordeste,0
Brejo Santo,230012,188837.72431,0.00231770160621005,nordeste,0
Crateús,230013,247029.53571999999,0.8642952008175847,nordeste,0
Tauá,230014,92350.27985,0.48605778252116866,nordeste,0
Sobral,230015,613519.6217039999,1.0651103023562845,nordeste,0
São Benedito - Ipu - Guaraciaba do Norte - Tianguá,230016,406972.32661999995,0.4656506528617915,nordeste,0
Acaraú,230017,216118.57382999998,0.43721086385578756,nordeste,0
Camocim,230018,144405.99371,0.3191583566055635,nordeste,0
Natal,240001,1743859.074166,-0.1878900094598024,nordeste,0
Santo Antônio - Passa e Fica - Nova Cruz,240002,142754.64600200002,-0.8456089121742486,nordeste,0
Canguaretama,240003,139853.969338,-0.7016190750502256,nordeste,0
Santa Cruz,240004,99814.195614,-0.7657474098698847,nordeste,0
João Câmara,240005,73448.84682600001,-0.8198534733710624,nordeste,0
São Paulo do Potengi,240006,66820.48851699999,-0.6594183603832225,nordeste,0
Caicó,240007,177541.72769499998,0.8234249945645588,nordeste,0
Currais Novos,240008,112075.386137,-0.7863837639355576,nordeste,0
Mossoró,240009,506065.532053,0.23205225264021598,nordeste,0
Pau dos Ferros,240010,232247.75273900005,-0.09316460890076113,nordeste,0
Açu,240011,239683.381827,-0.3067492601578923,nordeste,0
João Pessoa,250001,1452524.6672960005,0.5901825629164629,nordeste,0
Guarabira,250002,314765.34578200005,0.8960123044095418,nordeste,0
Mamanguape - Rio Tinto,250003,148357.802504,1.2455090718483959,nordeste,0
Itabaiana,250004,63753.31175000001,0.5444173342733944,nordeste,0
Campina Grande,250005,931376.7193609999,-0.009274466157267326,nordeste,0
Cuité - Nova Floresta,250006,93945.32509700001,-0.7484017506618371,nordeste,0
Monteiro,250007,56261.812517000006,-0.30079130419833755,nordeste,0
Sumé,250008,50438.907963000005,-0.14737414502798846,nordeste,0
Patos,250009,265946.903487,0.08407391862173308,nordeste,0
Itaporanga,250010,122107.57574800002,-0.1047032068983719,nordeste,0
Catolé do Rocha - São Bento,250011,118344.00627,1.2139911923876754,nordeste,0
Pombal,250012,65066.772294999995,-0.15418128016258276,nordeste,0
Princesa Isabel,250013,62855.512667999996,-0.9742961699864617,nordeste,0
Sousa,250014,139757.42990999998,0.1288832757209133,nordeste,0
Cajazeiras,250015,153774.930903,0.3239432205625834,nordeste,0
Recife,260001,4016539.695079,-0.70517890353294,nordeste,3
Goiana – Timbaúba,260002,340065.78466000006,-0.5993214996367003,nordeste,0
Palmares,260003,260124.782594,-0.7548821023882032,nordeste,3
Limoeiro,260004,226373.37741000002,-0.8008955568083514,nordeste,0
Vitória de Santo Antão,260005,207936.9037,-0.8715698294995623,nordeste,3
Carpina,260006,183777.09359,-1.3758851494657327,nordeste,3
Barreiros - Sirinhaém,260007,161275.69727,-1.1731180940482766,nordeste,3
Surubim,260008,138827.15985,-0.8303388928231986,nordeste,0
Caruaru,260009,1143502.4863800001,-0.5566327691609262,nordeste,3
Garanhuns,260010,559153.8110999998,-0.7323630380218951,nordeste,3
Arcoverde,260011,381987.26514,-0.8668403998096615,nordeste,0
Belo Jardim – Pesqueira,260012,270946.71656000003,-0.8280775182117912,nordeste,0
Serra Talhada,260013,331597.202674,-0.11202993259422522,nordeste,3
Afogados da Ingazeira,260014,187106.129848,0.1168319172851293,nordeste,0
Petrolina,260015,512192.2046,-0.5648802079172769,nordeste,0
Araripina,260016,336838.86040999996,-0.7134743509716435,nordeste,0
Salgueiro,260017,193058.36722900002,-0.3925197186527357,nordeste,0
Escada - Ribeirão,260018,165768.42274599997,-1.4203067615591167,nordeste,3
Maceió,270001,1328339.1964320005,-0.051374011551663955,nordeste,0
Porto Calvo - São Luís do Quitunde,270002,213220.69570800004,-0.5969196874702493,nordeste,0
Penedo,270003,195167.849766,-0.28143772316877563,nordeste,0
São Miguel dos Campos,270004,186218.698957,0.029938211850166645,nordeste,0
União dos Palmares,270005,151747.64067900003,-0.648458828303063,nordeste,0
Atalaia,270006,121125.36878599998,-0.8403067069526716,nordeste,0
Arapiraca,270007,565424.86768,0.3501105291038675,nordeste,0
Palmeira dos Índios,270008,169330.76583999998,-0.49872612971924557,nordeste,0
Delmiro Gouveia,270009,158439.567114,-1.1320036866738734,nordeste,0
Santana do Ipanema,270010,143255.25791,-0.6701746618969832,nordeste,0
Pão de Açúcar - Olho d'Água das Flores – Batalha,270011,118822.074752,0.2716658380472443,nordeste,0
Aracaju,280001,1237324.106538,1.0359019796237539,nordeste,0
Estância,280002,243854.606175,-0.12571430100717224,nordeste,0
Propriá,280003,158147.453095,-0.05318123006514221,nordeste,0
Itabaiana,280004,249607.545829,0.7671032382488853,nordeste,0
Lagarto,280005,254692.5906,-0.06908661931767171,nordeste,0
Nossa Senhora da Glória,280006,175405.68509699998,-0.6968642342913416,nordeste,0
Salvador,290001,4084138.4268900002,0.06438196354570079,nordeste,0
Alagoinhas,290002,511144.4709700001,-0.5439348049010994,nordeste,0
Santo Antônio de Jesus,290003,291368.26246600004,-0.3455204542544792,nordeste,0
Cruz das Almas,290004,284419.79349999997,-0.6407055739805628,nordeste,0
Valença,290005,260522.68494999997,-0.3332990265940821,nordeste,0
Nazaré – Maragogipe,290006,185483.24923000002,-0.5396381910855632,nordeste,0
Ilhéus – Itabuna,290007,630044.88406,1.3915721365889293,nordeste,0
Teixeira de Freitas,290008,463055.64130400005,0.4771055221819538,nordeste,0
Eunápolis - Porto Seguro,290009,398006.10543,-0.1368252712993716,nordeste,0
Camacan,290010,128377.17958,0.1566131861455111,nordeste,0
Vitória da Conquista,290011,807168.5889399999,-0.20539122625259193,nordeste,0
Jequié,290012,335632.69826100004,0.5586420067601429,nordeste,0
Brumado,290013,223982.71154999998,-0.47498059644688806,nordeste,3
Ipiaú,290014,218504.67817,1.0648208446983716,nordeste,0
Itapetinga,290015,155342.98423,0.20472256773724776,nordeste,0
