imedreg,imedreg_codepopulacao,letalidade_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,0.08777051750168295,norte,0
Ariquemes,110002,244267.98213300004,-0.46591954708595124,norte,0
Jaru,110003,120564.550067,-1.0150366540984574,norte,0
Ji-Paraná,110004,304025.6776749999,0.03843509447058327,norte,0
Cacoal,110005,302589.83598300006,-0.5397928672119483,norte,0
Vilhena,110006,165292.086385,-0.40030495917397346,norte,0
Rio Branco,120001,504876.57074800006,0.5815025925740583,norte,4
Brasiléia,120002,72338.13942400001,-0.7114608252133608,norte,0
Sena Madureira,120003,62990.199089999995,-1.4449980112389935,norte,0
Cruzeiro do Sul,120004,163322.92484599998,-0.5147914024345072,norte,3
Tarauacá,120005,90942.145483,-1.1835990394273885,norte,3
Manaus,130001,2569981.538139,1.7279451061122484,norte,0
São Gabriel da Cachoeira,130002,104242.843152,-0.9948315512382687,norte,0
Coari,130003,156942.81565,-0.4853691015632005,norte,0
Manacapuru,130004,144349.73552,0.6822419598731103,norte,0
Tefé,130005,182082.64676700003,-0.5828131752522892,norte,3
Tabatinga,130006,231873.164687,0.11411079613139608,norte,4
Eirunepé,130007,101999.009491,-1.4246379203720083,norte,0
Lábrea,130008,130885.96567100001,-1.1344899130945583,norte,0
Manicoré,130009,161550.21102,-0.20176982705881694,norte,0
Parintins,130010,249841.37481000004,0.05195962118247569,norte,0
Itacoatiara,130011,173964.624469,-0.26580921342391695,norte,0
Boa Vista,140001,473642.83966299996,-0.9104765404568242,norte,0
Pacaraima,140002,55863.802617,-0.18804969647953154,norte,0
Rorainópolis,140003,63088.226788,-1.0431330624077002,norte,0
Caracaraí,140004,38586.120428999995,-0.8768506295491576,norte,3
Belém,150001,2592933.5334,2.0267732258910596,norte,0
Cametá,150002,227778.21129,-0.00662888032005373,norte,0
Abaetetuba,150003,439624.04368,0.33429612083577087,norte,0
Castanhal,150004,518779.56397599995,1.717582872910756,norte,0
Bragança,150005,313089.568425,0.20742469893426124,norte,0
Capanema,150006,191054.418786,1.690085659692006,norte,0
Paragominas,150007,410930.524905,0.3837323483667607,norte,0
Capitão Poço,150008,107161.11330300002,-0.32618726754349203,norte,0
Marabá,150009,570348.4834569999,0.2753161668461739,norte,0
Parauapebas,150010,408077.52058,-1.2841382634816019,norte,3
Tucuruí,150011,420204.09783,2.4800525200033614,norte,0
Redenção,150012,279895.77273,-0.8396963964181663,norte,3
Tucumã - São Félix do Xingu,150013,295441.18707,-1.3480460443361468,norte,0
Xinguara,150014,89038.29791200001,-1.2191345227492434,norte,3
Santarém,150015,445651.83932,-0.048717502390852416,norte,0
Itaituba,150016,251297.803402,-0.805843039337397,norte,0
Oriximiná,150017,223524.79957299997,-0.5344053619026313,norte,0
Altamira,150018,262477.021438,-0.07214931085735617,norte,0
Almeirim - Porto de Moz,150019,74686.83649,1.159645269123095,norte,0
Breves,150020,411484.63013,-0.1758256598946842,norte,0
Soure-Salvaterra,150021,157265.792093,0.8699245085267001,norte,0
Macapá,160001,654457.36529,-0.28961748526284475,norte,3
Laranjal do Jari,160002,67333.12171,-1.2805238576101194,norte,0
Oiapoque,160003,79858.085703,-1.4126901752336793,norte,3
Porto Grande,160004,60124.417104,-1.531639146394889,norte,3
Palmas,170001,389665.86524799996,-1.0119393076479795,norte,0
Porto Nacional,170002,104659.863133,-0.32949429031518074,norte,0
Paraíso do Tocantins,170003,120386.17455700002,-0.32342731661742813,norte,0
Miracema do Tocantins,170004,45475.336239,-0.46711162640299403,norte,0
Araguaína,170005,325628.103233,-0.5921774708468516,norte,3
Guaraí,170006,86945.84316899999,-0.30581960021953697,norte,3
Colinas do Tocantins,170007,65495.96647999999,-0.9911816909672704,norte,0
Tocantinópolis,170008,49789.446823,-0.2767667609567763,norte,0
Araguatins,170009,137158.76029900002,-0.5143042465733245,norte,0
Gurupi,170010,181173.013458,-0.5820741515663289,norte,0
Dianópolis,170011,83869.633012,-0.33900394185957655,norte,3
São Luís,210001,1676128.6191400003,3.1222269523168684,nordeste,0
Pinheiro,210002,341442.109984,-0.3065135492770118,nordeste,0
Chapadinha,210003,277946.115811,-0.45621981104318315,nordeste,0
Itapecuru Mirim,210004,298355.59337,-0.40302681495578585,nordeste,2
