imedreg,imedreg_codepopulacao,letalidade_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,0.3441386925637636,norte,0
Ariquemes,110002,244267.98213300004,-0.37344010144068707,norte,0
Jaru,110003,120564.550067,-0.9683129391623642,norte,0
Ji-Paraná,110004,304025.6776749999,0.10625589281048022,norte,0
Cacoal,110005,302589.83598300006,-0.6189908143957193,norte,0
Vilhena,110006,165292.086385,-0.43034241045413363,norte,0
Rio Branco,120001,504876.57074800006,0.41720326980323263,norte,4
Brasiléia,120002,72338.13942400001,-0.7948363507671897,norte,0
Sena Madureira,120003,62990.199089999995,-1.5078266844042372,norte,3
Cruzeiro do Sul,120004,163322.92484599998,-0.49357693177944156,norte,3
Tarauacá,120005,90942.145483,-1.3414476917139184,norte,3
Manaus,130001,2569981.538139,3.046459695573467,norte,0
São Gabriel da Cachoeira,130002,104242.843152,-0.6608504119884123,norte,0
Coari,130003,156942.81565,-0.14702855184973598,norte,0
Manacapuru,130004,144349.73552,1.0991323406094546,norte,0
Tefé,130005,182082.64676700003,-0.5403015673116686,norte,3
Tabatinga,130006,231873.164687,0.08414444956214921,norte,4
Eirunepé,130007,101999.009491,-1.4987394510104017,norte,0
Lábrea,130008,130885.96567100001,-1.0648757895275252,norte,0
Manicoré,130009,161550.21102,-0.13319076332901078,norte,0
Parintins,130010,249841.37481000004,0.7663627330336781,norte,0
Itacoatiara,130011,173964.624469,0.6587577936799232,norte,0
Boa Vista,140001,473642.83966299996,-0.7235989983148143,norte,0
Pacaraima,140002,55863.802617,-0.04910759506312812,norte,0
Rorainópolis,140003,63088.226788,-1.0124248284010957,norte,0
Caracaraí,140004,38586.120428999995,-0.5059110770601739,norte,3
Belém,150001,2592933.5334,1.7505734231478338,norte,0
Cametá,150002,227778.21129,0.17183251924284848,norte,0
Abaetetuba,150003,439624.04368,0.3490827885488969,norte,0
Castanhal,150004,518779.56397599995,1.4344090480656209,norte,0
Bragança,150005,313089.568425,0.3457048369892706,norte,0
Capanema,150006,191054.418786,1.8383660325147553,norte,0
Paragominas,150007,410930.524905,0.24857843013371156,norte,0
Capitão Poço,150008,107161.11330300002,-0.46227309156343316,norte,0
Marabá,150009,570348.4834569999,0.39487513339225944,norte,0
Parauapebas,150010,408077.52058,-1.304277249914993,norte,3
Tucuruí,150011,420204.09783,2.0024680405620945,norte,0
Redenção,150012,279895.77273,-0.8709096141138707,norte,3
Tucumã - São Félix do Xingu,150013,295441.18707,-1.3994134670682774,norte,0
Xinguara,150014,89038.29791200001,-1.2715525589251133,norte,3
Santarém,150015,445651.83932,0.43775561093128906,norte,0
Itaituba,150016,251297.803402,-0.7523131802403573,norte,0
Oriximiná,150017,223524.79957299997,-0.14719589318943135,norte,0
Altamira,150018,262477.021438,-0.16048319749787934,norte,0
Almeirim - Porto de Moz,150019,74686.83649,-0.6252113418587734,norte,0
Breves,150020,411484.63013,-0.18148356684551614,norte,0
Soure-Salvaterra,150021,157265.792093,0.5942054085541105,norte,0
Macapá,160001,654457.36529,-0.27487093661292,norte,3
Laranjal do Jari,160002,67333.12171,-1.3948370892547168,norte,3
Oiapoque,160003,79858.085703,-1.4727547460018853,norte,3
Porto Grande,160004,60124.417104,-1.5613650343082863,norte,3
Palmas,170001,389665.86524799996,-1.0866777821893576,norte,0
Porto Nacional,170002,104659.863133,-0.40283385236564034,norte,0
Paraíso do Tocantins,170003,120386.17455700002,-0.5573880242755183,norte,0
